miliseconds,S2_n,pS2_n,G_n,pG_n,S22_n,S24_n,S4_n,G2_n,G4_n,GG_n,S22_c,S24_c,S4_c,S2_c,pS2_c,G_c,pG_c,G2_c,G4_c,GG_c,R_act,R,R_inact
0,28.51477768676963,1.358479994221033e-06,28.514774130565506,8.316862980988471e-07,4.5017913723858857e-10,4.607479736924868e-06,50.780938173021624,7.674766415865093e-10,8.667983666055831e-07,5.069778414080304e-10,2.0583523261939326e-09,-1.4468974213464024e-05,50.78095426234964,60.589904462147224,2.734952195712001e-05,60.589965649504734,7.348973227652066e-06,1.1757012696974242e-09,-1.474181349648165e-05,-1.013833369141929e-09,0.0003417976271767089,0.9999849865463596,0.0
100,28.51477457199336,-1.6170237341786728e-06,28.514771663447075,-3.946820471426145e-06,1.864175940189199e-11,1.7382340224388613e-05,50.780946151293655,5.098890607664829e-10,6.10238185783681e-06,5.283383349619908e-10,1.3487233074339616e-11,-2.0350676053137615e-05,50.78102442903142,60.589913802977364,7.904565224594277e-06,60.58993491086016,1.9133059023586313e-05,2.0066859627153294e-11,3.10285667419805e-05,-1.5359444712299773e-09,0.0007742768267722656,0.9994389408294276,0.0
200,28.514777822183245,-2.005700872364605e-06,28.5147689073237,3.306725323130575e-06,-1.0543613246859796e-09,-2.6179757236448602e-05,50.78093623251742,1.2282394534520893e-09,-8.742625604850849e-06,-7.352928229582976e-10,4.558357698244453e-10,-3.1242843340377414e-05,50.78110032439442,60.58994278017543,2.9165841930692643e-06,60.58985293090133,1.6382840227683613e-05,2.2117476206074033e-10,-1.3391927534611785e-05,1.663282766858584e-09,0.0012182387577512259,0.9988585106828565,0.0
300,28.514785067234072,-1.7923139552218812e-06,28.514773716824198,-3.9699186306051685e-06,-6.543490391150599e-10,2.3548642355572293e-05,50.78094369481634,-5.457423587286892e-11,2.8406351944100476e-05,7.728037150261525e-10,1.752685283080466e-11,2.0011028303519283e-05,50.780993363210015,60.58985287000028,-1.40391582181338e-05,60.589949147547095,2.656948375847224e-05,1.641260405788618e-09,-2.32771781172616e-05,-2.2187008570836923e-09,0.0015377793167435227,0.9986860249395207,0.0
400,28.51477556086653,-3.831835236651423e-06,28.514779667426566,1.8177015872205868e-06,1.105566761245525e-09,-2.6603714364606975e-06,50.7809388279395,7.652740591753559e-10,-2.5763042951832503e-06,1.3151775017185668e-09,-1.0698844769281315e-09,-1.9009799989740827e-05,50.781103271587334,60.589828387686396,6.510239380387224e-06,60.5899210316082,5.5229128276012475e-05,1.6814738244809156e-09,-2.8245854097818313e-05,-1.3700416905659345e-09,0.0020616026641393217,0.9977876153712941,0.0
500,28.514783015852974,-3.2672396600797686e-06,28.514785849824076,3.4705309123722e-06,-1.4373148868424104e-09,7.0662451137895404e-06,50.780942160042876,-1.608841253039081e-09,7.135564883701508e-06,1.554478047583145e-09,-3.204930591676504e-10,1.0640857012204317e-05,50.78100322816886,60.5898345383563,2.9678451114174342e-05,60.589813424885726,8.913737464449798e-05,2.7453547070131634e-10,3.1631820222104316e-05,2.549761009567546e-10,0.002639011608136743,0.9974455866804725,0.0
600,28.51478506000888,2.7417424312282964e-06,28.514773974661402,3.2703917723403568e-06,-1.1511975947041707e-09,-1.1721550970379587e-05,50.78094334028083,-1.1399459004928443e-09,1.93704162002404e-05,-7.523485569630004e-10,8.386391655904549e-10,5.500177982061996e-05,50.78099742712292,60.589793722660595,0.00011339305907638272,60.58983331047905,0.00011264313503122672,-2.336938039290675e-09,-2.2117121877505794e-06,2.0178261970355363e-09,0.00318858415451957,0.9970483752656442,0.0
700,28.51478586158428,6.1913296581517054e-06,28.514784501195283,3.776320920713225e-06,-1.045097691449905e-09,1.6459443145503873e-05,50.78093908985198,-1.0134796767916823e-09,-1.7702669697215812e-05,-2.3681273452790333e-10,2.329796967908907e-09,6.186353984552787e-05,50.78102705548896,60.589708109970466,0.0001501432491543205,60.58974309482935,0.00013946192044133,1.3775568612345987e-09,5.2729501465610914e-05,-2.1229930715725363e-09,0.003249967928819115,0.9962899209354732,0.0
800,28.514771691424823,1.6006086258526833e-06,28.514774107197763,1.8989304474039807e-06,-9.629083895613606e-10,3.2692478242655816e-05,50.780934181111526,2.305675888319504e-10,-2.448903594050421e-05,1.570827588947767e-09,1.8022968933194134e-09,2.1188953381684174e-05,50.780927759507115,60.58973295953363,0.0001876945721877118,60.58968525677582,0.00017393374732264198,4.192721709634038e-10,2.4073478130696407e-05,1.6173868367171244e-09,0.003978195352658656,0.9959241724032377,0.0
900,28.514773199592938,1.6412459260207716e-06,28.514784656525602,6.814318339310119e-06,5.818612387073408e-10,-8.759858887226525e-06,50.78093116177955,-1.7744220315443062e-09,1.648632640116957e-05,1.5189087089341661e-09,-1.8541160620899688e-09,6.210229680131825e-05,50.78089143361452,60.58966273287279,0.00019919893194588089,60.589732146881424,0.00020865030005872055,7.66711894720704e-10,3.489942648290881e-05,-9.957298547363142e-10,0.004457486764603847,0.9954651754030857,0.0
