milliseconds,S2_n,pS2_n,G_n,pG_n,S22_n,S24_n,S4_n,G2_n,G4_n,GG_n,S22_c,S24_c,S4_c,S2_c,pS2_c,G_c,pG_c,G2_c,G4_c,GG_c,R_act,R,R_inact
0,28.514767242662963,-3.6618421753429433e-06,28.51477920774096,1.1548153272112409e-06,-1.7314814368989385e-10,1.81518004477565e-05,50.78093816841646,1.542864813662067e-10,2.68050685160206e-05,-1.2908851337545644e-09,-1.889710341169751e-09,-5.938266320572421e-06,50.781027797782755,60.589972553957956,1.5910546326371666e-05,60.58995886656728,3.2213561675392975e-05,-1.000432823600787e-09,-2.467513936712149e-05,-1.9319641409085895e-09,-0.0003288362017457606,1.0002341606917202,0.0
100,28.514774730796333,-2.699919154270236e-06,28.514781906273242,-2.443681340452221e-06,4.4031213179019563e-10,3.092296363574167e-06,50.780942544659425,-7.622315973067104e-10,-5.338537058348685e-06,-1.5176707812818898e-09,-1.3707169207722413e-09,4.300057106859742e-06,50.781121044650774,60.58983884666121,-1.2066234335607411e-05,60.589871834358334,1.6971463917867792e-05,-1.2901221191073154e-09,5.132593764275274e-06,-2.2010363311584694e-09,0.000749668050732152,0.9992382873236048,0.0
200,28.51477159310868,2.517400106103401e-06,28.514781522503664,2.1745222223351257e-06,-3.9062935008176983e-10,-5.09019662808661e-06,50.78094446301687,1.7127164644628584e-09,-1.6425461060124446e-05,1.1811692442137791e-09,-1.87909461121054e-09,-2.6030615214537683e-05,50.78106096570153,60.58996267681817,-1.4488357627362448e-05,60.58997857025053,3.257710204120303e-05,-1.5255783581074308e-09,-9.839927806124193e-06,4.2081182707896196e-10,0.0011998411245493811,0.9990640991607542,0.0
300,28.51477673713041,7.581504916276469e-07,28.514780705272525,-3.713480366685052e-06,4.383196620989541e-10,-1.4805893417642714e-05,50.78093255466797,-1.6925396268350297e-10,8.99126413631413e-06,-1.0281795134069756e-10,1.5235715690140718e-09,1.6782067472640105e-05,50.780981267821986,60.589932258445025,-1.4567638292628843e-05,60.58995366769397,-1.5061011942494884e-05,-1.2564945915347092e-09,1.6249588545090423e-05,2.096744553388485e-09,0.0013810722494460382,0.9986430202904164,0.0
400,28.51477741590789,3.6267765123479693e-06,28.514772080154746,-1.5666272908587388e-06,5.482171713746614e-10,-1.8989958040476887e-05,50.78093302529031,-1.4093806046569168e-09,-2.1834271702725224e-05,8.688952955703033e-10,-1.6318291556402698e-09,-2.7059277390096437e-05,50.781085473303584,60.589894200120625,-7.957340513034682e-06,60.58987947632725,6.721586581571807e-06,-1.797163185596709e-09,2.4295321945384778e-06,4.844666904500062e-10,0.0016927553992848372,0.9977313492032974,0.0
500,28.51477363205839,-3.64454433583176e-06,28.514780138247836,-2.867817710158747e-06,6.401664264999774e-10,-1.6836720306235133e-06,50.78094118827902,-1.0762401108551154e-09,4.147026860364694e-06,-7.532436795040657e-10,2.031337467725139e-09,2.579893348784923e-05,50.78106732716233,60.589820322176166,4.225023406321863e-05,60.58983420713127,4.597103800277175e-05,-8.643771029894612e-10,-8.90568170172453e-06,4.238795577924095e-10,0.002362468479429273,0.9978170975536318,0.0
600,28.51477474560331,5.691002277058472e-06,28.514777844607273,3.428872966250815e-06,1.4091304867595801e-09,1.3086992101530973e-05,50.780938454203785,-6.691918458385799e-10,2.3046899982881218e-05,1.1159852726037849e-09,3.91051448888118e-10,3.1957739350766976e-05,50.78096239698499,60.589761088620286,7.172624600104686e-05,60.58975301707855,5.852637271432869e-05,1.4207674866396834e-09,2.2736384933070262e-05,-2.0073480669865525e-09,0.002824792390451103,0.9973161995040537,0.0
700,28.51478324715909,2.6953879871072803e-07,28.514786916691033,-5.061753367249781e-07,7.269540472666826e-10,-1.28443924299706e-06,50.780932856872596,-9.557708402188866e-10,1.1140041230214235e-05,-1.2113832524798484e-09,-2.1862059492196924e-09,3.9975699788886915e-06,50.78101636724433,60.58982342208099,0.00015757566582962524,60.589745719494886,0.00012707566660490657,2.1153710211343243e-09,1.7847368943501174e-05,1.3457188377420664e-09,0.0034546382113286433,0.9964286276975568,0.0
800,28.514778755245906,7.170616413113968e-07,28.514770717485305,-5.127228318837485e-07,3.321611709326786e-10,-3.091474324474338e-06,50.780941311689176,-1.555716144112726e-09,1.3315690655480176e-05,1.3253461678893844e-09,4.667352423038756e-10,1.8920092971939428e-05,50.780949568277364,60.589775752504146,0.00015636256898532333,60.58976391794192,0.00015323854046703252,-1.6734372767790315e-09,3.0500664701693646e-05,2.704823098723302e-10,0.0035461977569725715,0.996232288132195,0.0
900,28.51478023241959,3.716019029637518e-06,28.51477427075686,5.705233773663093e-06,-1.4315840772828055e-09,7.63234356003867e-06,50.78093325121458,1.6734507992689004e-09,1.6991078735239662e-05,2.7361801559800384e-10,2.9778762504357487e-10,2.1725544914439776e-05,50.7809411684863,60.5897000974657,0.00022453927399248132,60.58972368938338,0.00021897013233945547,2.073570757270303e-09,5.5353770470034964e-05,7.512300341529333e-10,0.004655328320216586,0.9956103407713373,0.0
