miliseconds,S2_n,pS2_n,G_n,pG_n,S22_n,S24_n,S4_n,G2_n,G4_n,GG_n,S22_c,S24_c,S4_c,S2_c,pS2_c,G_c,pG_c,G2_c,G4_c,GG_c,R_act,R,R_inact
0,28.514771394610555,-1.0495511524027145e-06,28.51477063758942,8.333751087517667e-07,-2.1145479501297698e-10,5.460043853405461e-07,50.780942038032364,-1.7443928499828607e-09,-3.0132573914018698e-05,-1.6315050841100918e-09,-1.2850528554724033e-09,1.4723136325155565e-06,50.78102775990891,60.589994476094624,8.306715240772143e-07,60.58991378664544,3.46031860183833e-05,-1.166792764178237e-09,-1.2780179360879837e-05,1.6305166803644014e-09,-0.0002533395367784742,0.9997507793525595,0.0
100,28.514777622074455,-1.7898837899977603e-08,28.51478252296421,2.2213560710409096e-06,-1.2398901595731226e-10,-2.376661286381438e-05,50.780933758213116,1.041587149455984e-09,1.813929530575119e-05,1.1592946396970203e-09,-1.0414258469017418e-09,-2.2381774284935797e-05,50.78105645178259,60.58989890886136,-2.4014021157582875e-05,60.58988856394751,-2.8628356893264214e-05,1.4636720268082793e-09,-1.980978110854511e-05,-1.3450884287955084e-09,0.00029553092164455913,0.9998546948132255,0.0
200,28.5147812143944,1.406952073057334e-07,28.514779714156948,-1.896389117724236e-06,3.919772404229987e-10,2.289806370127095e-05,50.78094296716885,-1.4388303833223992e-09,-6.8497268642863885e-06,1.532511778387455e-09,-7.972676179679787e-10,1.353478397988222e-05,50.7809471918917,60.589839480315035,7.07343625007682e-06,60.589878437068826,-1.7254822101322074e-05,-4.176262634220613e-10,-2.4422900371763587e-05,1.5012214587843466e-09,0.0012117763693021747,0.9988256190414759,0.0
300,28.514780599997064,1.8836553740061602e-06,28.514779316241697,-6.576738914715432e-07,-1.7011326492214416e-09,4.4298181367894636e-06,50.780944644605135,-9.96063715833968e-11,-2.1267001724761387e-05,-1.164366318484112e-09,-1.7267913321906306e-09,-1.883105311239285e-05,50.780974614871724,60.589883545574686,4.2358373907427776e-05,60.58985491524656,2.763352669437414e-05,-1.1717542885844436e-09,5.721756811670783e-06,-2.2275012971120387e-09,0.0012149694147622406,0.9982067600045265,0.0
400,28.514781306484476,-1.6426612657184565e-06,28.514782437915457,1.5982025541559142e-06,8.020804690877904e-10,-3.0301119474916976e-05,50.78093290751235,-1.1745076003484678e-09,-8.638785599564274e-06,-4.322966551588615e-10,5.26952513073479e-10,9.66043972762326e-06,50.78110830012063,60.58982083550148,-2.7007855154710974e-06,60.589967083643025,8.289113939417081e-06,-1.87002915839089e-09,2.981243610543633e-06,1.1421948002782026e-09,0.001983265693848444,0.9980439616512573,0.0
500,28.514780285067854,6.969339538147792e-07,28.514779483742263,-2.088915883779622e-06,-4.241751991468397e-10,2.494332228819424e-05,50.78093957816985,-1.4928293160880238e-09,-9.08649337441632e-06,1.5177374357503827e-09,-1.654771420252422e-09,-6.757161015450078e-06,50.780920881323475,60.589898079921895,2.687030969887294e-05,60.58982193187975,8.074536343974384e-05,-4.1982412403201146e-10,-1.3852043697300131e-05,-1.4848777648411716e-09,0.0026261227533111585,0.9975786679219553,0.0
600,28.514775538407818,2.7172370608786613e-06,28.51477755091238,3.580687389680285e-06,1.0319851587143488e-09,2.5734691761953565e-05,50.78093370412441,-5.154723748910811e-10,2.3870433002514547e-05,-6.65994864650879e-10,-1.909394762008237e-09,-5.247601206628354e-06,50.78091791551645,60.58976123322857,0.00010706092313640091,60.5897962587168,0.00010866466875092549,-1.3745024125265257e-09,3.9092371834077496e-05,1.4428472546250838e-09,0.0032056087166034792,0.997065201615541,0.0
700,28.514786064477295,-1.3683372999022673e-06,28.514780913527975,-1.1755133730121548e-06,-8.408895765600851e-10,-1.9303663258006044e-05,50.780940921894306,1.2579354923608767e-10,-3.696954991642251e-06,-9.886490008418968e-10,-7.438502616263893e-10,3.442926226486955e-05,50.78102517465807,60.58979249357551,0.0001377398704235011,60.58980821557414,0.00011442467738716753,-9.578766286774774e-12,4.839548619544675e-05,-2.192685034280719e-09,0.003685863295642837,0.9964588177299902,0.0
800,28.514776043378976,-9.094489345898149e-07,28.514778771492168,3.811463018068658e-06,1.3532011821581555e-09,9.238894105246201e-07,50.78093899080305,-1.391439995072752e-09,3.900278065265884e-06,9.640543535775917e-10,2.2083740808546144e-10,1.8886823248067114e-05,50.78098157827127,60.58966217317122,0.0001806381256416976,60.58978714273574,0.00014506981871637597,-1.2643737975499175e-09,4.544211988074561e-05,-2.8718084484480047e-10,0.004175969802310574,0.9958308622451766,0.0
900,28.514776953574433,4.654334023427493e-06,28.514771018043213,1.6138131688548297e-06,8.713708637721953e-10,-8.950142428465905e-06,50.78093190577379,-1.4505193661499217e-09,-1.2886517763899343e-05,1.2805557289018989e-09,1.7149572310647844e-09,3.597685350028382e-05,50.7809638893733,60.58960168274519,0.00016146886144725653,60.5897025403467,0.00020548402723067225,2.383390172538357e-09,2.1618571953556804e-05,-1.1975213176506818e-09,0.004562655894116767,0.9958402161709149,0.0
