miliseconds,S2_n,pS2_n,G_n,pG_n,S22_n,S24_n,S4_n,G2_n,G4_n,GG_n,S22_c,S24_c,S4_c,S2_c,pS2_c,G_c,pG_c,G2_c,G4_c,GG_c,R_act,R,R_inact
0,28.51477303699551,-3.826006397739638e-06,28.51477178397632,5.359015392889588e-07,1.3214899738229885e-09,-1.356279122134793e-05,50.780941461610205,-7.70649280529466e-10,-8.419860660539361e-06,-6.50967695614179e-10,-1.6753943468065513e-09,1.998105778145433e-05,50.78100002340323,60.58998146948131,2.042395204465365e-05,60.589843468266025,-2.7249145814957185e-05,-1.407403984844067e-09,2.7958907154281922e-05,-1.4029364080122745e-09,0.00022183668286523305,1.0001323386119254,0.0
100,28.514775990699647,3.0628321284314407e-06,28.514773733958865,5.36584150333358e-07,-1.2195058439374822e-09,1.6451582500905e-05,50.78093865471329,1.343903943789922e-09,1.2805806313088622e-05,-1.149745232038951e-09,-1.996150706477732e-09,3.1006361307912594e-07,50.78112159581953,60.58998118802507,3.249325577918636e-05,60.589969410079604,3.3887063097257338e-06,2.677238784498581e-10,-2.5033831704891202e-05,9.025947052936437e-10,0.0005614814953549566,0.9995676475524343,0.0
200,28.514781588172163,2.698402495473408e-06,28.514771783278913,3.8115868706352045e-06,-1.6201896637934307e-09,-2.7669736632295593e-05,50.78093288016796,3.8042321738328154e-10,1.5253336797912263e-05,1.6528009260159428e-09,2.3751548427646503e-09,2.316413654091289e-05,50.78094760073003,60.58986380531984,1.9956525501083176e-05,60.5899114935775,1.5350084770429585e-05,1.5990325098645862e-09,2.51840787416563e-05,6.610410318085466e-10,0.0012716739245016578,0.9988634612326944,0.0
300,28.51477426055503,2.8354823751643997e-06,28.514784658277613,9.327336120170734e-07,-1.0092671985525716e-09,-1.7862508862916552e-05,50.78094449174626,1.4744839848453004e-09,-2.5413533022634076e-05,-7.215182126681116e-10,2.0383167252772812e-10,-2.495906573126637e-05,50.78110433752545,60.58994531071208,1.5563344207716993e-05,60.58990874454996,-5.8240642769631725e-06,-5.58306351610576e-10,-2.4853712038186087e-05,-5.293278770791922e-10,0.0017669711986153885,0.9984483683230301,0.0
400,28.51477102018269,-7.254064033641315e-07,28.514782491483,-4.957886099472145e-07,1.043378058048047e-09,6.004091778814005e-06,50.780939253643446,-4.0525295842784204e-10,1.0115508398328524e-05,3.132790919197572e-10,-6.131054005391456e-10,2.720859189083119e-05,50.78096554984409,60.58993905168342,8.569518703442983e-06,60.589873607489864,-2.0878365530550204e-06,5.866549635185785e-10,-4.360703225786901e-06,7.297741934064593e-10,0.0018041118296970363,0.9981821618209018,0.0
500,28.514777478581486,1.6025924786081156e-06,28.51477273731252,-3.6683755462307025e-06,9.858612859614086e-10,-6.3005690424292174e-06,50.780943256586184,-3.3330607261105023e-10,-1.478290301039621e-05,9.958597797735976e-11,-1.3377876573924328e-09,3.494739011587779e-05,50.78104541258884,60.58978467002447,4.351187490621162e-05,60.5899031490595,6.12722490288695e-05,2.2240934056257387e-09,2.9497968054574824e-05,-1.983884860253947e-09,0.002295670028033343,0.9977140034565198,0.0
600,28.51477338962315,1.9342950706611951e-07,28.514780237938826,7.778478869881196e-07,-1.7098765302089793e-09,2.4883439733089736e-05,50.780931322887184,1.6391999609441391e-09,-2.1952762496485205e-05,-9.111215450464394e-11,-3.5791664986479956e-10,5.360842604093143e-05,50.78098393779577,60.58986841173841,8.71520911173441e-05,60.5897686551904,9.170324583354344e-05,1.8794548276251483e-09,6.011298493964491e-06,1.48646968692486e-09,0.003115478188622006,0.9970587047416267,0.0
700,28.514783068646132,7.131748998394265e-07,28.514772348940543,4.110519151291211e-06,4.994769636718047e-10,-8.278613633451412e-06,50.78093317554103,-6.488615436925817e-10,-1.2299733713055991e-05,5.453674542641037e-10,-1.0886709149154048e-09,5.491874763861473e-05,50.78089123321046,60.58971376808411,0.00014940307579154914,60.58977568112372,0.0001532408354599234,3.172525867274054e-10,6.082175459759374e-05,-1.4044446775383003e-09,0.0035099587395986324,0.9966934459753817,0.0
800,28.514775077802902,2.6047697465872397e-07,28.514776354238418,6.51519946878056e-06,8.343589917800505e-10,1.8889892038906797e-05,50.780935473763826,-1.5528945921902911e-09,-2.153753001623659e-05,1.0456888928597317e-09,-2.2968410548593064e-09,7.303684983200109e-05,50.780889554168354,60.589771658166285,0.00018650192340937953,60.589719047618594,0.0001652314680254097,-3.8906159761209676e-10,4.902985621378427e-05,-1.875489216225067e-09,0.00377322934852809,0.9958551279030385,0.0
900,28.514771754734333,1.19785327468485e-06,28.51477870785029,1.229567737896764e-06,-1.106210086352677e-09,1.2122263056332407e-05,50.78093770261709,1.4644161370287765e-09,3.062682118378753e-05,-1.292554965719709e-09,5.878879713524042e-10,6.107944851194948e-05,50.7808821868249,60.589639341206535,0.00022402003548009015,60.58966488842821,0.00016551591267421474,1.5451880282222243e-09,2.4743787163672467e-05,-4.888120521805407e-10,0.004424616409030225,0.9953968380939046,0.0
