miliseconds,G,M,C_T,T_beta,I_gamma
0,100043.75544809688,99616.37224605832,1.001844652714128,4982.200515970583,9002.597114956074
100,100081.37005896521,361.52676302537026,0.9971410955079786,7085.053697467685,8933.422087599683
200,100116.69557337793,-191.99335342701474,0.9893402065955584,8106.606835898091,8784.222627960133
300,100276.76557858977,309.84711421358105,0.9893596216505627,8598.482710630868,8771.646164787988
400,100368.60535670516,-412.7630186204678,0.9820091453849584,8881.073550406283,8634.622859911862
500,100468.37871989832,-200.64210095135604,0.9758120144293208,9038.251282529787,8558.366260404502
600,100467.85233335487,32.81326483713328,0.9723999840407707,9061.144753729233,8473.149994023961
700,100618.88034485497,-165.49440524693,0.9679563416656771,9122.294974579101,8406.563494471899
800,100701.60846977653,-216.72618435885872,0.9657806471650934,9150.235345341398,8253.004241973165
900,100768.61704095494,-379.83303038733965,0.95870934976859,9144.316571956015,8213.18750167214
1000,100837.40858519953,-125.76703633034303,0.9546438557377148,9128.233572377514,8152.491773003765
1100,100927.8466336765,580.2367432220186,0.9521261834074706,9164.99854847769,8080.776781449607
1200,101118.58033324905,42.25890433169872,0.9471859167716027,9147.001393726048,8009.155534543783
1300,101148.20634461331,148.49147929908335,0.9405615334096304,9109.925006362246,7889.75147646468
1400,101235.05326143648,-304.3087176819865,0.9380607133555809,9136.989618700738,7840.415528674831
1500,101304.99172932247,689.1311431271915,0.9359515623590247,9111.816786603556,7696.716904686448
1600,101454.82656712628,-4.496123015362164,0.9270174129182818,9165.823781603334,7680.236667326082
1700,101526.15406981716,223.1549947938577,0.9256229405639951,9165.238290081063,7584.155256554503
1800,101567.34569020575,507.09567028924914,0.9172785676309735,9165.41402316944,7484.719491980266
1900,101756.43589460013,-83.81803393577289,0.9128921485665308,9152.053385846963,7405.838266354044
2000,101729.0661189291,-160.4244908314005,0.9141205400323724,9153.964158828174,7383.153828294812
2100,101924.63311614847,339.667406644308,0.9095829090540035,9118.933317641136,7313.311460409177
2200,101988.03717982794,369.13140960941354,0.9028997803937557,9126.342152196119,7165.014081773324
2300,102038.47145627919,614.4914461011198,0.8980219694727605,9128.082270716333,7081.645136940482
2400,102085.58783592936,-57.996897240881225,0.896046375531901,9146.510734981306,7039.74529303991
2500,102296.17771542835,-511.3558621986979,0.893390146397817,9142.539916904609,6962.784887443916
2600,102280.21279717491,-160.28565172681095,0.884198016450853,9129.33520076199,6895.046116852282
2700,102361.54773263093,-63.88846658341776,0.8804560077229329,9163.504750166598,6831.364825354833
2800,102570.72152055436,386.9677179100773,0.8753526580397295,9103.051497236742,6726.276440449588
2900,102662.77105718153,563.3417950623336,0.876321070823338,9113.090986415884,6656.6346529646635
3000,102707.41238714925,-367.3305249865841,0.870136160154881,9156.125783125093,6623.776010508681
3100,102836.200093684,-410.5745759069206,0.8682163414737825,9164.22925835154,6527.9402700870405
3200,102868.2565540848,-445.24797711491345,0.8614107605756992,9142.595551493883,6507.668156119838
3300,102904.79518528885,547.0943910151843,0.8607268887320834,9163.040382148369,6377.769408726057
3400,103044.30550479633,-98.4724173740171,0.8534321165822295,9114.08401111814,6360.241975745994
3500,103187.64816681048,-247.5840567520097,0.8528214748699908,9165.710037916124,6304.122135253179
3600,103218.76882392536,169.87301492881133,0.8460523575326615,9157.133724049232,6244.165672838437
3700,103353.2213336092,538.7808897087559,0.8415034198211286,9146.316463896706,6202.762825464421
3800,103409.11021062497,-520.9862953827994,0.8392934171392638,9142.910155016818,6118.901462580586
3900,103520.727623335,-105.91828101901804,0.8336157003716228,9158.609624639857,6034.212430922943
4000,103652.30709576627,91.19976343621099,0.8320418185678592,9154.141611195579,6027.81315835193
4100,103720.6653048234,645.0083299791936,0.8274579973974293,9162.504831219227,5974.0168421948
4200,103750.74102303969,-630.0057099374119,0.8215552501731389,9139.636344929786,5874.780011436804
4300,103937.28031499642,-282.14834115145237,0.8187996409113342,9133.608938139967,5815.215261910974
4400,103995.09734440535,-246.7894506148398,0.8162544385739728,9107.498485410715,5706.185569981393
4500,104117.32218635513,-38.93075005833549,0.8114751161260045,9151.61898648979,5634.80464246916
4600,104172.03171306537,-642.811862912672,0.8071066199326388,9104.833320750737,5646.798946410641
4700,104209.61211871589,451.0330350317798,0.8012669753795294,9144.307498234235,5542.245877258573
4800,104297.97851007631,-579.0865906292873,0.801469057524394,9127.651930612314,5566.110094544819
4900,104476.0357446351,441.86120119373504,0.7945332252948443,9116.382350360618,5417.014475345506
5000,104495.42806843002,222.53740829540519,0.7888454669085938,9107.45246853227,5355.179866552434
