miliseconds,G,M,C_T,T_beta,I_gamma
0,100025.50197924189,99741.66891631047,0.9978771501314304,4991.781392844859,9015.554143592235
100,100067.17281215366,-441.44050229197376,0.9978660227807221,7078.510007859117,8891.260606875072
200,100138.65535079844,-295.4730013855142,0.9917446198830592,8082.784662861447,8783.956419252016
300,100252.32935539684,-217.80326576516103,0.9886038517780856,8635.549203786359,8685.620160510305
400,100361.46484463068,699.4902212722077,0.9828757270756039,8862.163359352842,8687.204056418075
500,100466.6334358906,7.353601691421824,0.9802887356002096,8995.2560029879,8521.110338182492
600,100532.49803366039,-554.0641364579828,0.9740842277384651,9053.992092138951,8472.676456876112
700,100587.0550449891,-687.2578557194614,0.9703630695439104,9134.642827259107,8425.856440412868
800,100717.58650966082,-568.5792652037592,0.9639646286754456,9103.988335632745,8257.692755778375
900,100755.52807861441,-160.29832637224519,0.9565903147412267,9124.307350613655,8245.438189906357
1000,100826.8576311134,-681.0314621242985,0.9570975128248764,9141.458879355378,8148.044964992572
1100,100938.93702584984,-338.0280586950329,0.9510684675236988,9104.240302687414,7998.819093482974
1200,101032.07531367628,511.53558177094374,0.9461255742960955,9128.79140607397,8015.660778032203
1300,101096.64760491753,-330.56565906111035,0.9411535644200352,9114.715731574166,7864.137465873997
1400,101265.66429123849,229.71866356058229,0.939153520712562,9158.151137649445,7793.157906454179
1500,101364.26673227831,-660.6897564515905,0.9320996641096896,9128.07100052843,7682.5000061792425
1600,101457.20757982394,-287.6484992495895,0.9258741384046766,9148.796728356838,7592.6544788068095
1700,101451.76152176903,-196.29880746391498,0.9269957666483098,9111.245253291656,7583.590616461716
1800,101654.6713610652,381.99944986724665,0.9178338854162081,9147.581111408532,7479.1511231441455
1900,101763.92878049354,-577.0673502455721,0.9175889619577452,9145.094228395847,7394.131982164338
2000,101772.99609002052,274.7154547824186,0.9125723288040225,9162.64037073948,7312.502080206328
2100,101861.51340930538,-514.2578600755024,0.9098014660701644,9103.76749194199,7272.65559352787
2200,101937.86498202237,-248.16915260632126,0.9043812298006241,9133.21435568063,7161.205780389369
2300,101998.95031964788,378.13563995912654,0.8968021481325537,9135.825117895507,7072.613731484581
2400,102080.94150657818,511.6566818867456,0.8975890190058701,9125.790101649818,7005.8484120730645
2500,102264.437432861,72.89833230510649,0.8894761275227909,9120.700924536333,6983.361972582056
2600,102303.7619404694,-15.690322048216961,0.8892964611910104,9120.605775772603,6948.448915687454
2700,102378.79823091584,640.4921871973454,0.881745756412014,9138.147059766041,6830.921782238676
2800,102548.4271225149,413.55083376061816,0.8759521057467186,9143.323299150234,6729.279298410475
2900,102573.76257137256,25.771732458792872,0.872927559740439,9110.606811996142,6701.5238668348375
3000,102695.91617931674,-509.3839016601861,0.8699931569778978,9156.324224072165,6645.573923028451
3100,102724.88661769957,-439.6377562153993,0.8666526898486459,9122.240468606595,6526.235035350919
3200,102813.47982909028,-460.7317614185848,0.8650061640554044,9105.856998980385,6544.451383710254
3300,103005.44821934577,-375.28236259489495,0.8567028602703435,9102.252959741449,6451.008749041638
3400,103107.89005461558,-296.7762214389132,0.855090045310103,9116.757090308673,6313.723450686917
3500,103206.1014740254,-671.6093341139062,0.849565596109975,9155.965057193267,6254.120079695654
3600,103262.00385785649,-111.88572300898639,0.8487834610861127,9122.687410311359,6207.0085684791175
3700,103362.97904272853,-588.0039705791161,0.8403526941156685,9117.251029543073,6150.878543126459
3800,103357.67796510924,271.1393129865284,0.8351130474464842,9127.022426408977,6118.093772534892
3900,103540.49230140286,1.3390914405971004,0.8359416147091397,9105.476765913998,6012.920893968067
4000,103554.47402361322,231.04949178026038,0.8317080477482328,9144.49616648304,5965.280179287259
4100,103677.73563252567,-91.40008875417313,0.8291240853942972,9161.722652319502,5916.526291802246
4200,103848.93348684693,461.0595538123497,0.8224856136746227,9113.461048971709,5875.8011206805495
4300,103936.53150779406,-19.906713235168912,0.8155578595174338,9107.042843378333,5797.631310918327
4400,103923.1153052556,-122.18397606704704,0.8136383420949819,9135.449788469054,5726.8311747670605
4500,104033.32576703186,-151.60088600776265,0.8116093019434039,9119.69397003605,5683.210308093788
4600,104122.18216964323,268.2248020625069,0.8050657721822205,9109.310444718985,5611.115649633091
4700,104266.00264106035,-171.163237255416,0.8058086999137947,9136.669069884601,5570.821051850983
4800,104316.6691975618,548.5280073277287,0.799232693572233,9107.512154899412,5521.95868999321
4900,104434.23298422983,586.8956443158867,0.7963578119983142,9136.31413158973,5498.447655909516
5000,104519.45692226234,312.73894385066586,0.7903136032966432,9162.817975462658,5353.122060754853
