miliseconds,G,M,C_T,T_beta,I_gamma
0,99942.8760324409,100076.13743816811,0.9980538338458639,4992.436301110566,8999.69566758987
100,100126.23250178389,427.785821600419,0.9956214990731417,7053.694754234703,8894.719834879521
200,100175.63798805057,685.2416701974586,0.9932741801213529,8088.120815107797,8781.817249132126
300,100271.13559915952,-286.14599885291034,0.9833848734259607,8602.847250400748,8690.628814293117
400,100321.41745401862,-159.87733616215655,0.9848050111462338,8898.079782562345,8665.121870079582
500,100500.32077955322,124.96220598539361,0.9753128544033436,9018.893302326625,8519.215221003911
600,100578.08480433124,485.92930443860644,0.9744740960843618,9069.877163514306,8489.94958138636
700,100651.70808345707,197.74332956040556,0.9693783205228843,9124.640378811782,8347.35834414752
800,100700.63317254068,583.0372676491482,0.9648732320892227,9098.351706255457,8271.398387645324
900,100836.91841064634,-404.87769786425343,0.9611629579413652,9148.453038439455,8253.160537327882
1000,100828.52357515943,60.707206190369824,0.9579216729853399,9126.278731030696,8102.691663582903
1100,101030.03202482051,413.023485148043,0.9524031841600348,9159.262908685208,8030.020796554651
1200,101107.25341401612,593.4151112365695,0.94432952572825,9128.075674498212,7955.371147428396
1300,101132.44877569012,-422.31552108629677,0.9429222682163636,9145.334699876565,7919.514154612556
1400,101296.04550278895,-670.1003749228244,0.9398521727633846,9162.935633618159,7802.16667276006
1500,101358.88104070649,-88.3854456194073,0.935832449443164,9143.20370351241,7717.140785936438
1600,101366.55230469484,-292.6803750870269,0.9287764716364034,9162.72768763994,7694.436231365648
1700,101572.87883198628,424.7228638298239,0.923837275174306,9167.583444592316,7517.044467128517
1800,101668.37072048668,2.65612546488132,0.9190783671452546,9129.970285715155,7520.481532132395
1900,101646.23223029674,165.9340165047272,0.913520533354168,9157.902554113225,7420.085225327127
2000,101775.48335269399,-514.9960548081117,0.9141901063126702,9167.063165036523,7333.623385035896
2100,101840.13124031843,429.9871622244651,0.9061620106160233,9130.125949524845,7303.956991195665
2200,102022.09549719509,331.7618968728104,0.9004664747035763,9110.765589893777,7155.744131423174
2300,102072.9610176442,113.07710421049964,0.8967070743876389,9111.04767431202,7086.819595621209
2400,102098.1239940644,320.80730518241626,0.8944191827418503,9106.396403977153,7079.391604389418
2500,102259.69763417533,-413.87808613174826,0.8911740825184681,9142.8454075788,6948.5961437634
2600,102323.15294941094,273.494052866545,0.8856586529542203,9104.536764774868,6949.030637390287
2700,102354.46647863043,-171.47711061083933,0.8812115990669217,9158.023551816295,6822.905531263614
2800,102508.34979693232,-201.93734500978223,0.8785096617861544,9145.420624149352,6765.68200325984
2900,102663.32812464685,615.1045921063932,0.8729095543246094,9167.483328639757,6689.691690670916
3000,102639.75836544503,311.5133945917857,0.8723394883840093,9163.218340708654,6610.805048270409
3100,102847.21300197026,60.74088164177121,0.8658837068276365,9155.418002247325,6584.345075114991
3200,102886.82926169473,71.61107450055017,0.8617130837454995,9130.504642584547,6483.8849885516465
3300,102954.28181239766,-463.3071215871653,0.8568646132463698,9158.221788879797,6389.089834670926
3400,103019.00561121,-242.43825078398018,0.8553571812528304,9141.44297694408,6343.512031480943
3500,103207.29635482281,396.92395294238713,0.8483223929748251,9147.583678553152,6312.170938605684
3600,103185.96666564577,-208.31494860507107,0.8461697674641178,9132.091291892382,6285.956442644119
3700,103265.42932585951,577.9337738242451,0.8396992174481903,9142.427102105146,6162.242940395594
3800,103445.6966450951,260.1899201493412,0.8360202511569262,9108.711395069566,6139.722094002322
3900,103539.64113645088,-429.63861843409757,0.8323508249962914,9118.446750118384,6050.146920289384
4000,103589.41359253119,-630.9029835335537,0.827149167507728,9160.123550511134,6033.0293452034875
4100,103687.1949697898,657.8126602138547,0.8293671292568977,9150.156491340791,5872.201921470519
4200,103795.27099403233,248.38268033542224,0.8211390728906031,9133.436814196979,5896.711774148706
4300,103926.89446586353,114.9416196236714,0.8155597472521219,9160.753982282651,5791.633957732746
4400,103951.3235022827,680.8993035654067,0.816661535978017,9124.080431580654,5761.874372129161
4500,104119.32480903642,454.0940484291694,0.8084789836016226,9145.239075043692,5665.140478704692
4600,104126.50690939967,-688.9812273425887,0.8086984606409435,9155.40357870011,5627.599535883977
4700,104178.34233140206,497.32662973090544,0.8034441265377122,9116.733190585885,5619.638233660588
4800,104305.61363543589,193.72001301920645,0.8009314543694896,9145.075698416555,5515.262762841165
4900,104416.4928791036,-19.003874873998804,0.7965348145645242,9132.373341103761,5431.008031879603
5000,104547.8681237332,192.7285183147106,0.7915927911922347,9102.690477795462,5400.9553155420845
