milliseconds,VENUS
0,1.0
100,0.9978036912002752
200,0.9956114804790528
300,0.9934237276633038
400,0.9912405226069304
500,0.9890618935712746
600,0.9868878310839521
700,0.9847183359422795
800,0.9825534070236065
900,0.9803930189546062
1000,0.9782370741132174
1100,0.9760856714335082
1200,0.9739388109154785
1300,0.9717964925591285
1400,0.969658716364458
1500,0.9675254823314671
1600,0.9653967904601558
1700,0.963272640750524
1800,0.9611530332025718
1900,0.9590379678162992
2000,0.9569274195061372
2100,0.9548213089780299
2200,0.9527197036442553
2300,0.9506226035048133
2400,0.948530008559704
2500,0.9464419188089275
2600,0.9443582643385527
2700,0.9422790581086381
2800,0.9402043251031592
2900,0.938134065322116
3000,0.9360682787655084
3100,0.9340069508727784
3200,0.9319500061301436
3300,0.9298975041465911
3400,0.927849444922121
3500,0.9258058284567333
3600,0.923766654750428
3700,0.9217318529895994
3800,0.9197014195163178
3900,0.9176753859270007
4000,0.9156537501869023
4100,0.9136365102612767
4200,0.911623664115378
4300,0.9096152097144604
4400,0.907611145023778
4500,0.9056114680085852
4600,0.903616176634136
4700,0.9016252688656844
4800,0.8996386638848003
4900,0.8976563901133028
5000,0.8956784640907325
