milliseconds,IFNb_mRNA,IFNb_env,STATP2n,SOCS1m,IRF7m,IRF7Pn,IFNa_mRNA,IFNa_env,TNFam,TNFenv,STATm,STAT
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
100,9.862644577502724e-05,1.433466484267647e-07,4.85624631404113e-13,9.283063623741814e-09,4.475115012350068e-18,3.476205254932997e-17,2.349123905870228e-19,1.204541225153344e-22,9.829577392495253e-06,1.585387076911707e-08,9.661305881815765e-07,0.09955653142347137
200,0.000194555916642414,5.51175560813635e-07,3.5971833822106313e-12,1.7267561023101476e-08,6.50459703519767e-17,9.688098479456071e-16,1.1968443448018829e-17,1.0809757966262603e-20,1.932947601023134e-05,6.260272899102155e-08,1.8675610803110902e-06,0.0991486322928916
300,0.0002878620999753478,1.1941928732617885e-06,1.1280189458533807e-11,2.4135215889389217e-08,3.052590291373572e-16,6.875180598302354e-15,1.2737510870741325e-16,1.7325007895805152e-19,2.851588432085435e-05,1.3907719558959437e-07,2.7086249599128277e-06,0.09877389277923206
400,0.00037861642368784167,2.047660217310219e-06,2.491266458441806e-11,3.0042210754346426e-08,8.979359086806182e-16,2.7196438055078973e-14,6.672325678280235e-16,1.1940384179851566e-18,3.740422354921054e-05,2.441733795381815e-07,3.4933620944663393e-06,0.09843006518239493
500,0.0004668878566275058,3.0904901064709e-06,4.545397337414586e-11,3.512276914821084e-08,2.044589107699113e-15,7.817490191267976e-14,2.3923442427708808e-15,5.330222786080477e-18,4.600915775762944e-05,3.768488287110431e-07,4.225536163797668e-06,0.09811505271920676
600,0.0005527426108887272,4.304519435769457e-06,7.355609203949645e-11,3.9492390211154394e-08,3.960304802310218e-15,1.8362165277391088e-13,6.750488136883619e-15,1.8096238706301164e-17,5.4344595087492175e-05,5.36118341534935e-07,4.908651193696206e-06,0.09782689819438398
700,0.0006362437360602595,5.674028265086291e-06,1.0963256505201424e-10,4.3250262635661425e-08,6.8644559369043294e-15,3.75146115681023e-13,1.6119390919791805e-14,5.070367497094986e-17,6.242367224613489e-05,7.210505158539057e-07,5.5459632992818035e-06,0.09756377479345045
800,0.000717450618137383,7.1853136712705285e-06,1.5391800592262855e-10,4.648148934182028e-08,1.0972919354635968e-14,6.921836557970041e-13,3.40527127148967e-14,1.2318855012293202e-16,7.025872949639442e-05,9.307642279144812e-07,6.140491361011359e-06,0.09732397689685524
900,0.0007964184102278693,8.826355201309915e-06,2.065116885290649e-10,4.925897275379443e-08,1.6492764825468565e-14,1.181771187305719e-12,6.551218600098716e-14,2.6814124705996173e-16,7.786127768858952e-05,1.1644251538421175e-06,6.6950260185266965e-06,0.09710591136494724
1000,0.0008731973602565364,1.0586537217651201e-05,2.6741148902027025e-10,5.1645107595940546e-08,2.3618627875491738e-14,1.898109242802274e-12,1.170839046599856e-13,5.352829012345019e-16,8.524195545373826e-05,1.4212420978665414e-06,7.21213761753614e-06,0.096908088713157
1100,0.0009478320541746468,1.2456425352784421e-05,3.3653921661042716e-10,5.369320812584899e-08,3.2530471292126715e-14,2.9019692465016815e-12,1.971696528569098e-13,9.967143107380675e-16,9.241047737986425e-05,1.7004632658475627e-06,7.694182740560144e-06,0.09672911452382407
1200,0.001020360592944765,1.4427597516908279e-05,4.1375801834806727e-10,5.544866660830137e-08,4.339252123638341e-14,4.259987158628001e-12,3.161437914677397e-13,1.7526891759535256e-15,9.93755738996623e-05,2.0013725964079282e-06,8.143308975131716e-06,0.09656768140493682
1300,0.0010908137507191385,1.6492502064795097e-05,4.988866913967296e-10,5.6949923393661986e-08,5.635257872299348e-14,6.043920961020213e-12,4.864772505135858e-13,2.937585545505343e-15,0.00010614492747040207,2.3232861449455573e-06,8.561458427015776e-06,0.09642256147758073
1400,0.0011592141086387146,1.8644330215885377e-05,5.917123180280866e-10,5.8229318434711933e-08,7.154167853109733e-14,8.329811829600345e-12,7.228322092648059e-13,4.726257198572017e-15,0.00011272510624655343,2.6655482308087085e-06,8.950370838015197e-06,0.09629259879711456
1500,0.0012255751905264406,2.0876906596125345e-05,6.920003525242142e-10,5.931385756706212e-08,8.90742102055767e-14,1.1197028685446275e-11,1.0421237561250981e-12,7.340700881464129e-15,0.00011912149785053577,3.0275273886993587e-06,9.311586585277614e-06,0.09617670172083066
1600,0.0012899006475252381,2.3184599153540784e-05,7.995020323357732e-10,6.022587291417877e-08,1.0904843821608562e-13,1.472720581528495e-11,1.4635433771061838e-12,1.1056870776118515e-14,0.00012533824742351165,3.4086122221400755e-06,9.646449782332771e-06,0.09607383540160035
1700,0.0013521835499163296,2.556224440022904e-05,9.139600338044243e-10,6.098359562014649e-08,1.315472425320579e-13,1.900308547539343e-11,2.008541145524694e-12,1.6211477060049604e-14,0.00013137820540728369,3.808207203065358e-06,9.95611189930388e-06,0.09598301451488374
1800,0.0014124058510480725,2.8005082991764736e-05,1.0351131944167508e-09,6.160164725376735e-08,1.5663895151133756e-13,2.4107264944802512e-11,2.7007653739824153e-12,2.3208646213990512e-14,0.0001372428915005103,4.225728425024567e-06,1.0241536542878544e-05,0.09590329622601117
