milliseconds,T,T_i,V_I,V_NI
0,180006.3331643144,1668.3259575849663,134346.742807901,-151.74290467606065
100,179480.37884277673,1660.3946522012086,130794.06808592626,3370.382090779274
200,178548.2553114117,1672.3395070035185,128997.99774863583,5862.550355682376
300,178904.53390731668,1656.1759146184438,125803.63161749543,7817.327401369723
400,176744.69021966215,1654.3185876406042,124754.16359663416,9344.739148405988
500,176565.1391030996,1661.9055039126927,121585.6343765753,10167.57448258062
600,176314.59353058803,1625.5148972797695,120635.55419265211,11170.69627538103
700,176202.29481838102,1636.7531075108748,119444.91392851812,11627.60807398576
800,174908.26934350756,1625.5107032208412,119916.71308218753,12177.25228657299
900,175091.30326432528,1599.67444735553,119506.05180703122,12371.249806557958
1000,173148.2478342969,1592.2231070068237,116958.1617756222,12324.176838111334
1100,173264.36272454585,1590.8369108016152,118147.7061869343,12386.471033379246
1200,172420.42747005622,1577.0836419321736,116360.81437024723,12397.545649698002
1300,172959.0149688509,1562.7369707970943,114583.54666136534,12499.962215532485
1400,171119.0858000568,1573.5275930480025,115841.62314220538,12766.007457072852
1500,171202.72373483016,1565.4127277798816,114853.2096617552,12416.818971734665
1600,170014.07941816328,1532.2025158273666,114112.99210717926,12461.018570973714
1700,169790.84975755465,1516.9531683069174,113691.21253177729,12237.72488685589
1800,168671.87130086345,1517.1331944319743,110895.73984345965,12206.428175143048
1900,168326.71065154907,1506.6203435271107,111348.96147008165,12330.171651893892
2000,167414.03844596475,1496.7330517345351,111234.09805230577,12192.153979402763
2100,168384.54270947867,1484.7254323230343,108861.43482173809,12300.589480848892
2200,167721.79373015973,1482.2027351822396,109548.23800992199,12084.78520087567
2300,166409.11797839068,1455.0486737900158,106996.14915131636,12084.497460732151
2400,166681.83122147236,1452.49014663308,107003.3576440315,11838.962414650188
2500,164674.94492884158,1451.5674064924876,105513.93480699131,11934.01251295507
2600,164411.17400315788,1437.650253686478,106485.16004293833,11957.432615145066
2700,163684.47259983176,1414.743316806122,104242.99393840082,11455.925330019425
2800,163943.2810924991,1415.2818114221536,102837.4773834334,11674.762111025742
2900,162518.27524759073,1392.9544097414735,103522.25068924228,11344.635072942485
3000,162659.1811925976,1380.3625053741114,101834.9088012349,11535.54456342829
3100,161261.17560176892,1374.280291139494,102257.9488528763,11396.64764942438
3200,161778.95835551154,1366.2260052776005,99714.9546295194,11244.099984047118
3300,161536.42632995915,1342.5943757414013,100285.29757216843,11163.030521901323
3400,159672.1498258904,1335.8079982327938,98144.20706491484,10911.251362561083
3500,159328.0813564144,1307.035572691237,99101.60406817995,10754.444129148604
3600,159974.17811711796,1295.5812372947717,96510.21294113998,11007.384944718615
3700,159290.19552000143,1311.5880894314635,95750.04081948129,10487.885559185246
3800,158118.54630650702,1286.310137200902,95339.36089560007,10443.024546424043
3900,157328.14769590483,1275.100171743041,95097.68369442578,10334.531296096338
4000,156932.1997519036,1274.6990515615248,94554.33888899493,10357.374024481529
4100,156530.632030737,1240.8982640547442,93768.72077658767,10280.558914299121
4200,156508.3856983747,1224.4131254839194,92790.94935958687,10000.753095581833
4300,155687.61065697158,1232.6972354250368,91444.92774661769,10244.325298697493
4400,154483.99639763913,1194.9154218451652,90317.70919341846,9927.097844083963
4500,155237.1079621768,1181.9730923126303,89136.61309047427,9695.853808858568
4600,154330.15732672205,1196.2064172868318,88808.9242115752,9818.804694170816
4700,153240.78178565315,1187.5118518434053,87530.10344257072,9900.885666033355
4800,153892.87793053218,1158.2648881747862,87732.14776241896,9722.101269050214
4900,153368.9865756171,1130.6372298313124,86492.75914428354,9680.461089702316
5000,152320.53685647508,1139.6107290424306,85403.03045424272,9467.864034598262
