milliseconds,T,T_i,V_I,V_NI
0,180312.5072915796,1689.5446331365727,133534.1737921447,220.79706758630792
100,179272.85744757674,1679.6401085859818,131704.5913788774,3645.5140135591814
200,178617.87515717157,1678.110101961093,128558.45038352793,6225.291284947293
300,178650.9028406661,1669.6873612303687,126235.42849573358,8125.531590816877
400,177415.38895757598,1648.618869717576,124317.41484208545,9315.375963639499
500,177146.42853781307,1634.798842143896,122106.15908012749,10116.088790096368
600,176078.0166364857,1635.459661707962,122524.68421524079,10897.0008630223
700,175847.52832011774,1620.8059500543109,120690.56054267917,11521.979945641986
800,175454.04056143577,1633.7604486970777,120221.36484490702,12124.56087157632
900,174878.86730561027,1606.8312852789115,118615.41089449095,12368.856321112888
1000,173895.84987070053,1613.2512719013619,118256.97627546218,12303.552162398373
1100,173810.40466553895,1591.6805888573942,117597.68196982455,12555.603065535246
1200,173516.7938577063,1600.4657640175385,116035.01728473867,12743.363237496738
1300,171932.81246968132,1586.381732151148,115365.32634444906,12630.133043075974
1400,172010.66182531725,1573.2018898905467,114689.35467371267,12392.06319174311
1500,170887.55980382935,1554.4864898515762,113098.91379266686,12703.102348880377
1600,169690.94906577867,1535.9042952010814,112356.44741894027,12322.70111258285
1700,170225.1794657603,1538.7977115221686,111625.25763568113,12511.045542790149
1800,169581.35516010303,1505.5208597354406,112022.08897129136,12332.006799308721
1900,169369.7250110141,1507.1574442346716,110723.68093571188,12207.228598195226
2000,168796.25009261054,1482.3534937125105,109840.92661914161,12422.640984508238
2100,166895.05620243296,1491.347579792742,108987.3538603963,12144.642499136049
2200,166771.44813969545,1481.9997716026269,107850.26318032571,12033.571286502642
2300,165643.42646598484,1449.2228394316396,108226.37276424206,11829.337094018007
2400,166589.84397957736,1447.7868755300944,107431.94229969304,11766.999819812338
2500,165097.0089747238,1456.3335642734517,107240.53595205194,11875.824026598797
2600,165613.43781971367,1439.523975434113,105399.78583065707,11585.433215619743
2700,163673.89762783627,1433.3137443583762,104288.65056907498,11586.872916960469
2800,163414.6858374447,1418.1846621952886,103815.63619380358,11408.202658961287
2900,163199.8936158833,1394.768651190484,103056.86389565434,11469.317006157191
3000,163183.07554653636,1389.7884753531478,103606.71901862982,11339.28720684432
3100,161356.63338604438,1381.6886674327354,102619.44272854774,11494.479920159487
3200,160944.36489139765,1351.5675033695807,101767.54636787543,11187.655846266096
3300,160439.59218562848,1345.793212198969,101016.99053780877,10884.547208503265
3400,160054.5369329196,1321.8763859333787,97827.2232681781,10863.120706057009
3500,160704.1328807009,1313.7016587937212,98952.43868322033,10797.541348593084
3600,158762.53803475585,1306.2837495135466,96134.67438530448,11012.846575214042
3700,159085.4744896582,1306.6463697058741,96820.8391042855,10489.570047953734
3800,158188.53659434838,1276.6986240057315,94506.88694098935,10649.651837584583
3900,158459.89924405076,1281.0514013143534,93491.99351441038,10307.350051194966
4000,157062.30462111605,1260.238929264563,92645.9178778156,10214.385742276614
4100,156527.1356507411,1263.3175144109955,93658.52045592408,10198.317266188518
4200,156178.90136974433,1226.6137345968687,91135.56549904174,10382.268174057172
4300,155486.95696899146,1217.1355591687761,89753.73980179249,10220.115545138404
4400,154403.42178687226,1213.1454070721477,89469.99800358244,10067.917977833822
4500,154646.89755706154,1197.7334994615564,88605.68371073918,9702.125878085906
4600,154813.56337800232,1192.8564244881359,88780.36463934953,9931.189372667935
4700,153787.69293988697,1161.3011770559106,87391.6630980194,9910.066873536469
4800,153032.630945569,1154.2922176779543,87505.23566562266,9707.400645189118
4900,153325.0903864271,1138.931183478799,85823.3860959267,9628.945150891983
5000,152133.24153633032,1148.1708990963705,85746.89096597493,9212.544770679933
