milliseconds,T,T_i,V_I,V_NI
0,179470.38928497155,1659.2354532836077,133081.00385155893,-124.27687893985278
100,178835.17958297284,1669.1801045568977,131031.30921229579,3596.786224367365
200,179167.17997683195,1683.2406844193615,127171.20057348955,5896.048144468621
300,177931.74216480437,1664.497384905918,124801.40262440199,7811.069166095443
400,177119.451132632,1670.483686922778,124501.89761268554,9414.376475623465
500,176155.02919916844,1654.476610529902,122414.59594487167,10143.424256809267
600,176192.4062909273,1626.4253491725444,120866.20329394682,10924.295595436983
700,175551.92515486563,1641.5557068747926,121252.31128741379,11737.245234393946
800,175008.40882614526,1617.2344119463205,118818.33464800888,11904.881937079674
900,174593.83781872113,1610.7100419186618,119189.6394878658,12281.580170394796
1000,174659.71312828403,1612.086511586929,118601.3151397667,12304.69858432725
1100,174007.09642736637,1593.9375086550035,118384.23963611294,12620.299089438677
1200,172464.20944060804,1595.3541437908916,116156.7422494303,12624.544157967965
1300,172164.30916881032,1564.5518996531353,115002.31824887928,12393.731329595937
1400,171263.47150128827,1565.6789395519675,114834.5574836906,12730.743088194966
1500,171497.9072693957,1549.6070103869988,113388.10240769455,12623.576735447006
1600,169804.87406165097,1527.8326903173831,114202.71507292196,12467.140043516056
1700,169257.04464161303,1522.4346646816705,112375.20987234241,12596.08226520598
1800,169691.92318369204,1504.7628984610808,111820.98608402688,12259.698520921651
1900,168257.02391313904,1509.767073406288,112055.715096241,12238.85432111247
2000,168576.7470831052,1486.9538318959856,109526.76898288053,12402.7223195824
2100,167836.12566540483,1485.2786007535199,109218.4782348918,12020.243980320287
2200,166847.31862683455,1479.145095179686,109712.07575221862,12186.635623208784
2300,166637.0537311206,1472.7946040845854,108699.15645152255,12159.90023436531
2400,166216.83907573155,1437.8486330786745,106229.59649297483,12001.659652296545
2500,164644.32024894693,1439.8989463679497,107298.90065096322,11995.048416661642
2600,164708.66303217775,1446.128301752352,106606.52207447891,11640.390470842736
2700,164513.37312642531,1401.2767719818924,103556.784893756,11646.018504364563
2800,164402.60548852535,1421.186362394136,104031.22157350887,11495.74592630071
2900,163100.38802709334,1386.0425083227842,103018.2844206136,11450.992211931785
3000,163327.98658126176,1369.2863317863978,102895.33977739041,11238.501020605658
3100,161306.7137852996,1376.5503080192595,100558.779082005,11121.752879663982
3200,161880.3028223058,1343.9224353646152,101285.5637278848,11131.374627666426
3300,161416.30236231833,1358.3532701033848,99890.41864920896,10868.409659323868
3400,161268.3302010528,1336.163533527737,97626.96471423424,11084.143146451781
3500,159278.22277517954,1319.9387837620504,96994.99206838085,10807.707513453895
3600,159081.99411418385,1307.1881923294939,97549.50524393292,10586.64533074916
3700,159639.10007471446,1312.928499786472,96017.92252777633,10652.10148973068
3800,158322.43464984174,1285.8946874711494,94296.11772086791,10385.998557782363
3900,157371.09290636537,1257.193616883801,94873.00157149359,10378.856383784247
4000,156822.6505702518,1245.4011506514428,94352.23776028541,10301.948328999877
4100,156903.20252871598,1239.3726684467188,92723.73360222716,10452.089084311125
4200,156400.17044337935,1218.5436703960033,92059.22210610818,10238.23452327078
4300,155808.00341838156,1226.2939411969508,92077.07067026287,10099.98394836022
4400,155171.74934517778,1196.1930727416022,90519.0363656529,10134.778060646973
4500,153969.89098823725,1206.1421057906402,89487.74252065684,10085.009361479591
4600,153944.87491091542,1189.8399524603687,89314.82346254853,9596.729476177128
4700,153813.5945956002,1166.716568882889,87120.94591309097,9834.52401702031
4800,152687.56777272248,1148.2312708607992,87000.8602401282,9477.75889256838
4900,152527.53258046342,1152.777560686019,85639.95390040278,9463.55879687344
5000,152267.7872656208,1125.3826007442078,85069.11215163395,9558.991786093113
