milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2
0,5.0000000887865816e-08,1.499117882221774e-07,-4.4487707252207456e-14,2.1997516049646513e-07,-1.6460586558562883e-10
100,4.9993100039590666e-08,1.4991262801504892e-07,6.8863096710567724e-12,2.197034697217557e-07,-1.0686320768927826e-11
200,4.99932080274292e-08,1.4979661239585878e-07,6.788879471452811e-12,2.1980571009308665e-07,3.811576592781515e-10
300,4.9993164014944966e-08,1.4973348258743464e-07,6.734052791366401e-12,2.19366220034832e-07,3.0347174242212e-10
400,4.9993189754795884e-08,1.4948446992898351e-07,6.806653874230779e-12,2.194661649227818e-07,6.342757374003357e-10
500,4.9993180386519584e-08,1.4913926204881604e-07,6.873781859270915e-12,2.192298581798165e-07,8.919625773140558e-10
600,4.999316725767839e-08,1.4929780932222583e-07,6.708639832940746e-12,2.1899174045482304e-07,7.072200172097079e-10
700,4.999328704605164e-08,1.4903661604598158e-07,6.8155641842731055e-12,2.1909207290794897e-07,1.1595933303154235e-09
800,4.999324255583469e-08,1.488007126988758e-07,6.8072537497377585e-12,2.1887129534183858e-07,1.0635262501024558e-09
900,4.999322517300743e-08,1.4873752366574525e-07,6.7898331129990025e-12,2.1851146315304657e-07,1.3108217418065965e-09
1000,4.999319896826518e-08,1.4854915835647515e-07,6.837465097765954e-12,2.18606517038225e-07,1.5063459974193907e-09
1100,4.9993181968627344e-08,1.4849097691513172e-07,6.725701107557985e-12,2.1825576377409185e-07,1.5376270228730313e-09
1200,4.999314822659817e-08,1.4840702634246683e-07,6.724080351375658e-12,2.1820237960943278e-07,1.660798438879714e-09
1300,4.999327101127431e-08,1.4795169632260638e-07,6.753974309979536e-12,2.181096564080466e-07,1.8743416727789287e-09
1400,4.9993297047638405e-08,1.4809871767936636e-07,6.8064557771680424e-12,2.181217220698435e-07,2.1799978873418744e-09
1500,4.999312894075594e-08,1.4778387868063793e-07,6.856862799035603e-12,2.1769600296455189e-07,2.0227115973116147e-09
1600,4.999326966570843e-08,1.476195427460648e-07,6.856698389890888e-12,2.1775712524911081e-07,2.315560170506582e-09
1700,4.9993161686198574e-08,1.4735673374029584e-07,6.790995963878926e-12,2.1734167824729597e-07,2.537121841515526e-09
1800,4.999317059836475e-08,1.4749743989673683e-07,6.785115268708887e-12,2.172570822039541e-07,2.518473829322762e-09
1900,4.9993266159535044e-08,1.4702447402052933e-07,6.749577861294898e-12,2.1713056513844563e-07,2.613243780960114e-09
2000,4.9993185304130726e-08,1.4710449242737217e-07,6.765290850429334e-12,2.1688783665472634e-07,3.073950101623582e-09
2100,4.999319930908116e-08,1.469948807337361e-07,6.759762487935598e-12,2.168463912092617e-07,3.1439356660610273e-09
2200,4.9993325811909784e-08,1.466193110816761e-07,6.679209564307797e-12,2.1697598770512698e-07,3.152327436304246e-09
2300,4.9993232173846846e-08,1.46485299652265e-07,6.6963168214601315e-12,2.1664436639063804e-07,3.5332609765554864e-09
2400,4.9993322341499564e-08,1.466980205700552e-07,6.7383488851459995e-12,2.1660637811773604e-07,3.5904119734614954e-09
2500,4.999321744022817e-08,1.4631187864806454e-07,6.703291471872485e-12,2.1628739755612511e-07,3.756941225510367e-09
2600,4.999330296888062e-08,1.4629988994518787e-07,6.7292015551981e-12,2.16178567655195e-07,3.823365387841028e-09
2700,4.999327011206033e-08,1.4617272760243753e-07,6.792181969775803e-12,2.1596678098247117e-07,3.762363126369674e-09
2800,4.9993224584150014e-08,1.4609588093766696e-07,6.808958270458398e-12,2.158216037703594e-07,4.136545542441971e-09
2900,4.999323685452869e-08,1.45667294311232e-07,6.842063629404686e-12,2.1579943744601969e-07,4.162267662724957e-09
3000,4.9993295985731066e-08,1.4559044867582787e-07,6.6998970871032095e-12,2.1583373788871792e-07,4.537284517291496e-09
3100,4.999323933209642e-08,1.4553958332474353e-07,6.790890498626175e-12,2.1554424146559735e-07,4.669676123307365e-09
3200,4.9993293285540624e-08,1.4546057037396958e-07,6.677249727248893e-12,2.1536893716704245e-07,4.849234316183586e-09
3300,4.999326860495194e-08,1.4508012649620265e-07,6.763615894769184e-12,2.1539263248352806e-07,4.826684263991655e-09
3400,4.999327330334132e-08,1.448650996465428e-07,6.801861053508903e-12,2.1521188844431036e-07,4.9146699376930145e-09
3500,4.9993285694850784e-08,1.4487018526333834e-07,6.759911076833844e-12,2.149158598699578e-07,5.192414513535047e-09
3600,4.999318451223528e-08,1.448549343483553e-07,6.806829780220235e-12,2.1490482147999853e-07,5.236554652040051e-09
3700,4.999328449191634e-08,1.4468240752520926e-07,6.801525089137653e-12,2.1486443205817114e-07,5.2417668517397255e-09
3800,4.99931946492887e-08,1.4436894798761348e-07,6.6532899353165435e-12,2.1435940427905625e-07,5.460383537415457e-09
3900,4.999334019814918e-08,1.4424072708270564e-07,6.802780379637117e-12,2.1451482515052174e-07,5.797296221577887e-09
4000,4.9993229878805874e-08,1.4410068058736603e-07,6.797536690889138e-12,2.1414301547355792e-07,5.7276672512397244e-09
4100,4.999332515780682e-08,1.4431302022691726e-07,6.62986276032942e-12,2.1403298301182533e-07,6.0180004637737755e-09
4200,4.999330052780305e-08,1.4377415778144474e-07,6.791564231341094e-12,2.1382461477368566e-07,6.0647271538908805e-09
4300,4.9993325005811107e-08,1.4372169173132974e-07,6.784863562657225e-12,2.1368642853366656e-07,6.3118630114864755e-09
4400,4.9993244519462776e-08,1.435321399063657e-07,6.744898514704326e-12,2.1388332029172088e-07,6.1507820307815544e-09
4500,4.999331801004124e-08,1.4347146144243755e-07,6.660153073359547e-12,2.1372654137988874e-07,6.312020234309449e-09
4600,4.999333715624783e-08,1.4328093073451834e-07,6.685191271343324e-12,2.1337131381737886e-07,6.7120940238256126e-09
4700,4.999331006118983e-08,1.4332120824046705e-07,6.659026435393996e-12,2.1316689302632076e-07,6.737767742288739e-09
4800,4.999327933186314e-08,1.4327956539993646e-07,6.671068792118493e-12,2.1309937772129984e-07,7.035268200121957e-09
4900,4.999337242185654e-08,1.4312471000097757e-07,6.632304305132402e-12,2.1310667516120288e-07,7.0338464997604594e-09
5000,4.999332408623896e-08,1.4306522853379095e-07,6.720826959138014e-12,2.1285179867481327e-07,7.040430875108701e-09
