milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2
0,5.00000210413084e-08,1.5004482037273714e-07,-8.764117582943575e-14,2.198045615789427e-07,1.5731008949010344e-10
100,4.9993207002877046e-08,1.4997776948025434e-07,6.818635441413842e-12,2.1982357453881279e-07,3.426194888970496e-10
200,4.999310100948429e-08,1.4978826652506053e-07,6.749916471067293e-12,2.19748731410962e-07,1.6456536078672886e-10
300,4.999318436228688e-08,1.4943929487695955e-07,6.719748421124289e-12,2.1963103989122652e-07,4.0345035681601126e-10
400,4.99931880866669e-08,1.49238712415286e-07,6.716432619675634e-12,2.1946882109971391e-07,6.187812064397821e-10
500,4.9993165381019136e-08,1.4938972552275604e-07,6.743351214050038e-12,2.1918099727360135e-07,5.814712714903114e-10
600,4.9993139739067386e-08,1.4915075081771105e-07,6.7171750650850746e-12,2.1907616697824686e-07,1.036350016264166e-09
700,4.999319335796032e-08,1.4907014593675507e-07,6.8573234759157016e-12,2.1889256581924684e-07,1.152394648508045e-09
800,4.9993208661582604e-08,1.4891420450930906e-07,6.816486314474977e-12,2.1891842963432563e-07,1.1776205356485101e-09
900,4.999321083478423e-08,1.4858383521973047e-07,6.884787817449003e-12,2.1867149403532054e-07,1.1392553366414676e-09
1000,4.9993227975505114e-08,1.4858105934767534e-07,6.821952422793076e-12,2.187337616028916e-07,1.2845291549920286e-09
1100,4.9993121966076485e-08,1.4855993110821422e-07,6.820561465711478e-12,2.1820325562206747e-07,1.6807122157442873e-09
1200,4.999320354011147e-08,1.4806575669153023e-07,6.867948501384966e-12,2.1817524178317964e-07,1.686935474525434e-09
1300,4.999318113480208e-08,1.481731044777286e-07,6.7848434105320836e-12,2.179738826876467e-07,2.1074839481749714e-09
1400,4.999328082220193e-08,1.4798904270065886e-07,6.786541863116142e-12,2.1805867049103016e-07,2.0878663431533444e-09
1500,4.9993289400483324e-08,1.4793623422093474e-07,6.7796430375599214e-12,2.178326313319515e-07,2.0752477620689253e-09
1600,4.9993245624813984e-08,1.474741355966726e-07,6.862670517982647e-12,2.1759228394364134e-07,2.3402479167196634e-09
1700,4.999319654727796e-08,1.4767179189502902e-07,6.794459275379317e-12,2.1731103097838622e-07,2.595240401185148e-09
1800,4.9993288552767e-08,1.4747311480222088e-07,6.761043637716239e-12,2.1741210664274356e-07,2.8252770738821422e-09
