milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2
0,5.0000061590909316e-08,1.4999194610751614e-07,-2.10005315478463e-14,2.1989901132809955e-07,1.9034146948667257e-10
100,4.999319326239257e-08,1.5000752564797507e-07,6.727676721513872e-12,2.1970493865650647e-07,1.956969873678527e-10
200,4.999320129712223e-08,1.496198894757023e-07,6.814969498581211e-12,2.1989567449355343e-07,2.732061361202825e-10
300,4.999326928669152e-08,1.4952776476439634e-07,6.7426315561888825e-12,2.1966758543927627e-07,2.833308705062078e-10
400,4.999316774214311e-08,1.4945942810254203e-07,6.758325827602193e-12,2.1955755549753091e-07,7.058110236933396e-10
500,4.999324644618254e-08,1.4922135303237034e-07,6.7668722546239205e-12,2.1942108554886005e-07,6.004915863348574e-10
600,4.999327971039124e-08,1.4903069774792085e-07,6.822177506783326e-12,2.1897920655552833e-07,8.416480753871078e-10
700,4.9993273257831966e-08,1.4889984952222138e-07,6.885493713730904e-12,2.187801596204516e-07,1.0154550772785767e-09
800,4.9993220243274785e-08,1.4894592071556022e-07,6.79211201076832e-12,2.188010310325389e-07,1.33273228407435e-09
900,4.999319248337646e-08,1.4864845141757392e-07,6.74953389132899e-12,2.186574229571746e-07,1.3774833414457821e-09
1000,4.999326571859297e-08,1.4832818833704825e-07,6.711619370191677e-12,2.184110049713254e-07,1.3075925683304928e-09
1100,4.999315010621412e-08,1.4836999140193878e-07,6.739544198883664e-12,2.1845124161316525e-07,1.7953655687665315e-09
1200,4.999328406332671e-08,1.4801390324196244e-07,6.828098710252665e-12,2.182090196859926e-07,1.6472330546497552e-09
1300,4.9993183850034036e-08,1.479167275068976e-07,6.840874557758683e-12,2.1793060201644203e-07,1.7528205872683854e-09
1400,4.999330202180832e-08,1.4796345479029478e-07,6.867424730007249e-12,2.180914300784505e-07,1.861933857007951e-09
1500,4.999314040747127e-08,1.4790372733672126e-07,6.717413558000227e-12,2.178687045142303e-07,2.035680681545597e-09
1600,4.999318425129244e-08,1.476426662022795e-07,6.709917241785856e-12,2.176866389620235e-07,2.465782950222174e-09
1700,4.999322280369484e-08,1.4733304893648495e-07,6.700172295122832e-12,2.1765019058228594e-07,2.428625711431183e-09
1800,4.9993277092422923e-08,1.473361151508591e-07,6.838300449151679e-12,2.1720481454603556e-07,2.7039457254722885e-09
1900,4.999319510717404e-08,1.473258369616775e-07,6.856822757550271e-12,2.1713033953394987e-07,2.619275323046358e-09
2000,4.999326432978637e-08,1.4702018877791161e-07,6.75788131616449e-12,2.1699199826823411e-07,2.8597332863990727e-09
2100,4.9993315561525346e-08,1.4678530884875735e-07,6.775796350555516e-12,2.170136425206048e-07,3.1534070640974846e-09
2200,4.9993178508817284e-08,1.4660316056376682e-07,6.754788840244591e-12,2.1687348745621886e-07,3.3554926541850276e-09
2300,4.999317269634412e-08,1.4643028110372483e-07,6.774598091183345e-12,2.1653980369772084e-07,3.408101556319085e-09
2400,4.9993268461888194e-08,1.4669088133446262e-07,6.7902398342335775e-12,2.1632584698471556e-07,3.510928065033443e-09
2500,4.99932959717346e-08,1.464201874841514e-07,6.839719472111664e-12,2.163022694461231e-07,3.792174342842233e-09
