milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2
0,4.9999994096198745e-08,1.501646631905978e-07,1.0649572259087804e-14,2.2008406066922102e-07,-1.1403591898147765e-10
100,4.9993275304438836e-08,1.500248660488676e-07,6.86821884607096e-12,2.1993374607994884e-07,-5.0219570021331055e-11
200,4.999318572546399e-08,1.4988227857612827e-07,6.846442731681093e-12,2.196103273895032e-07,3.952489064545283e-10
300,4.999312378995784e-08,1.496970787112266e-07,6.843458543146866e-12,2.1948413811474052e-07,2.6514393912045064e-10
400,4.9993200544649306e-08,1.4928125878729598e-07,6.779526246326108e-12,2.1951219959299188e-07,4.847757784242036e-10
500,4.999311967025114e-08,1.4924496052018787e-07,6.871078298098059e-12,2.1908528016176692e-07,6.258992698076857e-10
600,4.999325455113911e-08,1.4908960621693262e-07,6.7478848980422845e-12,2.1909411807090213e-07,8.33526814158297e-10
700,4.9993235855410734e-08,1.4891218712653165e-07,6.824217808002513e-12,2.191721434221173e-07,1.2134248763356153e-09
800,4.999329928516168e-08,1.489593957698032e-07,6.8357663425470675e-12,2.1892049119442772e-07,1.3430116346162598e-09
900,4.999312578953209e-08,1.4873407544643736e-07,6.752229335282634e-12,2.1853360187137342e-07,1.3126396687816462e-09
1000,4.999313889956357e-08,1.4851291960528021e-07,6.731056356156532e-12,2.1839060454245804e-07,1.3817092599568933e-09
1100,4.9993303955720526e-08,1.4836280890032538e-07,6.703628522316584e-12,2.1853087440386283e-07,1.5794748547459707e-09
1200,4.999330287270922e-08,1.4832302413998663e-07,6.722237250160029e-12,2.1825440317949538e-07,1.9134573111945385e-09
1300,4.9993124247940304e-08,1.4822692823261507e-07,6.7507209762709875e-12,2.1805890877592751e-07,1.7832109952012643e-09
1400,4.9993304345855074e-08,1.480351327707297e-07,6.863925191518788e-12,2.179316240940947e-07,2.117431192967714e-09
1500,4.999318614427583e-08,1.4787923630743355e-07,6.766785519528117e-12,2.1761079724436523e-07,2.232287159984488e-09
1600,4.999318424278336e-08,1.4782974177518738e-07,6.700653886367761e-12,2.177676767546747e-07,2.401715417031924e-09
1700,4.9993138704206113e-08,1.475289956225292e-07,6.857125902264543e-12,2.1764799645315802e-07,2.444819905749165e-09
1800,4.999317603428437e-08,1.4755506975996483e-07,6.807029879384227e-12,2.1730868068808728e-07,2.841543763290605e-09
1900,4.999314511449469e-08,1.471094187316058e-07,6.681121562697097e-12,2.1719127780087328e-07,2.7343470812851103e-09
2000,4.9993191256882323e-08,1.4697357010942269e-07,6.6797771476642815e-12,2.1720281512929006e-07,3.1308657359267617e-09
2100,4.9993175898252265e-08,1.4696604178375706e-07,6.842208124025064e-12,2.1697708271113e-07,2.947321050518252e-09
