milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2
0,4.9999942843297663e-08,1.500627545347949e-07,1.735306613942711e-14,2.1980236770199915e-07,-9.073909779746667e-11
100,4.999319693312624e-08,1.4987573484249965e-07,6.843474477669156e-12,2.1970044788695818e-07,-3.495070931377616e-11
200,4.9993142400687416e-08,1.498016203598837e-07,6.804502407603179e-12,2.195128536392579e-07,3.861570323740051e-10
300,4.9993115851831445e-08,1.495181604168465e-07,6.889703820375309e-12,2.196019082800416e-07,3.6554889718576e-10
400,4.999326480270183e-08,1.4958796694150683e-07,6.722848182342899e-12,2.1961293841075678e-07,5.558027420066268e-10
500,4.999326977317433e-08,1.4920353928193e-07,6.743858390080363e-12,2.1927809129761913e-07,8.579889784299151e-10
600,4.9993196331832065e-08,1.4900060668297524e-07,6.856800691748148e-12,2.1905301335693269e-07,1.0656973466343592e-09
700,4.999325794538681e-08,1.4879685990515198e-07,6.8434697352866125e-12,2.1908924012924686e-07,1.1597530855996586e-09
800,4.999324814271983e-08,1.488940600127819e-07,6.84692531814078e-12,2.1890732868842914e-07,1.3041259435147916e-09
900,4.999328966599243e-08,1.4875028129898936e-07,6.777912502185038e-12,2.1857524695014553e-07,1.361525344640192e-09
1000,4.999316984725621e-08,1.485189697956966e-07,6.69989098900045e-12,2.18701559464188e-07,1.5874037798591839e-09
1100,4.9993201300398e-08,1.4826258105420595e-07,6.779420977144584e-12,2.1823474168924313e-07,1.4345208539790839e-09
1200,4.999316287735072e-08,1.4838699901505039e-07,6.81165458307008e-12,2.1816918957043878e-07,1.740368528243796e-09
1300,4.999330502696251e-08,1.47952573899211e-07,6.860166602587196e-12,2.18209268300114e-07,2.006689411225147e-09
1400,4.999330453062882e-08,1.4782135714466344e-07,6.872161818319045e-12,2.1809118580668377e-07,2.2159149337542476e-09
1500,4.999324904164177e-08,1.4759887165820477e-07,6.749413093054195e-12,2.179109039136305e-07,2.386676502042476e-09
1600,4.999321225844693e-08,1.4771244601153574e-07,6.86419715085315e-12,2.174570496499624e-07,2.180210136793141e-09
1700,4.999316810124456e-08,1.4765740964101628e-07,6.702866223931326e-12,2.1743094495688316e-07,2.4769494782495874e-09
1800,4.9993288033593276e-08,1.4736089292061396e-07,6.846401669553515e-12,2.1737552598561357e-07,2.713681085294289e-09
1900,4.9993321941815096e-08,1.4713882853345258e-07,6.760089511163426e-12,2.1739143067070908e-07,2.8507127845980877e-09
2000,4.9993197278254945e-08,1.4712007122971568e-07,6.712725969055493e-12,2.1702702230874325e-07,3.0939454198940348e-09
2100,4.9993279093286884e-08,1.4694957270764262e-07,6.798675493940629e-12,2.1698882541761566e-07,2.8738453994279307e-09
2200,4.999327702514987e-08,1.468730120072696e-07,6.8130244317484154e-12,2.1690417586055177e-07,3.2310643247355205e-09
2300,4.9993213459528954e-08,1.4650041128554524e-07,6.720988806173651e-12,2.1645203791755904e-07,3.3120378573702374e-09
2400,4.999316327394763e-08,1.4666543137001043e-07,6.746377703026632e-12,2.166285264890815e-07,3.635929756661567e-09
2500,4.9993221007883386e-08,1.4614580200529288e-07,6.850250457663084e-12,2.1652021257696815e-07,3.5206573496034518e-09
2600,4.9993229923748986e-08,1.4602121797728282e-07,6.787606325535785e-12,2.164146604446959e-07,3.612750555237649e-09
2700,4.9993268449699767e-08,1.460817259205343e-07,6.703517230504006e-12,2.1599302774135758e-07,3.8160353771222445e-09
2800,4.999332529337702e-08,1.458138847364192e-07,6.6988305642705784e-12,2.1608526707579122e-07,3.8992838373837265e-09
2900,4.999325556791628e-08,1.4582642847532126e-07,6.724226550584569e-12,2.157772904037213e-07,4.160409402703507e-09
3000,4.999333192785999e-08,1.457968128212266e-07,6.656933674974643e-12,2.156446412750605e-07,4.2106410692138036e-09
3100,4.9993322939417725e-08,1.4539576458760378e-07,6.746914718442403e-12,2.1529398705519132e-07,4.412807405641021e-09
3200,4.999332709198742e-08,1.45376798127727e-07,6.829167964738359e-12,2.1546901110258344e-07,4.755352106670019e-09
3300,4.999328558087816e-08,1.4540873023112236e-07,6.6506787426471715e-12,2.150259744747769e-07,4.831451244867551e-09
3400,4.999325703047854e-08,1.4526387828935167e-07,6.76436566933579e-12,2.150010698894296e-07,5.121932436845038e-09
3500,4.999323025082761e-08,1.4476209749424766e-07,6.699564354907347e-12,2.1501709666268846e-07,5.015081141972876e-09
3600,4.999329546846062e-08,1.448328984480495e-07,6.764276580907503e-12,2.146288150704379e-07,5.292515349862587e-09
3700,4.9993330698303453e-08,1.4477754247331614e-07,6.773955843416517e-12,2.1446329307761629e-07,5.4982671743057285e-09
3800,4.999323224718135e-08,1.4431460259457088e-07,6.703030090486189e-12,2.1450949589074083e-07,5.589426828183794e-09
3900,4.9993357236503564e-08,1.4420064994025968e-07,6.677249982616735e-12,2.1449228675470026e-07,5.423810008894955e-09
4000,4.9993335973972124e-08,1.4431048321282892e-07,6.750896770798724e-12,2.143775667634981e-07,5.6773262866058655e-09
4100,4.9993299538493304e-08,1.4389732027500836e-07,6.736530659067049e-12,2.1411306665953393e-07,5.988034960099068e-09
4200,4.999319091702714e-08,1.4375354696488517e-07,6.7305356405480265e-12,2.1401849242451636e-07,5.963065218006372e-09
4300,4.999336881168956e-08,1.4383689769269533e-07,6.726631169029591e-12,2.1372195197007679e-07,6.125175701352167e-09
4400,4.99932372825982e-08,1.4378235457145962e-07,6.686838452931279e-12,2.1378103494886856e-07,6.124108285281354e-09
4500,4.9993371813432645e-08,1.435972642183132e-07,6.756242960194605e-12,2.1364117386997718e-07,6.521030952366814e-09
4600,4.999325852390967e-08,1.433297514525601e-07,6.706322663698488e-12,2.1335614886710408e-07,6.375685841546805e-09
4700,4.999322128179497e-08,1.4331960377356753e-07,6.641506346491952e-12,2.1323784158951407e-07,6.665431867626277e-09
4800,4.9993203614218284e-08,1.4321222519341687e-07,6.725836901808922e-12,2.1316422517823848e-07,6.944171511109459e-09
4900,4.999334542175521e-08,1.4315334035250504e-07,6.702561212227553e-12,2.1311486788457562e-07,6.926383575134358e-09
5000,4.999335870926448e-08,1.427912755743316e-07,6.660100987921128e-12,2.1291397312549143e-07,7.199426890263629e-09
