miliseconds,V_membrane,n,s
0,-65.94358272861142,0.04105665444680245,0.024994898181818572
100,-65.95273952934745,0.040872442746077556,0.024994697041435327
200,-65.98412801866455,0.04058534022862928,0.02499466758518166
300,-65.97534225461479,0.040493378805892,0.024994520592366683
400,-66.0082538591777,0.040195571467237026,0.024994431963391565
500,-66.02402824892467,0.040159579255077814,0.024994262444300117
600,-66.04529774933363,0.040100297899517384,0.024994273145834
700,-66.042371950663,0.039796050520358665,0.02499404288528459
800,-66.04953854249496,0.03963204460457733,0.024993954173018928
900,-66.0637726613135,0.03954700849147142,0.0249939014064075
1000,-66.09274047319539,0.03933557125900219,0.024993847504195484
1100,-66.09613522257536,0.03921345274607797,0.024993709593697358
1200,-66.11231946294164,0.03916766820503283,0.02499350827567638
1300,-66.12642948118561,0.038787065651900626,0.024993463199250696
1400,-66.13502749812055,0.038805304357468956,0.024993343833970238
1500,-66.16454809161974,0.03860659923007606,0.024993320406969523
1600,-66.16946546327286,0.03843124623635611,0.0249932287195505
1700,-66.190984116392,0.038223366549473795,0.02499303765818089
1800,-66.21045218038158,0.03821636065464783,0.024992953221883798
1900,-66.20522131362215,0.03788385939742438,0.02499283377745028
2000,-66.23312762713084,0.03782819198740644,0.02499272368701062
2100,-66.22817173134652,0.0378008523849391,0.024992601168691078
2200,-66.24110284817759,0.0376471897049057,0.024992549373265102
2300,-66.2735813226348,0.0374044805447154,0.024992370214655883
2400,-66.2752096729636,0.03719027169177672,0.024992240784063355
2500,-66.27970451407714,0.037107788029439266,0.02499224882372701
2600,-66.29445022270166,0.03706829085271364,0.024992075820786993
2700,-66.30797455733831,0.03681213928607854,0.024991949244133924
2800,-66.34240396208376,0.036565853527720675,0.024991834458586062
2900,-66.34798183264947,0.036486281457255305,0.024991857429119507
3000,-66.34960413827994,0.03648004242769401,0.02499173453370619
3100,-66.36796637657302,0.03620214038488567,0.0249915650506527
3200,-66.3800847147902,0.036000134233804104,0.024991505075397765
3300,-66.40502985201088,0.035832687522264116,0.02499139315434172
3400,-66.39627880205455,0.0358413742675054,0.024991220447127517
3500,-66.42336487071142,0.03572915784861242,0.024991079270631357
3600,-66.41581656615911,0.0355010187654902,0.024991008398723088
3700,-66.43299154354317,0.03548667350642227,0.024990927152214414
3800,-66.43722650465027,0.03533880135770287,0.02499087358930957
3900,-66.46986146538697,0.03494178985284506,0.024990721896938985
4000,-66.47269856836623,0.03489785709469438,0.024990662028630786
4100,-66.47875559557761,0.03487584667395572,0.02499057361996596
4200,-66.50496516243066,0.03470969435002078,0.02499048264391058
4300,-66.50918747748146,0.03439717490703906,0.024990268552352684
4400,-66.5189693169484,0.03440970372465668,0.024990278706233892
4500,-66.51988696201252,0.03417402072671802,0.024990168706224385
4600,-66.54778281028153,0.03411668010327592,0.024990057382530087
4700,-66.5586660928066,0.033945818948701585,0.024989950627233193
4800,-66.56048642376904,0.033874344466925145,0.02498973194511714
4900,-66.5633515357542,0.033592365226332896,0.024989722709714855
5000,-66.57540278876137,0.0335556868972004,0.024989537985347345
