milliseconds,x,y,z,w,v
0,1003974712.4507453,5603218.795593773,189802991.9945029,143641523.8427515,179058592.03964737
100,905433727.5744768,5593194.311757794,190065432.23067993,213726289.03914925,-4229955.349606097
200,863210038.1547853,5587872.085042128,189625665.461663,221116001.94160804,367368578.1969687
300,840541049.5075046,5581186.822785151,189179620.41861308,383534197.5358509,507568492.19554204
400,816367939.9052047,5570696.130875238,188544347.30020502,522578356.8967993,694756177.2175276
500,797317481.1779237,5566907.7480804315,188638386.67860952,709679416.5572257,531955702.6352482
600,795430213.2520772,5556860.672706,187869654.60528928,894800774.1434903,983786471.5055149
700,773971054.3539187,5552792.354627378,187636748.61257625,1352862799.8307037,816293804.1374893
800,770530075.128382,5552614.766180043,187402404.202597,1166555971.6148553,961615512.9083527
900,759643157.5235709,5541504.174533069,186616274.77210405,1753158413.675464,1276998339.5734432
1000,755689466.1211349,5535607.758445899,185988174.20336387,1549212847.3129115,1366572331.205749
1100,757324768.7445023,5534987.5223864075,185753912.9629837,2076622587.808341,1607678685.964503
1200,746749219.2222449,5532095.272807981,185929555.80227348,2097468011.9559503,1637283332.5293508
1300,747749601.9197087,5519366.347982981,184779052.82054144,2045647588.1916149,1872030064.3998895
1400,737941135.8475571,5514870.4951450415,184488541.4418193,2189872438.5994034,1811435568.0591455
1500,737082410.4242083,5514877.848019313,184925220.6863313,2508486380.6866136,1933861073.6717553
1600,736542901.1328411,5508803.983633819,183604832.7785737,2794855431.5659847,2172457126.728457
1700,725475627.7307518,5501452.415722391,183752356.15323853,2811615858.5777555,2144382916.0491831
1800,719957368.6097327,5499493.178706822,182883259.01078,2781650433.8287463,2475516220.0748286
1900,716593446.6739314,5496055.625185233,182535646.29385164,2908303813.1448927,2341387349.2346673
2000,719764150.1345035,5495952.134784415,182593344.6444364,3230610743.5052166,2601302637.9625654
2100,720592722.4611077,5488129.499504049,182619019.11138496,3275129066.777607,2686158375.0437136
2200,715398602.576923,5483918.965908558,181369555.10341245,3646115516.8593993,3034363766.9790745
2300,709576347.9830034,5481959.740728804,181219236.56345215,3792301830.1463013,2906898241.2584634
2400,708848751.5824795,5482798.20428207,180807360.37853676,3795423271.532417,3137597330.636729
2500,705319422.2868255,5481436.249723836,180326199.17150843,3780437913.232295,3399174457.619722
2600,702239332.6985619,5475263.350443282,180836389.79793546,4207468609.671414,3529890580.682186
2700,702745218.7173902,5472288.277196722,180040507.21139553,4218383718.854668,3634813772.835341
2800,707881460.0279627,5475447.686367552,179186532.33601275,4467834259.741865,3740126153.4809966
2900,706033880.9583536,5465709.554506146,179061807.13195252,4537736457.711953,3846731224.390526
3000,706717681.0314289,5472451.761953947,179039378.93957007,4772585476.119952,3853279951.9721823
3100,698047699.4637786,5462875.430837404,178495398.2147858,4947164814.670854,4010747578.0598125
3200,703586718.6709675,5466478.005849816,178702477.17308724,4868005377.093486,4001823465.3991947
3300,698583237.159476,5463113.600635281,177891427.70118055,5220559668.705394,4078458581.2892814
3400,700825952.4510797,5465999.823588324,177899391.28988364,5431524074.036133,4316862120.513155
3500,700347935.8896527,5460225.518285872,176912790.079586,5328683385.994361,4484175189.883146
3600,700929533.2859931,5461892.929632777,177261654.6495064,5613089002.430484,4543788774.143755
3700,702373406.3738627,5460673.59552768,176916000.9824909,5823515401.18236,4570636279.675816
3800,701113566.7619734,5459731.74148408,176572878.86672622,5995423158.278451,4884602403.114951
3900,693395288.0002029,5459702.692389314,176131739.22468278,5807762619.083348,4900372973.886019
4000,691984668.3698096,5458215.752419788,175721205.76763403,6107281507.450807,5095826344.209953
4100,694114034.0579314,5455023.86589815,174732816.28129217,6279315466.046255,5133228693.755171
4200,692842063.9745445,5457439.852004852,174690036.3084348,6541849596.171096,5341681594.77389
4300,697371902.5024976,5450696.175273329,173931578.00319815,6248860937.887861,5403158278.169122
4400,695054677.8856409,5452618.040697114,174438313.54330173,6728999529.416882,5369638735.265062
4500,695283537.5172632,5456766.731774603,173213162.9523597,6699560620.600086,5344314383.630189
4600,696504097.7688637,5454285.109935871,173123666.92262298,6702560272.170377,5711498885.167897
4700,692665376.637455,5458730.531115975,173386192.32135516,7132146153.052454,5571504225.4295025
4800,697377076.6562704,5454927.428386432,173037796.38549712,7189455898.640583,5932225723.745903
4900,694598847.9312652,5457357.584865735,171873673.99610767,7315805806.216018,5839356676.507441
5000,691627870.5896055,5452753.156603894,171964685.17310533,7308268761.252982,6173018733.001079
