milliseconds,x,y,z,w,v
0,994009845.7145666,5595822.855176272,189543145.43826705,177080821.78794906,33106454.926090844
100,903529385.1893843,5589426.327764676,189376645.8133867,-22386613.948585123,101184538.39362282
200,862542792.1146408,5589615.1120959995,188876948.9405163,355968679.9636311,308701673.2664876
300,841190373.2928998,5582504.7492250735,188329998.06309026,697168943.8997163,288340954.25389713
400,816886648.2367282,5571527.835836357,188974698.0263488,850684495.1879109,415465634.27323365
500,800060853.353671,5570309.665895119,187622192.86017144,1081284737.4697294,525321994.31153905
600,783755306.3885131,5557289.475520797,188024125.30379578,1246528583.6619465,667931031.295438
700,778519104.4182907,5551919.617856228,187811165.05181113,1186434450.4410493,830564892.8949268
800,775557375.4433011,5544919.174234705,187346565.38165694,1289646357.7569332,929696441.9364783
900,767990938.8841211,5539384.146955182,186242977.29083982,1349805476.9381962,1350960095.7444708
1000,757341166.8157539,5537213.308295372,186389633.49696568,1589357354.969108,1350421547.4942973
1100,748414069.8119688,5530622.208808874,186182121.65800744,1890716246.8494823,1480409945.82134
1200,749156278.3753585,5529937.977198647,185718651.72283828,2177863387.4528847,1605632736.5853736
1300,738125281.5855252,5518904.528384608,185459022.1937577,2293686940.001976,1850183298.1482067
1400,740732265.2032039,5516584.816031224,184590015.2298969,2207678519.6013927,1851080169.2972353
1500,729167120.9137939,5510993.131670255,183934864.71292672,2605532545.140218,2051395437.4926207
1600,726053864.2319657,5511464.524661438,184024409.27073535,2564644956.487113,1950285359.8553977
1700,726828087.6359606,5509889.452251631,183375650.8907912,2926065945.7267647,2171965661.7364674
1800,724019115.2794019,5502057.698048672,182975938.03090373,3037913686.1614656,2384147264.5119896
1900,721945486.9630275,5498470.251346897,183092425.38481638,2898424691.0807166,2439473825.4699707
2000,716277024.0045292,5494239.17106936,182554076.55574104,3416144227.515056,2540551760.07186
2100,714180575.1233697,5489885.956556851,181795658.69943318,3346523757.0961757,2899548425.5916176
2200,717733119.0036047,5489361.633935301,181851075.35187173,3456876415.0422864,2733441088.91078
2300,709296503.5647507,5483133.071647355,181396516.34304678,3684091471.129666,3000372443.1821275
2400,712819273.8406677,5485108.220635392,181044563.57797116,4017395098.7960324,3130312456.748921
2500,709159266.4951729,5477050.2478768425,180896625.87530655,3863552655.468381,3385655079.1279483
2600,707141048.4727689,5477269.279135879,180502273.6341316,4290397184.6621,3446569396.7138586
2700,701519834.4489887,5476859.532666769,180379104.63200754,4103765890.6793337,3417533517.3523664
2800,703037795.8908507,5473824.280175721,180098720.91777664,4474609427.877342,3543690796.019663
2900,700478684.865597,5469636.926717995,179313606.84804362,4773951841.608837,3605056207.2697463
3000,708244784.3438828,5467749.375745831,178860158.18003395,4575205114.833142,3993511475.15693
3100,699202005.0171349,5461867.383979722,178567256.0382167,4910750639.672232,3935555528.6766047
3200,699792511.3661232,5460644.047642631,177921986.52161688,4894272199.828343,4217430765.787439
3300,696245993.4273297,5462557.75299689,178180413.68009758,5024347597.727682,4353958595.3838
3400,692984050.7608883,5463959.325353901,177692683.3564247,5403616710.061292,4226651468.2238693
3500,697445435.3910801,5463553.783821137,177315142.0319494,5315994424.763321,4541396211.16826
3600,693283018.5884786,5456788.793392316,176505162.91568804,5493704582.611002,4380059739.520289
3700,696192127.954726,5461612.262617538,176112617.00241405,5482068822.955455,4650791939.489578
3800,694996291.267959,5454005.272780709,176457274.02517536,5964920345.027406,4852940621.575409
3900,698428942.2273192,5458072.8295484325,175251431.6875219,5974815562.040887,4770900682.47969
4000,693488407.057951,5453365.17620907,175562297.74418172,6187597964.424618,5151633670.673627
4100,693224399.2711577,5451721.708576356,175074395.08505204,6378927116.898426,5071274128.1873
4200,695753826.4619569,5458761.083186395,174583320.01816088,6130434882.148633,5180480106.574975
4300,694887538.7724137,5458460.122834923,174106874.7848889,6485074590.051815,5190706030.259396
4400,691166133.9952909,5455241.329368179,173691947.4505848,6612753333.113694,5271977892.92092
4500,687655889.2849997,5454795.540128314,173887435.16585776,6665107599.421395,5431902635.228993
4600,694358609.7519913,5451949.365749919,173384919.57116866,6915858056.382241,5470476680.8593855
4700,692192032.0002123,5453497.101823125,173211870.06014138,6913524329.399075,5910933854.071191
4800,688532931.4752611,5452481.858839297,172176673.9503922,7033037554.553447,5814880626.256675
4900,686204814.9555432,5456805.271842109,172237459.26923442,7295725838.576075,5939239216.600945
5000,694894599.0344228,5453334.594330369,171898012.27351004,7164805178.112954,5995217006.250417
