milliseconds,x,y,z,w,v
0,993986580.9719032,5600862.589489454,190140367.48630482,151867146.31462935,-137737788.36265963
100,907954870.1689609,5595805.804740003,189183747.37230796,149370838.97143304,295653707.81370413
200,863872249.1301004,5584346.354399195,189066854.78836802,154044047.59004346,170193861.0275178
300,837061931.4032658,5581373.970251841,189032332.90596065,384977617.7288774,439144917.7987875
400,821054063.0014206,5575810.588718935,188871527.56887975,754045201.475235,521129225.8035806
500,801842289.0908744,5564826.795763019,188600584.95202646,1020614892.5929766,824159668.2763791
600,788950939.9448535,5563907.039362246,187982641.8176874,876544688.8752524,700267047.3118906
700,773825416.7822837,5556668.019465301,187896075.63970408,1013508999.6948204,779596196.6269656
800,769230879.2074193,5549269.334454833,187335118.70565194,1305660185.7630942,931716053.6325837
900,764706505.1420118,5539402.992970936,186599076.35261908,1622457422.6801276,1067668342.7020397
1000,761144656.7310393,5534137.705722807,185802522.41874164,1788056779.747315,1198248714.4519794
1100,757333699.5472791,5529936.025829477,186200357.13428605,1875816319.489177,1431541467.8617418
1200,741783404.0542705,5525504.797316211,185166512.6818297,1938082998.1494386,1434289822.0189722
1300,738482321.4999284,5523011.766162763,185402056.00710022,2311022882.617834,1704270823.5421708
1400,732335286.0911756,5517081.51647126,184971113.25211775,2363888823.999849,1695750215.0261939
1500,728474200.9168131,5510708.896142814,184858916.56995407,2691117911.129593,1820143292.0467486
1600,731284168.1951704,5511110.329841258,184387420.24161786,2754533593.707371,2121971448.0035186
1700,729491045.8824008,5507303.848093701,184075860.62765634,2624283052.7282887,2257900858.699252
1800,728579440.182375,5502776.196033509,183368326.83814797,2884044443.2155824,2288205622.26004
1900,724663868.8952901,5495925.834521813,183400160.52181545,3055977650.8731694,2502360299.4626546
2000,718422487.6994327,5491832.6775499275,182592621.72523215,3246960713.088704,2724713609.9317384
2100,712734307.7997364,5491884.385324108,181908916.33951002,3462164309.9576616,2805467427.70636
2200,709231415.8906476,5491745.656365845,182082845.23834535,3393281107.0257125,2768650752.128246
2300,714667336.1848385,5488300.649800213,181894696.6776266,3739292609.6802115,2912524298.1146574
2400,709593532.1620301,5480619.748394866,180804769.19134253,4017118698.812146,3173059513.8552046
2500,714251188.8810107,5483144.944999584,180290850.27407908,4066009204.5374694,3180832161.5136647
2600,708568392.3045998,5481289.616706821,180052367.39973113,4033560377.4032507,3402383620.4960055
2700,702836181.9200928,5474482.270894746,179651715.10351416,4143342741.4519935,3601277114.7011447
2800,702806212.7510607,5468866.768930509,179130155.54294482,4585357205.809442,3734887453.973968
2900,701383783.6579466,5470062.646953386,179275523.68903926,4417201496.654875,3578652629.7478075
3000,705017791.5600911,5466232.990273044,178562924.1516032,4492118271.36693,3951084982.921293
3100,704904649.8938648,5463104.735164541,178217815.95413706,4792334901.055755,4057338695.4157524
3200,697528501.9552133,5463116.97411991,178045694.228765,5115768446.491208,4213041312.7725635
3300,700458685.7617111,5466703.329272137,178023654.90080187,5278951206.798867,4323033909.068306
3400,700555064.7598592,5460267.637738119,178017515.84372243,5444669214.871842,4352679488.832304
3500,696882981.6850741,5463803.695553855,177324078.91153386,5251476948.034121,4281463965.0659633
3600,693743604.5874728,5462580.69835743,177157999.122784,5409595838.746257,4495139534.460839
3700,699135096.3543761,5462070.767404554,176532038.2257114,5844802334.54598,4657159736.550151
3800,699687316.8699623,5459853.116768336,176115385.64014965,5630538573.694564,4718795619.140474
3900,699165403.1026584,5455219.576210075,175615757.72914636,5770664078.898556,4760090629.406466
4000,697282420.0868499,5457804.870931584,175045797.0888919,6055161426.998514,5082342797.372495
4100,696250491.6611061,5458478.01799976,174949832.94217935,6162117688.760906,4949610797.0260515
4200,696293102.7695135,5456826.762046582,175069334.1913455,6315125028.009979,5095867010.735161
4300,690470715.1922797,5458916.850837571,174174474.1042493,6366706399.787577,5284144139.866578
4400,687005716.7741051,5456675.039619955,173720048.65812495,6483785931.627489,5253044415.135459
4500,690704636.6141546,5457712.55688767,173689351.076565,6774217353.77876,5382419554.820499
4600,696227571.7007564,5458363.627564362,173586592.96153754,6992139113.344162,5805478773.420374
4700,691767879.798501,5456086.699785855,173502968.79064468,7113218376.537366,5765453644.936241
4800,686974802.5005506,5453948.871519098,172473884.56586283,7137986892.201196,5883549537.300369
4900,694803390.1239177,5459361.32937921,171918191.764715,7348758556.521644,5964007219.065718
5000,691136511.7757311,5455308.239919234,172156735.49508727,7240418174.563199,6038052307.344113
