milliseconds,x,y,z,w,v
0,1001870002.7816948,5597808.208942625,190324320.8813765,-208802887.7354448,-94594234.82191013
100,909109057.7913419,5591860.359837741,189921920.35729808,287080031.81184256,222327591.81934643
200,863691439.070648,5585504.102078276,188860132.13142782,305361218.5414677,143052239.51896334
300,835374954.787985,5583351.552953675,188918227.5683857,693423967.9932551,356434509.86123043
400,821504879.5767076,5570573.720804299,188987014.69632202,713501847.6911081,559903305.5370407
500,803198316.7881072,5564734.447317405,187973461.23234898,1062886899.5486233,516376619.2628665
600,786820794.0843666,5560180.6881074775,187913909.51551512,1215540214.7200105,655797005.2138624
700,780641249.1650923,5557383.847379583,187105562.41727224,1118742635.5309331,984726168.6878946
800,765859875.5411202,5544258.6819921,187166814.04980886,1567669075.9757385,1163620103.9731185
900,764674233.3818113,5545293.69199146,186268939.31631994,1744197075.0352793,1099205694.543698
1000,755112074.8620688,5533400.365987852,186428409.53001925,1698330827.595864,1400701921.2838671
1100,746609525.2111449,5532721.014995277,186049886.53361958,2030022624.3102121,1397939731.8991482
1200,750949769.108704,5526227.990270818,185780790.27713922,1831888048.6727402,1522678497.1227064
1300,746862413.0468953,5527249.011730882,184715117.30935866,2223479597.5799227,1690945933.6700718
1400,739858243.4557766,5516421.92191955,185115276.4882082,2144366819.1466882,2045740208.684351
1500,734164670.5313563,5512906.504484808,184270604.65353376,2675564469.6350193,1913421792.9575067
1600,728753987.7298622,5513790.651747727,184191606.8083282,2756263417.9212456,2096069747.1777544
1700,727017141.2979106,5509158.350471962,183946537.48012125,2751888472.4511175,2204250615.587988
1800,727449155.520807,5499502.529907656,183792011.76464596,2867249627.1978517,2211969213.17375
1900,718514333.646872,5499297.746515266,183355395.83067438,3286541593.421464,2639947686.4184313
2000,715787274.0642183,5499037.731053887,182287559.15926963,3098576682.6504426,2605506488.3545814
2100,718970887.1124145,5487800.635453374,182346366.17665577,3356613022.1520495,2638913449.3937435
2200,712520746.5537155,5489352.701584301,181431272.9063367,3455152208.2949595,2900196961.055894
2300,710615474.6081327,5484739.204116104,181747512.0502446,3764203968.0226808,2932133038.746767
2400,712338590.5200047,5481781.656633845,181109784.1991085,4007620080.8804517,3064118228.140692
2500,714587512.7367529,5482166.856129799,180616501.60194764,3981358642.7773886,3119990885.8435636
2600,705043415.6220696,5479887.3326915,180319639.5196614,4076059439.431829,3195646632.8028655
2700,710446525.2755412,5476866.524594507,179563934.68819404,4160026114.805437,3630402432.127745
2800,710615082.8275748,5473938.387662591,180013762.97023293,4607740166.724721,3445624184.3361163
2900,699875762.4347024,5473758.3322932655,179769279.26559752,4493669269.873727,3625330289.434606
3000,707815426.8478905,5464454.037722299,179427643.19597942,4726160409.168085,3736624315.1798306
3100,707087279.1007733,5468446.89091997,178400647.83838874,4984988768.828355,4127589391.972329
3200,704587428.3880087,5462313.849458257,178211903.83110934,5118961580.876575,3959762435.9686112
3300,705025072.034296,5465596.086535722,177610086.3200662,4984615619.142002,4331783083.563196
3400,702545165.8031999,5458819.270041584,177058882.0700003,5306493310.0436735,4372596041.874085
3500,693482705.1020005,5462052.360011321,177098927.39390892,5310913154.966428,4577391659.564433
3600,700655795.1146772,5462728.525340765,176523928.31844476,5314824540.292398,4561121084.725134
3700,692832208.7698519,5458167.8176556025,175956030.41650793,5760805719.643846,4735686391.044198
3800,693260550.0781289,5457264.293646237,175967025.79809383,5854475373.375195,4825200663.976137
3900,692063640.8074579,5453245.550538151,175816533.02987945,6109003613.725017,4749010837.754763
4000,699092470.1293765,5459884.15295278,175759668.69987047,6207106375.457468,5031835008.3275
4100,690592864.1057893,5458507.5622151485,175473886.25752988,6163940439.853354,5031415854.870021
4200,694296373.8171133,5452033.080950686,174725226.17735857,6541718106.203803,5018608371.789582
4300,696509109.592359,5453147.204290681,174646110.68897918,6256525758.525161,5197050485.357785
4400,693207377.9201814,5451377.502825249,173825185.0309459,6785756618.666674,5237507416.764926
4500,686354661.2686133,5459079.553272524,173733572.5570974,6522800010.028027,5650155054.660551
4600,695216394.5118467,5450844.796145586,173260594.28367785,6965102235.311055,5714917060.808547
4700,685723220.7018064,5458728.830421654,172628658.85064512,7033740630.776915,5885987668.64221
4800,694900561.1409364,5455023.469981878,173049253.825228,7102866108.611888,5760184450.575798
4900,693373813.8204591,5460591.118229957,171944328.65129858,7390650197.773065,5992854259.013653
5000,687934784.766924,5461403.283645701,171802714.13933155,7153011756.944661,6226499481.485209
