milliseconds,BUB2,BUD,C2,C2P,C5,C5P,CDC14,CDC15,CDC20,CDC20i,CDC6,CDC6P,CDH1,CDH1i,CLB2,CLB5,CLN2,ESP1,F2,F2P,F5,F5P,IEP,LTE1,MAD2,MASS,NET1,NET1P,ORI,PDS1,PPX,RENT,RENTP,SIC1,SIC1P,SPN,SWI5,SWI5P,TEM1GTP,BCK2,CDC14T,CDC6T,CKIT,CLB2T,CLB5T,CLN3,MCM1,NET1T,SBF,SIC1T
0,0.2,-0.00015679858997835581,0.24376632088989866,0.02405312355222761,0.06984315822998981,0.006761309350594026,0.470561318016316,0.6548562764832242,0.440067831646812,1.4723407676734832,0.10146926218042811,0.01536315968471679,0.9303521108891836,0.06974039530827944,0.14960593379341164,0.05061140839824158,0.06527159915536081,0.30176176861597215,0.23591351543775652,0.02752988009532863,7.338448620117916e-05,8.048351345131149e-05,0.10000648511908071,0.1,0.01,0.5532345334895274,0.017284523912568826,0.9740375552028651,-0.00040032952791799073,0.02537583238180564,0.1229798596192788,1.0667159082787474,0.5924510174503668,0.039487850016284395,0.0065537022480987184,-1.9764002123650335e-05,0.9519123388596404,0.020061529075313132,0.8928381879454552,0.029892261518314017,2.1178251525235265,0.395129263371919,0.7692243870444199,0.6840472071884559,0.12860377148509072,0.03373831700079345,0.4699198956297345,2.6386460764191826,0.0022713568682828085,0.3656537336401421
100,0.2,0.0009421908393018334,0.2485309164145509,0.02124003134907254,0.07555462186732517,0.006201008421840413,0.4847890422535738,0.6556370857486794,0.4392602297128778,1.4268090471846115,0.12254332690160945,0.014801037303465657,0.9518060812091339,0.04704016118559837,0.11835532912862168,0.045995001708256024,0.0650791541004709,0.3056606585500992,0.24241961564005043,0.024222676538376592,8.934845662500412e-05,6.105269128669882e-05,0.09254352146673496,0.1,0.01,0.5535543737487015,0.018455358850512922,0.9881906006830697,0.020994233778885905,0.02392214285981632,0.12206823706606368,1.0790196171866986,0.527011980322422,0.022440380879382722,0.006191689557847267,0.005385275177714583,0.9512108590600792,0.01910239382194096,0.8764755585382658,0.029871300922511494,2.1172010231269924,0.3892134090234454,0.7911993164216811,0.6611915543338784,0.12799135499942954,0.033815670398551025,0.24053058392286172,2.639397998259053,0.0024740236242235974,0.38877173010820765
200,0.2,0.002538523416186882,0.2396314902450465,0.018424474786855147,0.08018453793715452,0.005875930885238464,0.5064077598288406,0.6500749111669831,0.43079891703878953,1.3721568810458855,0.1272129106522173,0.013648864205511048,0.9711827170958776,0.030166385739342532,0.0973531886178041,0.041869798251427656,0.06373618494588,0.3236377114390109,0.23355268284744488,0.02048159485781289,0.00010117894738660038,4.692535827402551e-05,0.08820347457625746,0.1,0.01,0.5538296787268886,0.01693774280889499,1.01324803524355,0.03743579606224671,0.0230600939222711,0.12091914823676217,1.1390470749031207,0.472238522782762,0.035491619845172684,0.005937095399585047,0.0090902270526328,0.9475782911939895,0.017266939537883007,0.8879438466893229,0.02991085149905847,2.115703103097658,0.3998419319836114,0.7980002090381489,0.6092532441698285,0.12780283476859175,0.03380794847119874,0.13771062493064898,2.639044527926558,0.0031067100973985627,0.38705263403139756
300,0.2,0.003359402458607644,0.25123603097633634,0.015837551416333397,0.08612676885334923,0.005201245936342834,0.5032300752870484,0.6514225830442378,0.42777836644040784,1.386087851743696,0.1569363418600001,0.012717350311289356,0.9842582426396214,0.01618094748723999,0.07732223383801734,0.03448469068302052,0.06379961674513736,0.3197220090231248,0.22543411794091378,0.017475276624384167,0.00011440720026896823,3.4632872727325286e-05,0.08225271884051295,0.1,0.01,0.5544467312643732,0.017401399713053187,0.9989417925765873,0.05239029693409456,0.021270708837894125,0.12022637150546099,1.1953392319463694,0.44438277502037343,0.037504774426867074,0.005513815806540218,0.012379117385496963,0.9312443181190786,0.01575528112564136,0.8569222889854202,0.02996897755997188,2.1141357534512606,0.43151650140925646,0.8044826467138414,0.6010616732328466,0.12600249309727932,0.03383434231545538,0.08332698128853992,2.640173486067091,0.0034786032853259432,0.40581326046235755
400,0.2,0.004288864812999868,0.24483807253913925,0.013920150156367791,0.08990021545392253,0.0046309714780195625,0.5024181944717897,0.6510026789232753,0.436123412060851,1.2873097539933487,0.1821553288789596,0.011872040114178693,0.9934237162840613,0.007726547630948252,0.05848026135331138,0.02899597916043417,0.062004352218091356,0.32369245479528447,0.2327713386114071,0.0146678096937062,0.00012324582516630265,2.5663708491177335e-05,0.07402961942741818,0.1,0.01,0.554757122962736,0.018832885274324862,1.0122074614456575,0.0653353172456514,0.020634722517005922,0.11910762364925818,1.2043395182406034,0.4131789039295423,0.04847602958934736,0.005157973779487081,0.015484089002873508,0.927286345702185,0.014605160782364207,0.8530496084217374,0.029941858894676453,2.1125292298953857,0.4164164765204777,0.8144576301640982,0.5652064153289964,0.12525222241926934,0.03385141834138809,0.049211116202862615,2.640529314803793,0.003990956434767789,0.4020323333597217
500,0.2,0.0057915079257883076,0.24494268365782979,0.011962638925273633,0.0948495288375958,0.0043807945762597555,0.4864631606691251,0.6407917200355312,0.4170468957728647,1.2717503304866047,0.1968036255118159,0.011049201468120396,0.996518183292335,0.0037860150852521866,0.04689952506676922,0.024267828063603596,0.06157813432839531,0.3332272200711624,0.22389787529908317,0.012901398863054579,0.00013039408142538053,2.259931616179743e-05,0.07178987123477723,0.1,0.01,0.5556720608639921,0.018411162637485164,1.0023357207997199,0.07238057474864774,0.019884523198580684,0.11756060108803715,1.2400992809196068,0.38470856419347244,0.03859159190814658,0.00482471094839444,0.01828941236283734,0.9318176741862891,0.013304576196494486,0.8405720250137125,0.030005276686855504,2.1126497570502893,0.4400883982110234,0.863303837337433,0.5221225920304563,0.12499846157299219,0.033854896759464924,0.036330911896693664,2.641214670865756,0.004794997064472623,0.43007310555260764
600,0.2,0.0061020461733736885,0.2442932317509495,0.010099993206580046,0.10062170080435916,0.003980431647001611,0.4814130933280564,0.6475053970353736,0.4241483396986897,1.2058803495468267,0.20622779231821767,0.010383044358708071,0.9980439708225392,0.0022588892175288856,0.03139090602358552,0.017672388844563756,0.06080583746934502,0.3435964680424148,0.2179707400858719,0.010460810073567424,0.00013396635848805457,1.6666312587975204e-05,0.06403064676861685,0.1,0.01,0.555135614857945,0.021127929519125257,0.9930633562143006,0.0798760093598232,0.01866946465411619,0.1169196686192583,1.2914038193348651,0.35734644995430587,0.04727536843467886,0.00442250313616518,0.021072940117678414,0.9200714733976478,0.01174526445871736,0.8409807166462525,0.030035651252558773,2.1119306744720916,0.45091648130108936,0.8520768931904853,0.5218558827774135,0.12391907478209534,0.03391437600413119,0.02441708508202571,2.6416901826708625,0.005288618002812954,0.4168081960054008
700,0.2,0.00665523683567351,0.24888678639022804,0.008313946803416345,0.10530291299017433,0.003456638400256102,0.44825353634424486,0.6387760624213401,0.40612638096284,1.211523010223165,0.21808927806427375,0.009828614327020388,0.9990188183136226,0.0026230902839885144,0.026195666550545484,0.015058955505452895,0.06037652045466031,0.3575633614773191,0.2002272568174096,0.009196350729209664,0.00014020143049617517,1.2711842954545744e-05,0.05732491143283695,0.1,0.01,0.555946465389392,0.021928997542935535,0.9727629937559378,0.08556864644690834,0.018166793233105404,0.11568508551905249,1.313805248914087,0.3411574452118502,0.08182864511421754,0.004175496226162833,0.022207488299885208,0.915608532915108,0.011430066536483943,0.8073748025042768,0.030055948434660123,2.1105026692812845,0.45058680013545505,0.9232473831728695,0.4795071865819644,0.12321268485427239,0.03392465155480305,0.02171846988942091,2.6416181229148945,0.005665851399918057,0.4381891893805803
800,0.2,0.006957404429361136,0.24613086198050266,0.007111108398877981,0.10758198711944145,0.003230651230038058,0.45070388358871855,0.6334090964995766,0.4049966086345635,1.139065339658984,0.2666380763756239,0.009177843795949388,0.9991550962007886,0.0014431733177272766,0.018575011468501438,0.009922432425316324,0.060275110343288675,0.3700059799552273,0.1848513814690797,0.00749801524377899,0.00014144533504296345,1.1583526018270294e-05,0.0556267601020151,0.1,0.01,0.5565012581087041,0.021389307158372988,0.9516009472509351,0.08791814972605796,0.017330902092302477,0.11473480606497223,1.3388322733623927,0.3281030223128986,0.10228246896161833,0.003948575709290565,0.02360000383728321,0.915190460529385,0.010594344902185814,0.7992092080314662,0.030018709433027334,2.1077814032522064,0.4810190951026107,0.9119488195629508,0.4585214880447824,0.12211359523295238,0.033949155750278605,0.007133137996007336,2.6421038193937174,0.006339520386751215,0.43386261124129377
900,0.2,0.007563879967845329,0.23671760593302674,0.006743776345909718,0.11065418434407498,0.003029374912657245,0.4316723015125525,0.6379038332354414,0.4063282563488198,1.122395097815591,0.27022803070464163,0.008378089709306326,0.9994492576677025,0.0005742832420830616,0.01571558319301495,0.008175741561171788,0.0583485413740398,0.36474072751027087,0.17450630678133539,0.005928772680163621,0.00014578001834572322,7.485444349226819e-06,0.04753472619465446,0.1,0.01,0.5574036870875474,0.022100669811958976,0.9388494632197161,0.09116022880987293,0.0176772626696861,0.11426515408935596,1.3408010150571217,0.3201512660834039,0.10274813749951917,0.0036365472568243517,0.02514201196879756,0.8976190047219207,0.00903862923513456,0.7945574652735657,0.030090805114124142,2.108846660442241,0.4969399953798477,0.9631521761255097,0.432269751658192,0.1213619838437672,0.03399232068998528,0.011045171474547272,2.6427612511163696,0.006689421777411516,0.447982246657874
