milliseconds,M,FC,FN
0,5.657690315364468,2.2443670168708594,0.9670107092892378
100,5.6921944611156094,2.3406970001284706,1.0219765082784915
200,5.7180031227544,2.436775647242861,1.0784089576228528
300,5.735520214478036,2.5323108335674673,1.136206801361425
400,5.745320044578641,2.6270311989425257,1.1952562424695554
500,5.748071479303449,2.720703679584599,1.2554388317801783
600,5.7444881399384515,2.8131316510625237,1.316632893098631
700,5.735291282053329,2.9041558092262187,1.378714993779689
800,5.72117398731582,2.993650799203012,1.4415620221314487
900,5.702779690821259,3.081521122129765,1.5050527906080646
1000,5.680691176708519,3.1676974075906075,1.5690692646701
1100,5.655427727665011,3.252133091489144,1.6334973653737463
1200,5.627444756707874,3.3348004168838017,1.698227805236877
1300,5.59713628394247,3.41568647412318,1.7631567405407582
1400,5.564840683474605,3.494789944167234,1.8281861051545998
1500,5.530847153555741,3.5721185076945168,1.8932237283544613
1600,5.495402156569602,3.6476866565100114,1.9581833431093651
1700,5.458717030405773,3.7215133555766533,2.0229844864817754
1800,5.420968171615747,3.79362205540163,2.087552455656878
1900,5.382307265222657,3.864037767372079,2.151818039458782
2000,5.342860862546512,3.932787454225139,2.2157173579622116
2100,5.302736903846631,3.999898255929889,2.2791916282015316
2200,5.26202859511663,4.06539689959352,2.3421866858379383
2300,5.220815735926022,4.12930944993903,2.4046529079824586
2400,5.17916724430519,4.1916612521386964,2.4665447091927475
2500,5.137141360016498,4.252476991781133,2.5278204116253575
2600,5.094789161037963,4.311780084006238,2.588441889173234
2700,5.052153342546083,4.369593131826075,2.6483743942396507
2800,5.00927117510275,4.425937395429226,2.7075862527110917
2900,4.96617484069095,4.480832839723693,2.766048655707973
3000,4.922891623060763,4.534298327300482,2.8237354474367446
3100,4.87944704027432,4.586350972896681,2.880622800243971
3200,4.835862304173579,4.63700703972883,2.93668915928174
3300,4.792154987252272,4.686281973429901,2.991915027241386
3400,4.748345818896867,4.734188758561096,3.046282421917553
3500,4.70444625756898,4.780741178231367,3.099775560019359
3600,4.660470991805281,4.82595099706009,3.152379784430171
3700,4.6164345604547234,4.869828887040557,3.2040817054999486
3800,4.57234408773306,4.912385992159253,3.2548699454837617
3900,4.528211377550332,4.953631755881537,3.3047335015473167
4000,4.484045118748924,4.9935752751909375,3.353662771770493
4100,4.439851977896338,5.032225027014667,3.401649412292672
4200,4.395639378483156,5.069589102812951,3.448685504306349
4300,4.351413469780039,5.105674716294576,3.4947643059916085
4400,4.307179921811713,5.14048869119131,3.539879716914535
4500,4.262944048354771,5.174037504015211,3.584026192045708
4600,4.218710554436593,5.206327011918434,3.6271990711958715
4700,4.174484191549766,5.237362770939029,3.6693939820398334
4800,4.130269296876809,5.267149977786055,3.7106071461911982
4900,4.0860695510562115,5.2956936159231915,3.750835382457672
5000,4.041889082064055,5.322998306908562,3.790075688500466
