miliseconds,C16AcylCarCYT,C14AcylCarCYT,C12AcylCarCYT,C10AcylCarCYT,C8AcylCarCYT,C6AcylCarCYT,C4AcylCarCYT,C16AcylCarMAT,C16AcylCoAMAT,C16EnoylCoAMAT,C14AcylCarMAT,C14AcylCoAMAT,C14EnoylCoAMAT,C12AcylCarMAT,C12AcylCoAMAT,C12EnoylCoAMAT,C10AcylCarMAT,C10AcylCoAMAT,C10EnoylCoAMAT,C8AcylCarMAT,C8AcylCoAMAT,C8EnoylCoAMAT,C6AcylCarMAT,C6AcylCoAMAT,C6EnoylCoAMAT,C6KetoacylCoAMAT,C4AcylCarMAT,C4AcylCoAMAT,C4EnoylCoAMAT,C4AcetoacylCoAMAT,AcetylCoAMAT
0,0.17577036575316884,0.023882724324515707,0.1101072305958289,0.01818101770866844,0.052291703461111824,0.016027800733032786,0.00812553406835582,-0.005239460192298298,0.029376357875121013,-0.0009217189391143954,-0.00023434985087847395,0.07256176536969437,-0.0009079870629580672,0.0031769356149958057,-0.016730011632991332,-0.0003837725736868412,-0.004851789926617706,-0.0383206195529906,0.0003428893930203771,0.002005196942767018,0.024732064162189826,0.0016143784043987093,-0.0007134127396713865,-0.09969840314938758,-0.06570157553536503,0.00035746392769786387,0.0008072098675864684,0.08382803684083212,-0.3156557414045456,0.0009058219435130108,30.000000000001922
100,0.19530501233648603,0.022893838797335583,0.10728119637019881,0.020260442344573196,0.05204482672391466,0.0186231567423559,0.007997359075900795,0.2047636815566274,0.4366043198334372,0.019642064842451516,0.07306579820590466,0.9665352751152488,0.020384903078947542,0.1741962697550726,1.4794477230163678,0.02974699016057637,0.10223349248114046,1.5103371554197869,0.026452371233404715,0.1200796633696281,1.3420992649252788,0.05745956285768434,0.09789173161257948,3.079631952322337,4.098174531760315,0.040607613848163124,0.02657666811058327,5.123483675661859,12.382810354067235,0.12794248112051182,30.000000001102595
200,0.21559419426475254,0.02479361153377923,0.10424193453846023,0.022295639187105934,0.05082673577942954,0.018306975841596962,0.008559345454317559,0.226074086935103,0.49812452225683984,0.02170387719440109,0.07956084705748291,1.0215565989986612,0.02283316917826207,0.18168140784788697,1.6283550844500334,0.03176628873726758,0.11678092876512403,1.6545003392889854,0.028031537433808734,0.12730039422991013,1.442668229843487,0.06191298728674865,0.09755859965352236,3.4218756428888892,4.179873227587835,0.04172647351604727,0.029151033831187077,5.96195722746699,14.751725460896242,0.14355744984444305,30.00000000114798
300,0.24215250446194747,0.024777433386563755,0.10116941779654127,0.025220652004397538,0.05177641414194374,0.02050716432419808,0.008855095995732325,0.26241160517859907,0.581511389779478,0.024887554841736943,0.08787409993847566,1.1704617070827668,0.025200610222188998,0.1862858262722768,1.7191405383988092,0.03277773805810022,0.12169528350028928,1.7397427751835028,0.029400821364424706,0.12553755532636024,1.5668341297732746,0.06205920249871535,0.10891295037535612,3.5327375636249667,4.3124973502767805,0.04366492335871098,0.0304411750536209,6.487149175891361,15.159760420065258,0.1553788406241964,30.00000000121764
400,0.26776792988962983,0.026560670487523235,0.10001225986233701,0.027676136996595192,0.051063826383014606,0.022199532576352737,0.008820347384031419,0.2774373179856792,0.6455648041667073,0.02627106752422625,0.09327673735590117,1.3701341788584622,0.026577652462876265,0.19108208610476599,1.8318319909557657,0.03505486392757188,0.12521765983054003,1.97298220451229,0.031099513066869564,0.13107077648540894,1.6749703278683876,0.06733651616579141,0.11080657344901329,3.8414230348320135,4.589572390388229,0.044678340946434865,0.031156996595000624,6.7872820476278015,16.125637948555525,0.15985375939770324,30.000000001244583
500,0.28723153221799325,0.026764081178286818,0.09792068581452279,0.02859571419248493,0.05149045001181977,0.026365655691220763,0.009252841009576416,0.31398226949103736,0.7687814707452004,0.02895486413141202,0.10512551079593495,1.4544014344822984,0.02923589725500548,0.19316238019112675,1.9751838275258586,0.036817591870978876,0.13048858970643323,1.9922526914104766,0.032392968631100014,0.1309459589681037,1.7723804626120372,0.06718289424697506,0.11974025816805055,3.9541389495016093,4.574441154455478,0.04696846961348204,0.031788631256848374,6.967520331584691,16.245553897533046,0.16450060361188318,30.00000000129869
600,0.2972824909974779,0.027964230225040097,0.09707080576894113,0.03042087447289518,0.052746911358145465,0.02679251736726323,0.009938841972163109,0.3308057281244293,0.8399171652095866,0.032640292753466436,0.10887787141608353,1.5429817462099737,0.03194790900568897,0.20176920910009416,2.0134275555765333,0.03956685806551551,0.13985525096353832,2.1218980317110607,0.03469093378199944,0.1350775637573847,1.805603081248912,0.07252252880684978,0.1305756839608389,4.081347832975097,4.8010703654304345,0.04747496430789957,0.033112824077371414,7.002721005711936,16.776211409175346,0.1703879924948092,30.000000001333166
700,0.3188917894028803,0.032087901903506605,0.09674122572820604,0.03148835833189544,0.052808248143402084,0.02887997084064635,0.010168541611437562,0.3594705455895784,0.8572109128084296,0.03590188081577339,0.12662306337340803,1.746375130044432,0.034776407924742424,0.20167828060123602,2.224078577955861,0.0411686537235958,0.15344759779095102,2.207437677157761,0.03590440702665172,0.1399776293202929,1.8468940654713955,0.07442195055465257,0.1361888214414826,4.125301251523695,5.037656792529663,0.04901070497370119,0.03434791933526571,7.349417019164962,17.405073719151787,0.1740233339154439,30.00000000136391
800,0.34003169731913035,0.03158219624525294,0.09621182636412354,0.035992620685086844,0.053136893570878974,0.030782493513547754,0.01068613187966324,0.38019692616141526,0.9627655535209021,0.03706884538138531,0.13011225391136497,1.8838041542547703,0.03649763531654177,0.20823588268447354,2.318036886981123,0.04288362139831737,0.1565407881300645,2.3095778849536392,0.03822100079104693,0.14266464125532966,1.9483069526946935,0.07714472688251069,0.13918740895199047,4.279602676906917,5.003724939733207,0.05083660351891057,0.03591208193395213,7.629284115153057,18.257602708365557,0.17707734803093123,30.000000001379306
900,0.35688767966793444,0.033352998431120655,0.09564322453409543,0.04021602568305306,0.05454015437274395,0.034736018579269244,0.010825193699419217,0.3860300852619888,1.0073832427470402,0.03950873638639207,0.13818999495299103,2.0755541163911215,0.03937521253046802,0.2169393630169038,2.364892218026972,0.04281355339421291,0.16261370728009442,2.385443668716235,0.039569509987772075,0.14551176224999762,2.0112156932393663,0.07990952196264817,0.14648194701743,4.3951987804197445,5.266128769896742,0.052457144278623205,0.03591843896209896,7.867875333416681,18.740270553244258,0.17945983947089375,30.000000001405777
