milliseconds,Ras2_GDP,Cdc25,Ras2_GDP_Cdc25,Ras2_Cdc25,Ras2_GTP_Cdc25,Ras2_GTP,Ira2,Ras2_GTP_Ira2,CYR1,Ras2_GTP_CYR1,cAMP,PKA,cAMP_PKA,IIcAMP_PKA,IIIcAMP_PKA,IVcAMP_PKA,C,R_2cAMP,R,R_C,Pde1,Pde1f,cAMP_Pde1f,AMP,PPA2,Pde2,cAMP_Pde2,Cdc25f,Ira2P,Ras2_GTP_Ira2P
0,19994.074747963474,303.3443273251032,2.757162784520653,-6.825446917111831e-07,-0.39947392291059663,-0.23918786392962774,205.61537830649112,-3.5238524205179673,198.0849053929953,-0.19256074738261783,-6.1189142396935745,2498.9679461028813,-0.8666606411919646,0.05518070282171707,0.0009122037037347686,-5.414942387540367e-06,1.4069779144138097e-05,-3.9814998947193e-06,-8.818708302224704e-07,-1.6488859120234783e-11,1399.9999999956638,3.285145831788658e-11,-1.3541527021185363e-09,9.300028972658568,4000.0,6524.844804603277,1.2900953178300725,4.281077537290762e-09,-1.3383962789721268e-09,2.855993502255765e-08
100,19684.317087828807,-1.3599807510720032,268.6605299145231,6.75245922610795e-05,28.878224862580005,-4.304677158410934,195.4476596560802,-5.346869498784489,201.4495066372484,-1.960631822213696,97.3760849581787,2499.5290150962946,2.2793241440237044,-0.011568486354395674,0.0006940677123043235,1.1985418325213179e-05,-7.825607321560559e-06,1.0658290469653416e-06,-1.61184432710187e-07,-4.688499202009408e-12,1399.9999999979507,-1.168083131625713e-10,-2.5603474019640557e-09,22.83962897691958,4000.0,6507.306149319423,3.742121520010346,9.08827948523977e-10,3.4243958763488057e-10,6.554010406379207e-08
200,19690.61744691931,-1.3485484422320906,241.85370948449284,6.476611042174442e-05,56.780176364632204,5.062732766396414,205.51056822932867,0.18275863394950786,197.61313068358876,-0.6819784090338132,-124.02584414498658,2496.924765110772,3.308684719630832,-0.09927348431628746,0.0014038370110470084,8.424557641050059e-06,9.139807532299803e-06,7.506881001847678e-06,-2.5694062075900424e-06,2.7831585617449924e-10,1399.9999999985473,7.31331489972225e-11,2.7383739923392847e-09,-41.03039780458636,4000.0,6502.074486049413,14.392202683585277,-3.3013539926445516e-09,-3.66734615015513e-10,8.798198270159122e-08
300,19681.759749828358,-2.9195760865335054,227.26876168001706,6.356915789495858e-05,73.03185079016752,14.880920623997483,194.70825662842864,-2.021761342384986,201.1467384457243,1.3743184657012928,-97.73808861991894,2503.0765772014515,-1.0211474340933269,0.014259218415103449,0.001538942732258386,-1.4299127508896479e-05,-1.1910296168185294e-05,8.94688179124957e-06,-1.0162290952509747e-06,1.3147219121481551e-10,1399.9999999992986,1.4604531774117117e-11,1.300422018795343e-09,15.157559264174552,4000.0,6490.087048724556,-20.315581776940142,1.382083209531523e-09,6.163318641652441e-10,2.016056608830681e-08
400,19689.758294883566,-1.8187260020327638,209.77740280471292,6.214532573362457e-05,91.83004358086521,16.93544315333663,196.18685780264218,5.135417846369541,197.5521233475136,0.47184555944466255,-82.02416526841907,2502.0661728851514,-2.5643099786077848,0.004344202806852314,0.0016674611479067418,1.3430032131024284e-05,1.2436872832459686e-05,-9.361556819150423e-06,5.792674113620848e-07,-1.798404459536686e-11,1400.0000000020186,3.906026698118922e-11,9.61749357839861e-10,-27.412688517125588,4000.0,6504.157882619224,-23.820845848883284,3.2860353721539624e-09,4.909613418329224e-10,-3.507260698056643e-08
500,19655.03595431648,0.8698088472085986,199.47632767726958,6.0681553122421824e-05,101.41463532975536,15.804739590417121,195.5531317182495,14.005224063392765,198.16831539744513,2.686919522022599,30.85773986574951,2503.838884578183,3.0307812621332073,0.10189402797652776,0.0011861129892067447,7.214020889413258e-06,6.3918228746402e-06,1.4327551460767228e-06,1.6086086333734674e-06,-1.9321223820597002e-10,1399.9999999946226,-1.3442983992924238e-10,-5.206551071839846e-09,-3.1839904325360924,4000.0,6489.693510578646,-18.67457556712422,-3.6747353362011044e-09,-3.315839688410545e-11,-7.767914980396122e-08
600,19663.82741089191,-2.295909795693957,189.29847744508317,6.123928521969036e-05,111.92759028492152,20.420911417147817,189.26719896580795,6.848414764006122,196.5743955598204,3.1608889406539573,-92.25043135887847,2497.699262436787,0.8919570767654772,-0.06794663239661738,0.001700779183230943,2.9444552911930092e-06,-6.626068408104872e-06,-5.413141802670492e-06,1.6527039303535907e-06,3.5700832719733275e-11,1399.9999999985282,1.4513078453037496e-10,-3.420255003004696e-09,44.18216611910321,4000.0,6519.5371712631195,-23.853494701977038,2.1717801009665975e-09,1.5833770304354036e-09,7.76024077107725e-08
700,19658.025158058797,-2.8479240349595556,179.25851893000765,6.0109103189947665e-05,118.77110345140717,34.513622028468944,176.3971099567596,18.230388567480976,198.22605456137805,3.097010667699686,17.366982276563647,2499.0516543393446,-3.8246142948464716,-0.08177910728952732,0.0009865903101012596,1.1087531644320855e-05,1.586723042645341e-06,3.952600089194107e-06,-3.4559006640670566e-07,-5.3604799676146214e-11,1400.0000000004502,-8.335033251960313e-11,5.4468948732237114e-09,37.47179661186682,4000.0,6481.921670488971,17.386081743593675,3.466518108327573e-09,-6.113835606382755e-10,-8.704625723356991e-08
800,19645.349164480074,-1.2601578643138542,174.18391699367905,6.016682867562693e-05,125.18087082317723,35.815810351753804,180.49662241239116,29.00492181312861,197.63960770020677,0.5353678440000782,15.199307860636285,2496.19391455755,-2.899487754014439,-0.03131761383379505,0.0018904163275912397,1.700654419998041e-05,-2.156523070743292e-06,8.92856806418342e-07,-3.059730670630212e-06,1.9221896984870243e-10,1400.0000000050452,4.376807720042195e-11,-2.946731584816229e-09,-41.8693490487991,4000.0,6503.42541718681,24.855743193440503,4.694354707705776e-09,1.3633664892283864e-09,7.67618347721792e-08
900,19631.692398294537,-1.348204089416439,172.00689976551942,5.863661493194024e-05,129.37298355714444,46.87364477723874,173.8311547153118,25.12435183765583,198.63548700021715,0.6185319063885326,144.93428682163983,2497.9004030980204,2.3800699197974375,-0.025000721324598733,-0.0005011830281865357,-1.6404785221824177e-06,4.153782236584589e-06,-8.747098119783233e-06,2.3688259160975944e-06,-2.593230768545006e-10,1399.999999995694,2.6106408606600945e-11,3.6074672932705273e-09,31.94857198000816,4000.0,6515.26001076821,-7.814667902268745,4.61880524888441e-09,-1.5322708719848138e-09,8.862133495938017e-08
1000,19617.288888741943,-1.0481404158986092,166.83755428752076,5.88151259679192e-05,131.95192630516354,40.01431435164,159.4743350466221,37.81781121809925,194.0406370947786,5.0239936135292975,48.87400739435009,2498.5291459890072,0.8517440089159106,0.07909714557361303,6.61376317360551e-05,4.087493929878317e-06,-1.1039351898744616e-05,4.002267816130057e-06,9.73330487279263e-07,-1.3898245890699878e-11,1399.9999999940426,-1.4523770402909143e-10,-6.58495256773698e-10,46.94169945917623,4000.0,6486.585873691348,-12.683746100111682,-4.648541438498495e-09,-9.793813196108155e-10,5.5336489163914924e-08
1100,19613.416349121606,0.9204018501024493,168.4553243420373,5.839572205992605e-05,136.8174811401831,46.53848331002511,153.6645958036076,39.46858935868487,195.52677532591866,2.5856181505800095,-54.41474740148743,2501.6561949858387,0.1490467561311642,-0.023183641327064596,-0.0013829276987658895,-4.610692679400479e-06,8.197358162147685e-06,2.735226931208982e-06,3.2465553206506696e-06,1.9169314032577124e-10,1399.999999996779,-1.2452781675193074e-10,-4.82830676630733e-09,47.62225842874521,4000.0,6514.710948873195,18.58171006456517,1.339591975321258e-09,-1.5928235569441756e-09,7.860155961511494e-08
1200,19592.22901371096,-1.324168092038404,164.00278564455633,5.8949602526663146e-05,136.9668285862318,50.750452370345876,151.20551173115282,55.72310653503622,195.94100174373216,6.941419030489603,52.1645766407915,2499.3753911107883,-1.386577351177979,0.013765247664161578,0.0017117701969766755,3.0123385093386228e-06,-5.850510081055418e-06,-8.236472195499922e-08,-2.714082895362602e-06,2.141340083193203e-10,1400.0000000017023,-1.3983231758065707e-10,-8.220572348565477e-10,-12.990914868462518,4000.0,6512.927957537274,15.867780584133683,2.6707585852781674e-09,1.039376948396721e-09,-8.226962559105322e-08
1300,19590.99454178868,-2.655462552235498,159.5225101077917,5.92321537845362e-05,139.7096507569886,63.817689278364504,137.569477371359,56.58691300494669,195.04022908806198,7.146801372495357,94.93617223307942,2497.4015694829222,-1.8827427097266058,0.03350071851572108,0.0006836137112734077,1.7919662050906924e-05,9.99954617866379e-06,8.817475108934105e-06,-2.3438773417771557e-06,-1.2922235481197183e-10,1400.0000000053685,-6.425823297429096e-11,3.855417740245396e-09,39.750664333629956,4000.0,6479.355440714697,13.207154536168837,-3.7085785626877255e-09,-1.410184796883131e-09,-4.758396090496767e-08
1400,19551.658705714744,1.2695329626399323,160.08301469677482,5.907252131404519e-05,137.66154325304473,62.88405712004551,132.35930577614937,65.81033929145235,189.9878175532138,6.0770653682553455,129.9064401393574,2499.4985095841744,2.447392697692216,0.02057166475157706,-0.0009028803925310871,6.594648012969971e-06,4.69561593074618e-06,5.531533828629595e-06,2.755971605533723e-06,-9.652132565231507e-11,1400.0000000017214,-1.4513334236264554e-10,-1.749168627078418e-10,41.727752206464984,4000.0,6460.079537005872,7.988426304107678,-2.784730539574286e-09,7.546168367686567e-10,-4.1907358181665586e-08
1500,19551.235389800986,-1.7342338291421449,159.2880654742666,5.805725750177206e-05,142.9652863441026,68.85340053975033,130.57427817416095,69.00477290796965,191.74791343104425,9.107623990073055,220.43125371124214,2500.1461919770545,0.4582438176801398,-0.03270021878339352,-0.001801103248730281,1.60263004441818e-05,1.957779455217284e-06,7.4360536714405495e-06,-1.4771230278007994e-06,-1.6245560857172901e-10,1400.000000003126,1.1602543786378128e-10,2.401546746841845e-09,43.64627567240468,4000.0,6451.188590707878,44.940077837508156,-1.473366854336911e-09,1.737114536622434e-10,6.949722091627782e-08
1600,19539.28224057034,2.5420226168042377,158.12909213993268,5.8256459354769086e-05,142.3072689291096,71.94579661738437,127.19152118396326,79.49840913157462,190.48804885783832,11.741068482161923,170.8524329121421,2495.8123356777865,1.6695236425052484,-0.020549045868210297,0.0001560908162266087,-2.8360785570803596e-06,4.063272376543108e-06,-1.0090447799356607e-06,9.77577019284754e-07,6.532565804063663e-11,1400.0000000003697,5.6019904428616585e-11,4.637202347005875e-09,46.7520028703157,4000.0,6493.366143553342,50.473795471944484,6.670104977702538e-10,3.888269233473896e-10,-7.619941068125351e-08
1700,19538.636316052223,-1.5799180146631586,159.12255073676306,5.8506753143792244e-05,141.58051388038965,72.06645136901396,110.88463434326567,88.08704579592225,186.90329121420487,9.360136973729208,226.8279677518751,2497.5811561347555,5.401069401448997,0.023890561103693024,0.0012417076651010882,-5.351621953325098e-06,1.168770748655721e-05,3.4622293847547287e-06,-2.033028984775928e-06,1.800385190633465e-10,1399.9999999985685,4.0786279334653126e-11,4.012238647150185e-09,44.07928965695254,4000.0,6439.619187538989,40.48100591455348,-2.956009109522092e-10,1.5818280782735244e-09,-7.996319249258539e-08
1800,19503.788679602192,0.9882766027851029,155.21147029871182,5.854875383121693e-05,145.94361025196335,78.91757493588571,105.52065697802672,94.51083429615197,186.58233048868118,15.010645333343343,423.32426030690493,2495.018549297057,2.8490626753101957,0.04117049584506974,-0.000845780365833508,9.316919006798797e-06,3.061741564269078e-06,-4.572057443857715e-06,-2.2038052180534186e-06,-3.0169963088956466e-11,1399.999999997264,2.2644447187663804e-11,-4.691961101293697e-11,50.472007704928586,4000.0,6457.3105279431575,29.5916111896518,4.045595958390011e-09,5.964813767803988e-10,7.406421252369825e-09
1900,19511.051418000894,-4.098797555360692,159.11284710531436,5.8088229889032266e-05,141.64470968326282,86.10908654854259,108.81206430094744,92.38463049351952,184.2757192688749,14.294190242915601,250.71807378828208,2497.085594269708,3.6129544088141965,-0.058588605155004636,-0.0019056514764735665,-1.4024891465306674e-05,4.97960508699144e-06,-9.628973988162137e-07,-1.417543404063978e-06,-2.4956701323092344e-10,1400.0000000041557,1.0220293721954008e-10,4.560372186059708e-09,74.32833097715127,4000.0,6423.82510596073,31.23597089266132,-1.1807546026062855e-09,-6.228956297924397e-10,-3.329178458172003e-08
2000,19494.39238929085,-0.09595111481709923,154.15672162512013,5.752144671038853e-05,145.22172526224662,89.78342200325757,96.32242229521313,103.32387282771926,183.93713797204234,17.46907844422669,523.3528171427711,2498.7644988599754,3.597001318202761,0.08606762433149143,-0.0006623106411416511,-3.817587870597674e-06,-7.777485484373496e-06,5.55670916388577e-06,4.999082598650955e-07,-5.060862211820217e-11,1399.9999999977395,-5.940275053405276e-11,5.280771847863058e-09,81.60267466722578,4000.0,6429.416138907248,55.10720853757206,1.5703936649196118e-09,6.552011219142194e-10,7.238285514074817e-08
2100,19494.406518523312,-4.178038000133783,155.63426742735933,5.7298420823106694e-05,142.61552794531073,86.70468948597527,88.47608923208243,114.16146096086365,182.92246039749924,16.06767155271176,440.30600227622233,2489.8296086496025,6.736157980877727,0.10386152327752787,0.0003139454804258791,-1.400160100687093e-05,-1.9045874563388026e-06,1.069464129790651e-05,-1.7041444336552626e-06,-1.9076947607298247e-10,1400.0000000026723,-1.6442413441297933e-11,4.511284594331732e-09,49.24074053175046,4000.0,6419.9085847816195,76.31176410675768,-1.6727184353958286e-09,6.673973433671042e-10,-1.797898651573663e-08
2200,19483.63368080072,1.2836425847212463,157.19542399478078,5.823852990338063e-05,142.77327897933054,103.51851053691725,82.71299586925196,110.6589099262552,181.66388213669134,20.593577122701635,486.30950158211954,2489.504904026419,10.455429591575232,-0.05210628167036687,-0.00011493222100281363,8.840373132550413e-06,8.607564987658318e-06,7.772565740430266e-06,1.4059677573944749e-06,-1.5331210683743812e-10,1399.999999995971,-5.2092320088696573e-11,-2.6103770415118656e-09,57.7863790148084,4000.0,6420.125583604728,68.47721376231418,4.643411761619384e-09,-4.808271509193061e-10,2.2453543616489217e-08
2300,19464.35428209107,-2.1692865414477067,154.3010786313518,5.884389583623464e-05,147.19666957230191,108.09129471067068,79.71144770907374,121.24882885730736,180.91368243076843,22.252253360444005,629.6797572078316,2487.7883544400925,9.616310559998864,-0.051963946409867415,-0.00043501510396839034,4.272983483600192e-06,7.142984071737281e-06,8.890661210929589e-06,-3.0548669691330436e-06,-1.1940265829335275e-10,1399.999999996703,1.0198375662198478e-10,-4.23855441959514e-09,82.79153958138501,4000.0,6427.575158741972,99.31531704045364,3.804880188988282e-09,9.132335083926361e-10,5.690883090910065e-08
2400,19432.277439494475,1.219592570199977,151.9904920978478,5.843263087796653e-05,142.25651692426283,109.70547622639782,73.8569016144307,124.85764972671242,176.56399294768212,19.649845851890866,650.5829474756683,2488.0473993645833,13.356649617152428,0.09306143990106544,-0.0009515171809188126,8.171082988261345e-06,4.487933712964124e-06,1.033926035157957e-05,3.228926777683188e-07,-4.614344221935356e-11,1399.999999998132,-4.013019919423936e-11,3.489031095902801e-09,128.82688180327,4000.0,6377.033942953242,104.66925861345442,3.1642761114846606e-09,-7.000986467378377e-11,-8.734041692722284e-08
2500,19435.395576685343,-0.15819057708763204,155.58438806056802,5.7371122898755426e-05,146.68301801620404,104.73116072888568,69.87679060656764,130.7047561523914,175.89037420664565,24.798179204040665,696.3051791077102,2486.3296010924214,12.312205472019516,-0.006266380826823872,0.0018742298145857455,-1.7075869652549817e-05,-6.96442713611908e-06,6.995687517087331e-06,8.718159926489448e-07,1.9051250813245142e-11,1399.999999994468,8.001142331998995e-11,-5.813380526958461e-09,134.46601563872045,4000.0,6361.997866850575,139.77128343940967,2.588034006245489e-09,-6.635694262053277e-10,-7.938900957451507e-08
2600,19437.28418125405,-3.866358768831428,151.74475310635916,5.863045109369035e-05,142.5696037166088,113.57514076314051,66.52708083923474,133.31351761839738,173.05516118390227,28.073223574481645,946.7463082835775,2484.7972555060605,14.59620217732175,0.09515276299225886,-0.0012926344206620186,9.421515632079159e-06,-1.1243876844221682e-05,-2.086488515826003e-06,1.8002549868414088e-06,7.84562789433089e-11,1399.999999998438,1.218418553088478e-10,-5.472993211255332e-09,194.44717202820408,4000.0,6378.826156795009,144.249284593153,-4.632862416285554e-09,8.497543893640099e-11,5.5525371820677827e-08
2700,19407.38754048087,-3.991873020939479,155.58608231769696,5.852613903380819e-05,142.8548803136094,113.24097105384092,61.98684904921386,132.4025974268048,171.12404716708775,28.991029397830687,1034.965057268549,2484.3133464971625,14.013180598773214,-0.046770501953535,-0.0004988504124887214,7.843319646335045e-06,-5.2852276486780865e-06,7.903692982405126e-06,-2.237928746507478e-06,-2.5633542231460354e-10,1400.0000000021637,9.764214280779713e-11,-2.0534317201826558e-09,167.69588121770374,4000.0,6366.0686616681,155.16306492460507,-7.250249850262335e-10,-7.799004156810615e-10,-3.4461685873493035e-09
2800,19392.780021728635,-1.1366155462511252,153.5251206905558,5.883285484882637e-05,145.3206537547824,125.96023926674057,55.694275411615514,143.54103797180585,171.73308894900282,30.30479074321032,971.9234939430958,2481.3734953634257,18.315572900215876,-0.034883056291953984,0.0006538118339717677,-1.66686924137573e-06,1.238860117871956e-06,-7.914573521068025e-06,2.7747478680538017e-06,-2.173815037636863e-10,1400.0000000014384,-1.2534282972208287e-10,-4.896707147737905e-09,185.1499400844682,4000.0,6336.678784443583,188.97369020238327,2.240981663798581e-09,-1.2338118737138826e-10,4.5725684776221946e-08
2900,19404.92826420892,3.4529893481419696,153.69737537830935,5.827649451683831e-05,147.58669443915508,124.67285113222171,55.07362790317559,146.28428549058265,168.1166854804138,33.32617762071315,1204.634192350742,2482.3422175236233,18.17411662443276,0.10244714851351128,0.00031560770348757454,-1.5662031348945656e-05,-1.2882277630672923e-05,7.315155133138608e-07,-2.5455516558083425e-06,-5.525502311901686e-11,1399.9999999984789,9.138092752044644e-11,-5.246391451591421e-09,194.54011079714974,4000.0,6295.985333284789,215.12059922332372,-4.174411845402896e-09,7.580971060740136e-10,-6.399350192404452e-08
3000,19400.04136994418,2.2504047792204736,152.91652321248299,5.832310235416337e-05,145.84718902751368,136.4376751321217,52.50074036069609,148.29428389535562,167.77187315111794,35.44640837448905,1195.9273977559787,2480.4871541518146,24.212875157540513,0.03273087846812041,-0.0008481179820612982,-4.417659533119725e-06,1.3262050130383452e-05,1.0667719362617911e-05,3.0179942993489665e-06,-9.964869945030775e-11,1399.9999999981817,-1.1415119013905631e-10,4.4643061427467935e-09,291.9766980479547,4000.0,6304.703864814265,226.253848174559,3.4037505420470597e-09,-8.114334763214139e-10,3.741970376917379e-08
3100,19372.67951081885,-0.9106742053206296,153.356872697103,5.815767137993651e-05,148.46117779274286,140.02385766826438,42.799264062971055,155.8392466017324,163.2611388414203,33.08835572369855,1371.4776927665393,2474.978280987933,26.517319022495176,0.14258700970323732,0.0024224122756528682,1.5567276091300784e-05,2.037438736609402e-06,1.470067602275475e-06,1.8278378044638598e-06,-1.92948996264311e-10,1399.9999999963272,-1.3247865761512393e-10,2.3885227166639145e-09,331.9365606120652,4000.0,6268.723185282364,240.88463353224049,-3.8036408078400015e-09,-1.3268019928097585e-10,4.954273103788457e-08
3200,19347.40443153114,-4.0085687966518,152.1586970115796,5.8781592373531316e-05,145.88474383549467,151.0492699868745,45.24589326934293,152.06380110055753,164.18640197636338,35.102478780815424,1474.6420557756987,2473.302115789216,27.847422785352038,0.0890602742053336,0.00021529520531141566,1.2246917377427052e-05,-1.2531238435407383e-05,-4.695859178445356e-06,1.2986931552296603e-06,-1.9244457076973206e-10,1400.0000000029204,-1.0566217522548757e-10,4.267193000954874e-09,356.66513875566386,4000.0,6229.8460607481475,264.4901450455477,-3.318865057757644e-09,1.4950489965396686e-09,9.358033498982466e-09
3300,19364.504086208755,-3.560983891962491,155.02109586375332,5.787003169105083e-05,145.82698521309032,157.05723096673205,39.70574124024698,156.57669933085768,161.79911151956836,42.310286258942874,1629.5710472555131,2466.3079319932276,32.72487909345065,0.2726676637342459,0.00260348377449743,-1.0516550736928137e-05,-1.5760494756473892e-06,8.879559518219175e-06,3.2033610447757808e-06,2.102822512889639e-10,1400.0000000003783,-7.004608459177023e-11,-1.4145782344200089e-09,440.8579620876098,4000.0,6231.399259740598,271.63376007028705,2.113144205761323e-09,4.646388457824139e-11,-1.629052828651809e-08
3400,19343.200188026065,-2.4349292025993035,152.30359505986596,5.716264393190204e-05,148.30048243694839,160.98308918575705,36.38702858817462,163.34471456565487,155.57823232469812,44.013310686096915,1805.0205410358349,2465.916815403661,37.5214225094087,0.3154608129865915,0.0001905378044541211,2.2629671966603562e-05,7.497453682631762e-06,-8.304862534546527e-06,-6.11593764930842e-07,2.1204429105758795e-10,1400.0000000027921,1.718708415070715e-10,-5.362154646159012e-10,410.57340155778456,4000.0,6182.267055406684,326.9284829332132,-1.0623126723964894e-09,2.387303566827421e-10,-8.315344177173891e-10
3500,19335.488424657964,-3.7211343169926114,152.8928277214428,5.74563097874254e-05,145.0606186933988,157.52245385754017,38.00381919613839,161.31711336176954,156.61546500412084,46.28802767217421,1844.860195806427,2462.649336619568,38.24662570287547,0.3765160434335696,0.0012863539171705596,1.2432071188981544e-05,1.345708138880031e-05,-1.5906149415212276e-06,-2.0164159809819787e-06,-6.517252941961704e-11,1399.9999999939166,1.286254546046287e-10,1.5158260579517399e-09,489.2014189893283,4000.0,6151.075930234535,327.5027713626828,-2.894561649434262e-09,1.4387509726951217e-09,-4.5128194691112e-08
3600,19319.034297279493,1.0049683372451144,157.23054739951257,5.789338277360613e-05,146.97865160657946,172.76828385315125,37.83782450060711,162.65958042077003,151.88640301264346,48.55739557700953,2119.9655187433714,2458.0773595578044,41.75394640889914,0.5000747084697359,0.0011314587723790087,1.4679112763732288e-05,8.61587139013307e-06,3.0123928580166564e-06,-2.228534738795836e-07,-2.4625319450161083e-10,1400.0000000040222,2.1571999364569305e-10,-2.7405239454009163e-09,536.7662829493457,4000.0,6155.238068141066,375.2125198649684,6.002885049759972e-09,1.9000082507873976e-09,2.6828533809620152e-08
3700,19313.792491103835,-3.732292502918617,153.0285995602169,5.732216358823239e-05,146.84340475496595,169.42775689683816,31.251563825307542,169.36675574119442,151.401985927562,50.20303467318888,2059.206522600497,2452.863525056809,46.42401958262243,0.5013083958002078,0.003932665884130281,1.97579614901422e-05,9.730250546982943e-07,-5.607260288142887e-07,-1.6733366962002177e-06,1.1090602928677032e-10,1399.9999999921388,9.707623041355636e-11,2.207403608161501e-09,570.7906829814765,4000.0,6102.904367618619,407.34942234843095,-2.3514045320469193e-09,2.2504347966660435e-09,1.0189390401220622e-07
3800,19317.316262087934,2.9672220130172784,151.7202646543074,5.7172757755894525e-05,147.46489599302674,178.23122556284017,26.645727573346374,164.0897976728784,149.70810742165764,49.14846798153718,2411.218358322341,2448.052892915528,56.95336580967055,0.6179926151548184,0.005286602418009456,1.8078317028380804e-05,2.4494274455276834e-05,8.66849874749808e-06,9.313463094033559e-07,1.1599000464870714e-11,1399.9999999947352,6.892728350262083e-11,-1.591137869523332e-09,645.8425227994072,4000.0,6084.260270452137,422.4928470535973,1.4696365843714712e-09,2.427542942589102e-09,1.0736834835191056e-07
3900,19292.07245062185,-2.0384968248722735,152.50655588616226,5.779960190695677e-05,145.63559951163327,185.43470511840928,37.05124797543239,172.6617062265521,147.34040718016016,55.81945237304574,2512.76339023282,2438.6810393397013,61.86120594545996,0.6877152017698811,0.005965272160468821,1.83896622695334e-05,2.9994175033702523e-05,2.312295379341865e-05,1.1349718874102065e-06,1.5270302543614156e-10,1399.99999999126,2.74486558720227e-10,1.050681539822355e-08,771.6767181093929,4000.0,6072.165142067767,440.06351894920334,3.814144696104997e-09,2.378296284614879e-09,9.881012960169921e-08
4000,19275.38860201766,-3.17180678179175,154.08548148246027,5.871090746434179e-05,147.41077787527047,189.54762365000636,24.873690971205036,172.1179690875175,145.20267132929672,55.404986686680864,2643.9071643048023,2437.4229268779313,68.07158934927311,0.8987665671412762,0.008518723258047391,3.816422278842428e-05,1.2627486211693341e-05,2.9695418587772035e-05,4.110739781883151e-06,2.83555556070286e-10,1399.999999986523,3.1533865397062225e-10,2.498427340368907e-09,855.6922474407668,4000.0,6007.155989082706,466.2316483614347,6.945336739938513e-09,5.016495756155415e-09,2.0529676333572704e-07
4100,19287.31023077997,-2.5601647373184475,154.0032901857859,5.8000372933034525e-05,148.8260304450198,198.6869906936232,30.484845379559438,165.75599266428378,138.4245183976185,59.79688333393084,2677.8838896567418,2425.229564834756,69.95967266700167,1.0073392060405748,0.010642563794621002,6.459860713744696e-05,3.3351129752840565e-05,2.6501383054272403e-05,8.412240886170062e-06,-1.8200704202256945e-10,1399.9999999831734,4.24076759690229e-10,1.2573316237174927e-08,917.695195777034,4000.0,6006.4438219709355,483.8723929617796,8.919544825204471e-09,7.889754406549126e-09,2.619860842482148e-07
