miliseconds,R1,P1,P1_prime,R2,P2,P2_prime,P3_prime
0,0.010051507805171436,0.10010714326290786,0.09508388555440397,0.09927635024504793,0.9959618903735062,1.0030215871316688,0.0892005540157228
100,0.009675349486739988,0.09851807065621321,0.13629303936282341,0.09814811997139074,0.9801898829285954,1.0186419809242537,0.13446893269008084
200,0.009527662005896888,0.09733998307078688,0.17651705755275587,0.09517238037069424,0.9702364872080097,1.0375584892043863,0.13522139930531818
300,0.00934099823212179,0.09489366717972275,0.1995739058913685,0.09288192566908215,0.94332231348172,1.058177480480265,0.15997591145353368
400,0.009006926936585256,0.09262259601600879,0.23732848792507868,0.09065246665768754,0.9315883662074715,1.0755394949516826,0.20478521805095246
500,0.008850306891904237,0.09169089810950613,0.25874105498082256,0.08804909703654877,0.9156649605667603,1.0920364664133124,0.2292081160722196
600,0.008686192232210257,0.08981271077738105,0.27862153161484743,0.08745003893281486,0.9055437384532842,1.1069861842250581,0.2512258888033906
700,0.008446507208133724,0.08802148118392705,0.3088386612458922,0.0842568298081634,0.8871427791388844,1.120420414311361,0.28411702027085073
800,0.008195696487584909,0.08635828086808511,0.322192487490779,0.08211155662552055,0.8717635364715433,1.135011892416289,0.292998564586883
900,0.008174912621723556,0.08537588867489146,0.3502377017015187,0.08108287183439257,0.8580225894951009,1.1462677793873062,0.3146002179303061
1000,0.007860962503870056,0.08346496418802675,0.36933383193371544,0.07833738567258197,0.8362697896935893,1.1625708400079686,0.3663550941044023
1100,0.007715640182672319,0.083073179385057,0.38449954493907584,0.07724821905491265,0.8303058079618449,1.1734968905203067,0.3704210685654616
1200,0.007555843829590089,0.07999094487244074,0.39340688901192283,0.07560090496146724,0.8077907024412916,1.1826493087238725,0.4143742827364922
1300,0.007436690572097846,0.0795915430694062,0.40520233503487463,0.07287243294246402,0.7871587888001569,1.1883763591302001,0.4461012686531685
1400,0.007249787272147934,0.07847263271469264,0.42371283576129104,0.0726011813821722,0.7721504423998501,1.194330025687631,0.4594984084463241
1500,0.007037063747271724,0.07709686366464796,0.43700050689986103,0.07009682069078264,0.7661792911712066,1.2080753376718745,0.4950127420908274
1600,0.006861171837721336,0.07523518450446844,0.44819506200287784,0.06819879312442259,0.7589733355868385,1.2117046286537025,0.49934930767645375
1700,0.006678773601880635,0.07318377815157256,0.4544351226462411,0.06741120686687645,0.7413962370671235,1.2172633591144169,0.5339374085939813
1800,0.006588620442644054,0.07199653858499364,0.470538639240336,0.06579607625634357,0.7250523730251547,1.223013677798503,0.5640241957491884
1900,0.00639601771901296,0.07151281887891428,0.47810187109126423,0.0640554061828012,0.7137356421112776,1.2294326439121936,0.5669869024114257
2000,0.006271772213788843,0.07010372127106457,0.485338376339744,0.061845812430245874,0.695122208584032,1.2335858617836324,0.5865385829453711
2100,0.00615836493500649,0.06915768031976487,0.5017014942309126,0.061613076160182474,0.6929538000573617,1.2382377901304218,0.6176367553441431
2200,0.005968913355113821,0.06706431868655714,0.5058675558727685,0.06048171855176644,0.6673648400691629,1.2411891325363253,0.6445427058136013
2300,0.005916040948580937,0.06607957129198426,0.5164437121215221,0.05776582286996089,0.666891692735421,1.2460655122223283,0.6494779439547296
2400,0.005744728162880285,0.06571848127650123,0.521191686638814,0.05760304008662042,0.6473668824673784,1.2439385720476617,0.6646305932773507
2500,0.005541707378848844,0.06342437479378209,0.5244075367013777,0.05541925362472983,0.6370197954434732,1.247724584805953,0.6987193766314668
2600,0.005493916985255873,0.06311416395039231,0.5374795408420211,0.054176473918790276,0.6189289969337608,1.248290947573942,0.7123649268841651
2700,0.00528609443284216,0.06069648425313687,0.5356552268909427,0.05256405818624606,0.6186680848956837,1.25067522132375,0.7211957144150366
2800,0.00510245673269458,0.06031525559151762,0.5432566684638959,0.05183577505555251,0.6130249681269329,1.250591969981456,0.7570264990889056
2900,0.004954736403269566,0.05867179896246551,0.5543259705600879,0.05095915988390648,0.5947407264470513,1.2509628209717445,0.7578128009807049
3000,0.005005458703082629,0.05743935688011548,0.550833663064028,0.049206145634280885,0.5892679182813482,1.2571284719540714,0.7905909844988482
3100,0.004741218007664183,0.0563988241730103,0.5550149580704159,0.047895038506269076,0.5664237772532079,1.2526681149591845,0.7963176092900217
3200,0.004649602249292668,0.055336582962601716,0.5571556270924819,0.04628851474673548,0.5555635725629877,1.253195733322751,0.7956600190284283
3300,0.004537820168374505,0.0545138196789101,0.5614444097674587,0.045129118594176246,0.5430555162957674,1.2563279728552705,0.8154346453861048
3400,0.00455082792690765,0.054110786025495565,0.5607361278633131,0.044888393237551664,0.5439763080323174,1.248754513105528,0.8396058283060256
3500,0.004427546513186143,0.052785279550328995,0.5675735463571607,0.04366318122060553,0.5399575586247956,1.2477222646142956,0.8363301579360457
3600,0.004386015398709589,0.05174766644954279,0.5691286083636942,0.04379930717535492,0.5252377242062131,1.2483094568049145,0.8536415716310539
3700,0.004269963866994011,0.05041366433237214,0.5639677181847174,0.04181633196499419,0.5088568117742405,1.2511391694247969,0.8698198793166707
3800,0.004098521092675497,0.05097400829053936,0.5672321841832714,0.04154094597767646,0.49517406063426117,1.2466793446233628,0.8845057018713419
3900,0.004077865752968558,0.04990221845621986,0.5682708349014443,0.03916548083073783,0.48458990144550373,1.2439650733559664,0.8909255163132934
4000,0.003976903042828341,0.04771457625685918,0.5719546909856456,0.038365747387606,0.4803653941355266,1.238871872656877,0.9143467714323085
4100,0.0038212098151618155,0.047748441161682684,0.5643207886759771,0.03784690097645728,0.46953200883935564,1.2397840545259224,0.9252985375793241
