milliseconds,Target
0,9.574158360173941
100,10.074081807107794
200,11.211014472215679
300,11.590465269182035
400,11.755931596849553
500,11.794947169550886
600,12.27570847758146
700,12.518646500918784
800,13.642651254491204
900,13.612315993365367
1000,13.864274193922396
1100,15.170493471693222
1200,14.563945695964199
1300,15.222144719964206
1400,15.825967201997006
1500,16.70883607983661
1600,16.550116515163165
1700,16.69345855789188
1800,17.767933280484783
1900,18.077848551275626
2000,18.349944798364344
2100,18.43937279825775
2200,19.27041816905159
2300,19.53201206054764
2400,19.657566330966972
2500,20.22085927719776
2600,19.80667245037258
2700,21.084548039613463
2800,20.731493660531278
2900,20.874783578818633
3000,22.03821451920364
3100,21.581092908858974
3200,21.94828676351235
3300,22.552594878185502
3400,23.38673105276738
3500,23.674242823513875
3600,23.75739280879063
3700,24.04855807070852
3800,23.803539694687693
3900,24.332501693132293
4000,24.658467798745953
4100,25.001666868372016
4200,25.633088826344466
4300,25.591831745688385
4400,26.534374450963607
4500,26.218815945808338
4600,26.615213433751336
4700,27.037905248464817
4800,27.229573457593887
4900,27.138436896856593
5000,27.59893288675124
