miliseconds,P,I,M
0,0.9602394254876281,1.0039176642395462,0.5831237489996041
100,1.1128672030174345,0.9689084989129253,1.2541356329429802
200,1.1735344699839423,0.9025795655370805,1.7458938352468458
300,1.1918505893734808,0.8785164808907888,1.4589466415534682
400,1.2725457300087737,0.8401522915302149,2.1779805096839775
500,1.387839155326245,0.80265516638457,2.6782876457517997
600,1.4756061630907937,0.7851902696713804,2.4348924356281634
700,1.4901793998190356,0.7697388587729206,3.1812150891841258
800,1.5966985667295872,0.7538377360894086,3.195992937128586
900,1.6629290044588616,0.7340051706086952,3.817580266828985
1000,1.7722768328390996,0.7069657071051128,4.022728448843336
1100,1.928255971849293,0.6996602159302872,4.693659895545244
1200,1.9689186929057305,0.6864714986936555,5.243690445923224
1300,2.0470048589592924,0.6645535158697836,5.045927573774248
1400,2.1264633683130074,0.6721203780924474,6.035788940091388
1500,2.29985285570205,0.6552828896442059,5.881659707253356
1600,2.3148684624003755,0.6482837492451798,6.872047911605766
1700,2.4050146476206735,0.6617835786805839,7.1416104006106975
1800,2.526439428767005,0.6532904703627266,8.090953343685989
1900,2.647507492346081,0.642375567336886,7.98582368265959
2000,2.695690625481195,0.6616623984166927,8.512523531872118
2100,2.7950616327794373,0.6618188565089035,9.444337802167722
2200,2.929145448985618,0.6762026898333163,9.941349103010994
2300,2.986529801818111,0.6715171371304087,10.757999498420405
2400,3.0508689150267796,0.6949943032632844,11.64686676119537
2500,3.130479025523543,0.7053695298105194,11.907721553649782
2600,3.2434666834442383,0.7119222256570309,12.368565282645866
2700,3.262866023047213,0.7324757443179473,13.354062043159027
2800,3.3823625258671584,0.751665999270037,14.213164210360075
2900,3.4275059485854786,0.7517390207133449,14.620519450295024
3000,3.4746659488380303,0.7807901909768165,14.8343786910638
3100,3.5051720438671388,0.7946902406663195,16.040158828601406
3200,3.595934948574332,0.8251436369435162,16.457264765901325
3300,3.5717275697190907,0.846124989280499,16.9603912392892
3400,3.629685093171322,0.8953503499958387,17.698832023216053
3500,3.748111461754578,0.9038218031152366,18.828648853715645
3600,3.7724377270751273,0.939643661361203,19.550018650146736
3700,3.756300573252829,0.9658679145202458,20.324987863715894
3800,3.8699236407623068,1.0097580819414815,20.379948251716566
3900,3.828900501095514,1.062154620357772,21.616868498753075
4000,3.855499693679778,1.0904950878369255,21.887890597260217
4100,3.8708587617074146,1.14820670898641,22.78160030898665
4200,3.8912282102518474,1.190837027544519,23.762616965930725
4300,3.912096864471381,1.229750421948638,23.830924230276107
4400,3.9379489176013447,1.2819707124979347,25.06708930550366
4500,3.955731287242125,1.3408665189100024,25.704604686681083
4600,4.020425794523737,1.397264551915113,26.33176840223792
4700,4.0230215966702385,1.4390068682529966,26.931300337880444
4800,4.0182975442251925,1.5040773786633461,27.407514701025278
4900,4.065647412915109,1.565935398434448,28.346666206480677
5000,4.043844246109418,1.643937204013225,28.83451092292662
