miliseconds,U,I,V
0,74.90859316165427,99.95401622167869,9.997060464798603
100,74.77983037442428,100.12020692705589,9.995659540649463
200,74.49667869126816,100.49838049167343,9.996885473951881
300,74.4247129645049,100.92865303506542,10.006347237369718
400,74.13857876373851,101.10204818491107,10.00581307063485
500,74.0083872370156,101.77173962170394,10.004803142403155
600,73.87618511085907,101.98304096884084,10.002938550388084
700,73.60683607944003,102.47286152790672,10.008568242754825
800,73.49013742386774,102.76108190799953,10.012045636191175
900,73.27113706694537,103.08368275196695,10.011863326482805
1000,72.94814916993478,103.41697374452897,10.012508155313878
1100,72.80823723507879,103.44025924367342,10.018791636144966
1200,72.69128513810215,103.63559726689947,10.018850557717586
1300,72.41138955717092,104.19104434065228,10.024538500383198
1400,72.18237705331164,104.28528901514427,10.033659402712251
1500,72.22025034801415,104.71368525871999,10.034068372352799
1600,71.9668101134817,104.97193476663318,10.040779552259945
1700,71.72178842384422,105.45206141571177,10.042849638595873
1800,71.55701405268572,105.46669921421704,10.052379803624074
1900,71.40499749950213,105.96145856536597,10.057210107634095
2000,71.31336094685182,106.43130992415483,10.063190811190484
2100,71.2088656534766,106.49199635475318,10.066457630587331
2200,71.01033600889517,106.75663784623221,10.066398026643336
2300,70.88510378463069,107.15008359296016,10.080550366817741
2400,70.67277063770916,107.51813765678499,10.079658882431895
2500,70.6047623797517,107.53387449217477,10.091876136150068
2600,70.37019125016602,107.8274218486183,10.10238435187006
2700,70.29488648425209,108.14279337640869,10.1036751015879
2800,70.14330032303037,108.78995264864217,10.109797555487969
2900,69.8076917621872,108.75986394399,10.117436307458789
3000,69.83788440066252,109.35280068121251,10.126686424246904
3100,69.59733027977093,109.33171329470503,10.140040767096108
3200,69.49864319799397,109.76032945396001,10.141494561696517
3300,69.30407027551956,109.88589858540504,10.150481192068888
3400,69.29948396412394,110.50392906377637,10.162515509212422
3500,69.06984696885651,110.71709307512751,10.171762737155383
3600,68.8130251375021,110.71871597994205,10.178869495142184
3700,68.88166184618066,110.97597726291127,10.187096319353433
3800,68.74327028620155,111.45019814775978,10.201446037695975
3900,68.59647161396836,111.47944294417,10.20219310064801
4000,68.334260007553,111.93454147446587,10.212581152742178
4100,68.22377273033607,112.25543880498074,10.226877655937066
4200,68.25938332201628,112.61426891265349,10.231224127098976
4300,68.08835350945651,112.85850742924302,10.24525886143546
4400,67.87793320200421,112.91787606163685,10.253713208202335
4500,67.8123215928171,113.37808460580777,10.270184313481986
4600,67.59158885457141,113.58086176593247,10.281062807105446
4700,67.52617712715613,113.69240050878778,10.293867297904287
4800,67.53129409834455,113.97377097655826,10.298654392371505
4900,67.40179063398207,114.48924189015557,10.313140057019226
5000,67.20037591421918,114.77301680421884,10.325891742528668
