milliseconds,U,I,V
0,74.9848061680769,99.87477797312003,10.001927558616714
100,74.7008887069571,100.27598822033441,9.99912637090061
200,74.66980200087123,100.85334250585825,9.999393338373425
300,74.2655313805157,100.88891230902281,10.002673361884488
400,74.2556497678297,101.51381461275744,10.00540358668605
500,74.03742388973409,101.80210929847175,10.003518353396428
600,73.76299051584719,101.7706244096414,10.003764304517897
700,73.63223218354095,102.39332179681917,10.00317722964665
800,73.46869550603127,102.60789870881429,10.008796701462847
900,73.0973005652044,102.85015422592767,10.01634001218264
1000,72.9268836439103,103.03604138250506,10.0120764431039
1100,72.80545945446883,103.64636477284202,10.01588023416324
1200,72.67623721015684,103.8147180037304,10.021001481504788
1300,72.5635918385614,104.06383178734079,10.029015910021975
1400,72.19772083218747,104.53864648972346,10.028514845827132
1500,72.16768683019436,104.81709691678148,10.0302029380507
1600,71.8383476103756,104.9478316483252,10.042828108034529
1700,71.80750855470633,105.39822070220085,10.047377665566026
1800,71.56145666564218,105.73061793806673,10.047555541087362
1900,71.50117377688723,105.873816007595,10.058258691771798
2000,71.38654367919942,106.08219488477863,10.063669412942877
2100,71.04908303556294,106.58692630284627,10.064561250920477
2200,70.85023497221404,106.9661016252174,10.073386606491356
2300,70.83574523843662,107.1356607597542,10.073395513514292
2400,70.6071787262389,107.29720958807836,10.079900481556393
2500,70.38639684462808,107.72046629297228,10.0939503068186
2600,70.24025356247104,107.91915439597518,10.099188995171213
2700,70.17350886702303,108.24282765157545,10.104637115029984
2800,70.10552858284173,108.4774507234748,10.111444628843786
2900,69.91289980749642,108.97153703522153,10.122935092917594
3000,69.8208681304639,109.15022305175455,10.13216790621485
3100,69.63523154562282,109.423354155895,10.133637054687986
3200,69.55771880523784,109.63632612984789,10.145253410550456
3300,69.38756427211784,109.97059168584519,10.150315998769056
3400,69.26576874171388,110.45699884861284,10.165010443202085
3500,69.10930112544303,110.7231661884568,10.171333232345685
3600,68.94406948528031,110.86630449062672,10.176033023735025
3700,68.8916104302041,111.19633237476788,10.185368938444986
3800,68.6291217515327,111.60015096651438,10.196511530385047
3900,68.63273088927846,111.6288175728327,10.204827720671581
4000,68.41608767972696,111.86722345343867,10.220713614659077
4100,68.31041654368646,112.4162220846356,10.229731902113269
4200,68.16184854343064,112.72517136768856,10.238078080970727
4300,68.04410002380875,112.93887643324891,10.242833898541663
4400,67.88260090625585,112.85007892007523,10.256723602944437
4500,67.6956464422849,113.23288572465239,10.268397070943253
4600,67.6311379243534,113.6431031682397,10.273862507787214
4700,67.61957738028885,113.72106286689919,10.285870710570675
4800,67.33610376676144,114.26636108919308,10.29595367710972
4900,67.32966372076206,114.28061385071966,10.306975634262225
5000,67.23481859104932,114.50662000014185,10.326351917830497
