milliseconds,S0,S1,fwd_step1,fwd_step2,back_step1,back_step2
0,1.0033591158100786e+16,-28812812740037.934,1735025617536756.2,-2730711814417455.5,-31938413160.804237,-990769475.1404049
100,4994648101744024.0,4987946806063929.0,8914382837208791.0,7301661462268186.0,62903324981.44716,154793085.59224653
200,4660889785160101.0,5367200884441483.0,1.9153861178803484e+16,7084582838082823.0,99724257362.87172,4493632166.9353895
300,4645418124489738.0,5396481080947513.0,2.503616204425765e+16,1.25134696320638e+16,132992921645.50064,9048404468.932209
400,4633942207118036.0,5414690095707253.0,3.126364277705891e+16,2.178109852534208e+16,196067202424.94147,12365459339.39462
500,4617960316689367.0,5363910431678413.0,3.081084399195189e+16,2.59671786089721e+16,260680851141.93643,16518284776.196373
600,4649488916649777.0,5376833020200659.0,3.7391204700537704e+16,3.493066656002816e+16,330454355049.1776,17992205224.545834
700,4606746353642122.0,5366475758750188.0,4.344235291490933e+16,4.125509515227434e+16,319203578021.0101,19725932980.71637
800,4643332896704633.0,5413463667046042.0,5.517515135661276e+16,4.7547958325515224e+16,358689376294.4461,26779120306.596264
900,4639931120582880.0,5371690541836261.0,5.718323836926835e+16,5.809355941947533e+16,434615898191.8251,28587877254.34272
1000,4618111657851480.0,5364329581593800.0,6.485571031114483e+16,5.78560788384003e+16,507776331010.6034,29782594182.488712
1100,4590714399831695.0,5410478709116892.0,7.007315370648902e+16,7.038075610911946e+16,516060589819.9104,32164922057.717613
1200,4643307725046290.0,5404752961304320.0,8.143660273512171e+16,7.026806079830032e+16,542101523901.9032,37538502089.7015
1300,4649495227204416.0,5375470808688650.0,9.055468998570563e+16,8.366938448120854e+16,651322420735.4697,40048085370.57312
1400,4579969164056450.0,5401157373782558.0,9.125317230102085e+16,8.864585035260797e+16,675164344673.2167,41793456811.177505
1500,4629258586667594.0,5389630701985191.0,9.83624404984864e+16,9.203692121529013e+16,729633974487.5956,44953836208.83218
1600,4625633025599502.0,5373344306818694.0,1.0666420241233549e+17,9.650971222525202e+16,791096550734.59,51299803216.17984
1700,4606466158018747.0,5397647794889968.0,1.0984728554448736e+17,1.0929383068009002e+17,778479811829.4069,53034746484.58355
1800,4595540372692374.0,5359800216834551.0,1.1826756513538222e+17,1.1458324305965126e+17,859370150742.1346,59045645937.356476
1900,4646011940940214.0,5422050078850754.0,1.3038858256716845e+17,1.226895347992198e+17,899204905517.9208,58871481443.256966
2000,4596738384270133.0,5371525031581885.0,1.3203877938130398e+17,1.2396863486199629e+17,944409499593.2866,63155873283.14795
2100,4638655521890292.0,5406717146885570.0,1.3523371445738917e+17,1.3153597253527011e+17,965657122460.1986,67308399830.02229
2200,4638154886686376.0,5385060817159415.0,1.488619014383616e+17,1.4337082792975562e+17,1029805000899.0348,71548501041.85458
2300,4634203194772418.0,5350793646688656.0,1.5180019261697072e+17,1.4660595934271533e+17,1106831871699.0989,72259400237.71367
2400,4598475560536432.0,5388304266231131.0,1.55300894899594e+17,1.5377266388242538e+17,1122873729005.9692,75079467305.3103
2500,4620535082055164.0,5397993343436174.0,1.652506615889683e+17,1.546223994386305e+17,1204031819014.1873,77376985709.01877
2600,4582334235776765.0,5377215994813539.0,1.7028518438257184e+17,1.6782775957693008e+17,1201498344816.3196,82420488161.70792
2700,4588003142976527.0,5399783502943408.0,1.7860472120873078e+17,1.7258685191820454e+17,1264324796546.1555,84783646175.27231
2800,4630774249035572.0,5362222694139030.0,1.8135021501152848e+17,1.8103104187033194e+17,1341014643393.5354,89827619585.78806
2900,4613809414024904.0,5366292758094466.0,1.893047206201074e+17,1.8343092507313146e+17,1383674292388.2375,92565891155.46382
3000,4649201065838694.0,5420130348634578.0,1.9354525282729795e+17,1.9292096937178554e+17,1386093699409.4377,97084577488.20633
3100,4644049531074139.0,5352316885569554.0,1.9948804617544726e+17,1.9708084334139706e+17,1448693956871.9114,99166352395.42169
3200,4627721238269855.0,5420226202975935.0,2.0718823499597344e+17,2.0206116998153526e+17,1514796091534.9,100868621749.74622
3300,4592288210045563.0,5386990858195844.0,2.1823056802779856e+17,2.137488331589759e+17,1544073308789.6272,103061179675.67299
3400,4596940057666898.0,5422160463695628.0,2.210114943157275e+17,2.199928936929974e+17,1617534967059.3984,109176440527.37137
3500,4592504902269625.0,5385774701442058.0,2.311639194432968e+17,2.2729239119958234e+17,1619520163589.9404,113147504900.97104
3600,4598140306302284.0,5413174439207176.0,2.3700130085509962e+17,2.3006157978684064e+17,1657027078825.7603,113076883577.967
3700,4617428791692666.0,5414870834294215.0,2.3779937423250845e+17,2.3419606582808083e+17,1749829998773.1228,116093321308.0401
3800,4611092601455530.0,5357421720993489.0,2.4505274505915578e+17,2.4320290284431018e+17,1783307357393.0862,122852865882.372
3900,4584415428862716.0,5418857771798566.0,2.567753528842806e+17,2.506129560496592e+17,1787107958744.1816,123779720035.05708
4000,4643426063085963.0,5398919480676195.0,2.6370354581175402e+17,2.5449039701485725e+17,1897053110476.2646,127038538061.7707
4100,4649599467721599.0,5402607171154428.0,2.6867127666570822e+17,2.6459641773737418e+17,1928246519376.043,133335780133.4762
4200,4587169958213155.0,5415978303694179.0,2.7031393214586003e+17,2.6558039360091898e+17,1976803226744.9941,135681157703.67789
4300,4625567527749337.0,5412188073987538.0,2.8369355378988326e+17,2.7959943897467914e+17,1996140781088.81,140011534829.5221
4400,4612971669225587.0,5415993614412787.0,2.8999169361836365e+17,2.819290746874982e+17,2058282890906.2876,142123010947.30853
4500,4633367445431224.0,5381716719740186.0,2.972876334782301e+17,2.924907615267855e+17,2098747912867.5347,144896409040.02264
4600,4609618109820520.0,5373708309062259.0,2.957731565841716e+17,2.920249784017915e+17,2175677423761.8853,148428535420.90268
4700,4579366292634973.0,5393104904124852.0,3.0599381854921376e+17,2.970281760443859e+17,2211051542373.41,151415589252.02487
4800,4580186879551243.0,5379785414509588.0,3.1313379961163386e+17,3.0504972942379456e+17,2223649217529.192,154691847556.03217
4900,4643847657516047.0,5419815050542968.0,3.18474942983844e+17,3.1763017827505114e+17,2260021399491.3145,157177292263.66296
5000,4598355430702203.0,5384406847933392.0,3.2407943192206886e+17,3.203293129196712e+17,2318470487313.7363,160086512674.73965
