miliseconds,S0,S1,fwd_step1,fwd_step2,back_step1,back_step2
0,1.0022314010955866e+16,-25767692684329.457,-2997346366751044.0,-1094297983352225.6,-10658913388.582819,-1771626679.2900052
100,5021389665992939.0,4988408285515886.0,6574018913009895.0,6295440006824159.0,46956915595.43162,39814740.78821683
200,4652454851070611.0,5322050318230924.0,2.0006289545822276e+16,6916984345611962.0,135634242270.54204,6761166980.332705
300,4643744275679429.0,5418750876433562.0,2.271676993323649e+16,1.535496674795875e+16,188006291561.70023,9454740593.123486
400,4623498915814989.0,5368831259808716.0,2.91325053428354e+16,2.0299526657572224e+16,191655105730.51465,9954839845.478388
500,4642875698595389.0,5379878571983240.0,3.314799201775987e+16,2.7238740731179904e+16,226979657800.27338,14750949803.632051
600,4620796823498544.0,5361113840978159.0,3.866742561642199e+16,3.659119213322739e+16,305849413351.8258,16702679495.778429
700,4609061304430726.0,5391816247327419.0,4.569848308107018e+16,4.2665508219412344e+16,324173876217.22754,21675149441.595943
800,4616080708362880.0,5370022540011076.0,5.476064672174369e+16,5.335283677792138e+16,414106808266.2603,25721595979.368145
900,4603623676711595.0,5391393269375188.0,5.7842462283101976e+16,5.71412770046297e+16,422476015984.49536,28977716536.209034
1000,4632128696939610.0,5375167927916830.0,6.738663513039764e+16,6.1329280903107864e+16,487390566721.9315,30580314882.24769
1100,4582553768472363.0,5362072001604358.0,7.509221248853472e+16,6.5815875512853864e+16,554050032034.497,35136986636.31928
1200,4637811295344593.0,5355701613389597.0,7.983062276203744e+16,7.602033326728869e+16,560367787836.5078,39251202118.282234
1300,4611788290829459.0,5391480187110776.0,8.87903109624302e+16,8.553129165668134e+16,638481086458.3591,42416352993.0483
1400,4588894595957269.0,5377739039230103.0,9.158341780384414e+16,8.99300141764403e+16,634383055346.2056,41892438590.63771
1500,4645670631789689.0,5419158810733651.0,9.761986885831469e+16,9.791759718743872e+16,713995523057.9211,47188314441.1434
1600,4623300557687953.0,5417288470708386.0,1.0425783745039598e+17,9.644014959361795e+16,734513020778.248,52600528353.08107
1700,4617752173594307.0,5375591108874134.0,1.0870017039254166e+17,1.1147989730678584e+17,831123988797.4644,53183740996.189964
1800,4578496949001810.0,5362995758243178.0,1.1847242681507005e+17,1.1774993625488973e+17,820040013033.9237,58460986735.76872
1900,4649198798024799.0,5352916825527363.0,1.2383065110727987e+17,1.1941910825902418e+17,910153355270.8538,60877520826.56283
2000,4621388636642071.0,5402262869532686.0,1.2807172606724366e+17,1.223604359936893e+17,927696486039.1332,62122729205.12655
2100,4584915333638611.0,5358030072307369.0,1.394581266571012e+17,1.310279569451732e+17,978110857834.0387,68742825991.79768
2200,4589545407062530.0,5382635285083566.0,1.4865508703903018e+17,1.4076739708517698e+17,1051109811822.0308,71640328577.2871
2300,4643451784463225.0,5371636127955623.0,1.5440480609886333e+17,1.4273367504666522e+17,1061275216221.1359,73457342078.2663
2400,4652707095299842.0,5352720068182974.0,1.62186339601169e+17,1.5537678451834157e+17,1137473592861.253,75797124832.64212
2500,4609284869684962.0,5377048959950177.0,1.6114985894035437e+17,1.600738346901782e+17,1205917636919.2932,79265335589.73726
2600,4641455542472788.0,5385374218509633.0,1.7331135819036806e+17,1.6748182419948432e+17,1249116103011.9995,81679887649.39664
2700,4616171932493546.0,5400184379138108.0,1.7541311660199277e+17,1.7550224173103786e+17,1281639756507.99,85775385736.66089
2800,4596730284041119.0,5389551738194931.0,1.795952647548998e+17,1.7751342031156323e+17,1342567129817.5654,90584268067.71979
2900,4595455608257302.0,5362468577622744.0,1.927521759779879e+17,1.8488514082321357e+17,1390809240365.7642,90357495879.2924
3000,4626602546396290.0,5409792300663416.0,2.008884806948677e+17,1.9574737165518154e+17,1376999141427.2554,97571955786.26979
3100,4605963839805720.0,5396534866638074.0,2.0749119563108586e+17,1.984412545969351e+17,1476678828097.882,97582603570.75519
3200,4588083879197435.0,5385214056064717.0,2.1123722265334157e+17,2.0294405418088432e+17,1468179794288.2903,102104456845.18782
3300,4644660466452088.0,5420632880410006.0,2.187080540223746e+17,2.087726739557657e+17,1528443005948.1506,105412266831.90865
3400,4584783763290868.0,5393730333034210.0,2.1889592156118656e+17,2.2034043963899853e+17,1621613696808.5557,109596280021.93864
3500,4626428545999390.0,5380038669496573.0,2.285320089705857e+17,2.2728459210838902e+17,1656280664825.4111,110957794244.45851
