milliseconds,S0,S1,fwd_step1,fwd_step2,back_step1,back_step2
0,9974536466251668.0,36256111750964.31,395034067827135.2,-2694641063631128.5,11784554229.676489,-567679966.5599047
100,5011974842512880.0,5010104349737267.0,6566955934241232.0,7804055416132020.0,94888472359.47586,2299409852.9747705
200,4640349011752997.0,5334225636206650.0,1.2281616389199496e+16,6712946964376164.0,94865023386.30423,3042685596.240546
300,4634510563830980.0,5373278109219558.0,1.944196907372431e+16,2.1314608384797012e+16,189384311619.78082,10156766336.190248
400,4624540759895994.0,5412467399094361.0,2.8384865832456692e+16,2.794511185103715e+16,231174759099.65353,13295125110.351765
500,4592847016007006.0,5414384381174319.0,3.5459948615523336e+16,3.3666159103454964e+16,222188015534.23367,13473740515.916317
600,4589774510018617.0,5359127533344854.0,4.550918373771757e+16,3.769673638672627e+16,285656425101.7523,18220656118.044567
700,4616288684166288.0,5412413714865355.0,4.821820266666573e+16,4.101791629517064e+16,328823275006.4016,23394972059.11702
800,4646476496802974.0,5388536792548642.0,5.01081074049365e+16,4.658904282999451e+16,380637432290.96185,23049589031.14801
900,4635639363737469.0,5356237266277540.0,5.94935183620176e+16,5.4972099699576424e+16,427401863050.5223,29376186231.30602
1000,4634333944841596.0,5398638607599954.0,6.35594355647603e+16,5.878518469097233e+16,452398162428.2645,29079012090.103382
1100,4614876678264710.0,5373197561189190.0,7.264251371580189e+16,6.962291894332744e+16,537441899089.1951,32882121009.992634
1200,4614471564819589.0,5347508337005072.0,8.07216419656437e+16,7.183729705526152e+16,578277001634.6929,37870790298.97096
1300,4586068297672628.0,5402375283914039.0,8.964289979632554e+16,8.034404695344584e+16,599456320426.0233,40610847788.33504
1400,4605441317443402.0,5413133018632048.0,9.333641425540798e+16,8.324644767898595e+16,653623243444.0107,45494832649.38927
1500,4644785680351849.0,5373295743248464.0,9.597477134073454e+16,9.841390134654534e+16,717607446512.4475,47617567723.59513
1600,4618614793814927.0,5399061101229550.0,1.04177753074226e+17,9.94709995715836e+16,750200666622.3713,50896046258.16603
1700,4593314415666838.0,5374376610634901.0,1.0911891510195917e+17,1.0617223381512374e+17,812635943823.3325,52394422286.96759
1800,4602465894968263.0,5415995716528663.0,1.2175427218825674e+17,1.1105683384458776e+17,878050958861.6735,57735929653.821556
1900,4619806960864207.0,5410891450865202.0,1.2802994354226547e+17,1.157281923150925e+17,893893979048.5529,62242240822.186615
2000,4622449476672957.0,5377738813210522.0,1.3004725958751755e+17,1.2761920203689077e+17,911916972603.651,61244318964.69049
2100,4645555858679549.0,5412557129446303.0,1.3919778813977902e+17,1.3233307150424477e+17,1021927352873.7084,65227104866.598854
2200,4634649785111140.0,5370349969612787.0,1.4837085169042074e+17,1.4379379345216302e+17,1031731486531.0399,69602259445.56705
2300,4582124469884141.0,5347880400222990.0,1.4738657596152432e+17,1.4527162529332522e+17,1081183542699.9451,72870266675.0885
2400,4642929151847261.0,5373281626055545.0,1.531913402293623e+17,1.5036813945706115e+17,1140593268447.357,75913315812.93785
2500,4652654900359780.0,5406603033825452.0,1.61975366829646e+17,1.5823046783305e+17,1176705069841.7314,81271549188.38747
2600,4625023175866056.0,5398201374366590.0,1.6747843750229667e+17,1.6408204730008102e+17,1198412927231.2314,84078423281.0734
2700,4609182376400192.0,5394554880533424.0,1.7658931472287517e+17,1.752367518631924e+17,1288719008787.0042,86760660721.69987
2800,4645139794492546.0,5369633200024470.0,1.8693076278490045e+17,1.751580992614309e+17,1318930737065.05,89336727299.59784
2900,4585009359247165.0,5381525817981780.0,1.8722373517134003e+17,1.8090517200061075e+17,1345038099370.802,91033240313.5561
3000,4623826659862461.0,5364148078725792.0,1.9620786296893862e+17,1.9559364013570416e+17,1400084570217.4248,96558688388.5043
3100,4603852417718844.0,5403665764942228.0,1.988955464863143e+17,1.976412931178376e+17,1476221834331.5203,96565490462.6283
3200,4612646560014989.0,5372486707270931.0,2.135957944756165e+17,2.0287005258876278e+17,1525824657349.6711,104002732032.90747
3300,4595467410654734.0,5385627280584512.0,2.152556541880487e+17,2.154598333228699e+17,1520678744405.3027,105806891913.96964
3400,4584836713474967.0,5377129467517060.0,2.2419943773220163e+17,2.130071646509864e+17,1603431877510.6438,110306638400.14418
3500,4590046224197080.0,5370913302881244.0,2.3293594093691987e+17,2.2555354624319152e+17,1663257012507.8384,109612062357.4252
3600,4594294307894962.0,5380111741516465.0,2.391612067605804e+17,2.266685786569201e+17,1656268178348.3635,115306584136.73338
3700,4610519477621966.0,5411269100189132.0,2.4627876855517546e+17,2.3940239638533866e+17,1735898748896.0615,117385125005.39029
3800,4649113151992723.0,5357478393834496.0,2.440688831200994e+17,2.395550346976856e+17,1795463713980.493,123544071875.18318
3900,4602742004815410.0,5360599117236230.0,2.5021708602558883e+17,2.4806912167753066e+17,1802828976337.132,125108714848.10161
4000,4588974710317918.0,5413770975288807.0,2.6465118897180573e+17,2.5570562880338774e+17,1843009752471.1772,125599695265.63448
4100,4583384123675063.0,5392596737972473.0,2.6794087559145706e+17,2.658129240601259e+17,1931656574784.9885,130454525942.18298
4200,4652122876234506.0,5366901994657813.0,2.7418391389055306e+17,2.720251619029289e+17,1938265725756.2053,132845465211.09898
4300,4649992378405619.0,5357042049652338.0,2.811244650237742e+17,2.787528816983791e+17,2019930678703.8052,137044384692.215
4400,4637751317783991.0,5417864328808000.0,2.864233869022833e+17,2.800965871082339e+17,2077411369052.6157,139397046326.08087
4500,4599896122479561.0,5402397823448637.0,2.9101358634012755e+17,2.8832512726160864e+17,2093188026736.1206,142405106268.36682
4600,4619558574736416.0,5417660785251034.0,2.991029407859834e+17,2.945614277251002e+17,2159903928571.4165,149744378111.41367
4700,4583396615229944.0,5377181954547497.0,3.087621184110997e+17,3.051373637001545e+17,2193968258165.74,152643789943.0477
4800,4587596722520051.0,5397535538349079.0,3.1488251114284026e+17,3.115318663671664e+17,2244213280323.603,155040161666.07584
4900,4640544191140750.0,5348332055429223.0,3.1807146164445485e+17,3.1039792877971334e+17,2283904190393.1567,158273622709.92645
5000,4595428965904974.0,5399050381363463.0,3.22480208911584e+17,3.2005261693242214e+17,2304649818666.3813,160007215088.6225
