miliseconds,S0,S1,fwd_step1,fwd_step2,back_step1,back_step2
0,1.002819209280556e+16,26210455077219.547,-2004499038997247.5,-3016247775252018.0,33208382741.04964,188511312.42642912
100,4985288939488702.0,4986217212385348.0,1.0886963898801896e+16,-149328288323076.5,97922659921.63391,599049242.7087779
200,4680885997900402.0,5321427163735533.0,1.7666931687015296e+16,1.3454772647252524e+16,146725351900.16174,6886597014.435537
300,4581748492308630.0,5373337932308864.0,1.906717672404871e+16,2.001969377238882e+16,176299249725.28555,10460745984.292192
400,4601743518138805.0,5418707596645825.0,3.2682768083652556e+16,2.2786174269341224e+16,177713948309.46588,13322483701.708921
500,4580186252556629.0,5410291583072847.0,3.4615068524533256e+16,2.5376968708411692e+16,223328508030.82172,15406840660.487074
600,4582982124247330.0,5417932096072170.0,3.882359627692963e+16,3.3179844586156296e+16,293405897215.46173,18609759643.074425
700,4648896918612930.0,5416882636251078.0,4.492292132320872e+16,4.572047563538618e+16,347059072832.5775,23611090341.84622
800,4616506848844206.0,5353858727925492.0,5.1296570410535176e+16,4.654857255951787e+16,409472042399.91675,25470772426.198147
900,4607879659024084.0,5406761045113720.0,6.035658484972801e+16,6.01567563703783e+16,462924995744.93854,26055178121.686813
1000,4623755964446516.0,5412267676440993.0,6.691423728991039e+16,6.409287861576388e+16,490934005070.81165,29198423815.06347
1100,4589240305514785.0,5363476734602063.0,7.490421438440741e+16,6.5521981016747816e+16,499436771362.5139,36491261295.08668
1200,4646211056417530.0,5365231004927825.0,7.631721741131757e+16,7.331291910816954e+16,586989489428.8464,36637659756.60154
1300,4593186010880509.0,5400868433902118.0,8.295354655470562e+16,8.187246919419418e+16,589436081205.8069,42523301937.73173
1400,4616593244840326.0,5379462716992004.0,8.980165316207861e+16,8.902286316247691e+16,695860296074.9924,44340474239.833
1500,4579926313544623.0,5374655016706731.0,9.779234687292347e+16,9.602008401301573e+16,698888592655.7234,48184120925.24186
1600,4592700667091922.0,5417553056482903.0,1.0826784832480528e+17,9.83824787460823e+16,729839090677.3174,49707105920.78663
1700,4635451349938681.0,5414094446416485.0,1.126033584871077e+17,1.1010327571551106e+17,806783650226.8943,55128830773.85262
1800,4614067953464778.0,5407040763027567.0,1.2006077342721422e+17,1.1573745695932912e+17,835939766660.8982,54840136361.35591
1900,4588605107231132.0,5389350226435118.0,1.2782568311388022e+17,1.1954963108211672e+17,875130664071.7169,61947125616.04049
2000,4640501750241523.0,5411252966335172.0,1.2914205236891408e+17,1.2699030402169824e+17,944331751166.4966,62637230014.845535
2100,4593133717892315.0,5347512497296223.0,1.3497872163897544e+17,1.3338744607040602e+17,989865836702.7554,64408281793.164314
2200,4587434966531000.0,5396309457760884.0,1.4501593006625978e+17,1.3915220947759918e+17,1039391206866.1147,69589349611.46674
2300,4635220320299014.0,5410820507080434.0,1.515805230811127e+17,1.4608816459796368e+17,1094906026777.2052,71125819780.86133
2400,4619393262645069.0,5363202875667281.0,1.547023023684278e+17,1.514610883670657e+17,1127172117599.5925,76850330593.70511
2500,4613653320679848.0,5413342303998537.0,1.623022338115636e+17,1.6320062725756906e+17,1191121721094.2734,80578943502.70624
2600,4579349801584320.0,5386185001123905.0,1.7550725037642806e+17,1.6864763891587466e+17,1195821661901.852,82379324436.4512
2700,4582191092438232.0,5360096092509790.0,1.818911495652323e+17,1.6940481095842736e+17,1296517565302.8762,84998858952.98718
2800,4603578979480215.0,5418622618590168.0,1.844707396007021e+17,1.7585176367135725e+17,1337072070462.6262,86836637815.61394
2900,4580146292692925.0,5401417419633657.0,1.8576336731804166e+17,1.833007104725819e+17,1327805897222.3564,93089812124.38063
