miliseconds,S0,S1,fwd_step1,fwd_step2,back_step1,back_step2
0,1.0018396494190672e+16,26191322411881.875,802122349472510.1,-2399005727580977.0,-23993374642.5289,2005272473.966858
100,5044179066337360.0,5001173943683101.0,1.0511312953083836e+16,6633947010546771.0,34255574198.519283,326836645.32034016
200,4659107476627116.0,5337478179554950.0,1.7355760108269846e+16,1.3731627780682112e+16,136231993842.55255,3426470166.7472425
300,4642957321138815.0,5368610345043424.0,2.6699997324812412e+16,1.4542400006723468e+16,172039010807.5595,9331471253.93676
400,4653028951687394.0,5415612318087071.0,2.484613901990636e+16,2.0607109977710344e+16,234776980241.92456,9294233143.11962
500,4636607683759497.0,5371195340099345.0,3.712600845877755e+16,2.625529996303952e+16,240835248811.8594,14478497977.900772
600,4616916389456686.0,5419694522859496.0,3.909536005803594e+16,3.6478698226219384e+16,302282158126.7172,17433217350.466335
700,4615431646600980.0,5358650537040925.0,4.888361726083579e+16,4.010280748213064e+16,312796543827.30743,20789945120.198383
800,4633867799176393.0,5368336631998148.0,5.465424348445665e+16,4.9461110852536776e+16,378421047779.0862,23938650364.367638
900,4578948987262202.0,5407287512348073.0,5.679448159409456e+16,5.972828911026044e+16,444723925418.4517,29214320435.794064
1000,4652894784097999.0,5370397761566592.0,6.388439254936346e+16,6.019619454145555e+16,512146394070.44855,30127010018.530106
1100,4607841433332349.0,5411796957610923.0,7.017156270147086e+16,6.4880012167655816e+16,499650193554.8459,32379314633.77243
1200,4591367221190814.0,5420307149708123.0,7.801552227403749e+16,7.486097883333262e+16,563572626900.0007,36609190011.703094
1300,4623731037984071.0,5350297625670568.0,8.863256028235285e+16,7.803580028797629e+16,614859109514.8705,38530995075.03714
1400,4607685535758106.0,5380137454177465.0,8.913390204363278e+16,8.939745957808125e+16,651240595389.0182,43035812379.40027
1500,4593844161934342.0,5409615509120026.0,1.0163310958618488e+17,9.82124215686538e+16,720959363995.9307,46996284896.099815
1600,4583211399905173.0,5386308182953975.0,1.0762137872310053e+17,9.721565472438682e+16,790643788888.5647,49029810056.982925
1700,4638095429205101.0,5408038997675991.0,1.1748977866744462e+17,1.0962603079933456e+17,773527907388.8735,54448437592.979095
