milliseconds,FITC_Dextran_three_compartment_model_compartment_1,FITC_Dextran_three_compartment_model_compartment_2,FITC_Dextran_three_compartment_model_compartment_3,FITC_Dextran_nine_compartment_model_compartment_4,FITC_Dextran_nine_compartment_model_compartment_5,FITC_Dextran_nine_compartment_model_compartment_6,FITC_Dextran_nine_compartment_model_compartment_7,FITC_Dextran_nine_compartment_model_compartment_8,FITC_Dextran_nine_compartment_model_compartment_9
0,0.34168837836708194,0.16264194009989066,0.02909334095594769,0.00279553252757043,-4.8857382983758256e-05,-7.5817843404232864e-06,3.7525352458968994e-07,3.3870577517613046e-08,-5.110120778144679e-09
100,1.3646758519185187,-0.14629933365148787,-0.016051365322853773,0.0002515938023134863,-0.0002628346830098325,1.4395376852586306e-05,2.969515874960356e-07,-1.3777380594442996e-08,8.573619854336891e-10
200,1.74747438229952,-0.09632079350051488,-0.028915979419131703,0.0016627765874110217,-0.0002439865504977269,-1.4186490635446544e-05,-1.066461950711546e-06,4.088170472964758e-08,2.7063870383443122e-09
300,2.7999093340449743,0.03835992042963341,0.0010161226168034485,-0.003226123761405742,2.0404953307241703e-05,1.9964031909757135e-05,7.565028984264411e-07,-4.197153203531778e-08,2.7498576422777714e-09
400,2.780922624851789,0.15546416021718829,0.019998831050927774,-0.0011179953538021804,-0.00010842200295102824,-3.183193893185787e-06,-1.2203813970549648e-06,-2.6008809731122355e-08,-2.577291992686023e-09
500,3.1136585105206525,0.03258725340779941,-0.013716027623656748,0.0019560265704467346,-0.00018439237110978797,1.3155328158429353e-05,-7.818087111129359e-07,-8.291155082892754e-08,1.2408454464625494e-09
600,3.264017090936319,0.1284379391446297,-0.0010317037897507862,0.0016593744401184598,0.0003162417216021223,-1.3304682910878786e-05,-2.9906444004953247e-07,8.172279281118922e-08,-5.249327368242552e-09
700,4.040646289819097,0.1430198262539917,0.00951553421755285,-0.0031321412720381353,-0.0002808972620957821,-1.7859267224881562e-05,-1.2785904877377448e-06,-9.053826128914751e-08,-3.0483341640414075e-09
800,4.738581400886835,0.23442023936337167,0.009454270030482657,0.0001923093665866447,-0.00011102786675044693,-1.4643526644366839e-05,4.798473330340734e-07,6.751739809918381e-08,2.045688939756641e-09
900,5.417513443053731,0.16867456068205572,0.02973836520224477,0.0011695428025921214,-0.000144585354508732,7.1378803157975465e-06,6.89219335791217e-07,6.858600925001442e-08,4.686244257956148e-09
1000,6.742153156507644,0.1595422384109186,0.005641868470158588,-0.0027441438708594827,0.00032200628658219814,2.162251124282576e-05,4.638998922647532e-07,-9.245262825300708e-09,1.370422224567655e-09
