milliseconds,IPTG,C1,C2,A1,A2
0,5.0,19.84334004705625,19.769908581607066,0.11450109237655437,0.11785780659539014
100,5.0,19.183235037666364,20.295411894658848,0.2512858515353206,0.1390583065246186
200,5.0,17.977946324733455,20.38184739869961,0.4023731475019735,0.30269412491488873
300,5.0,16.379547107319215,20.775877891199606,0.6195451455550292,0.3141812841032233
400,5.0,15.57428892172131,21.182516405510576,0.8484726789013017,0.2966896436480038
500,5.0,14.907633485409459,21.135566048499552,0.8638744536994252,0.36567334198279555
600,5.0,13.538673606820788,21.40798388660491,1.0550967564178155,0.4186346280982271
700,5.0,12.84253358347575,22.021338875218465,1.2068829112004686,0.6367599964589462
800,5.0,12.782234381554115,22.156870616022218,1.2303860424156943,0.6457119958297968
900,5.0,11.956030438533816,22.18414394031314,1.4241612435162787,0.6588195618676436
1000,5.0,11.180003902783422,22.536614915333594,1.501533961062346,0.7326345073773987
1100,5.0,10.325616819630108,22.78480546351212,1.575070046253402,0.7534929297851803
1200,5.0,10.4606062160129,23.041869898392417,1.6313481131641463,0.9360020593239262
1300,5.0,9.893296257206067,23.303524629899375,1.6888139687817925,0.9936786439815741
1400,5.0,9.58839629864945,23.142020360002928,1.851327052495385,0.932341293572536
1500,5.0,8.333129374181086,23.65782154362244,1.8812344034246353,1.1249840591431348
1600,5.0,8.713797058383996,23.81072499171323,1.8803801890625909,1.1796333956125136
1700,5.0,7.630141370159134,24.054664872021082,1.952302672007677,1.0907444617097095
1800,5.0,7.5483212278479,24.14417333241659,2.0088887737625845,1.2290036016068895
1900,5.0,6.936225221241298,24.338655381152883,2.076952479934801,1.2697026251870258
2000,5.0,7.114855954634836,24.38676347518018,2.1565288750432745,1.3942072605575113
2100,5.0,6.393658880066561,24.707654107820858,2.1245300417666044,1.334813388964637
2200,5.0,6.7026135441701005,24.6864410940614,2.250673772263223,1.403695539370529
2300,5.0,6.408954105720816,24.899491988990974,2.239798643056472,1.429015068787292
2400,5.0,6.2616187420561085,25.166860610367003,2.2342315754847446,1.5118175097029836
2500,5.0,5.658768994675798,25.140267820288287,2.3236181698013136,1.539754131657371
2600,5.0,5.488961409283917,25.13709362413499,2.311015886172389,1.697429722468187
2700,5.0,5.798062543323978,25.379775850406755,2.3107717696054673,1.7672876621390026
2800,5.0,5.433660634063834,25.642520726151833,2.378636409705032,1.7162592096447176
2900,5.0,5.289397001184285,25.565402299806088,2.4320548777122144,1.7778802919354957
3000,5.0,4.815700297322222,25.736923829402613,2.390193542816214,1.7931508271506564
3100,5.0,4.397906457590797,26.26924659741435,2.3955133821765933,1.9045617913957185
3200,5.0,4.4684685546689025,25.980500388557644,2.440289057311103,1.990147292324333
3300,5.0,4.77202480296718,26.258050523983556,2.399894587974297,2.0573320646010607
3400,5.0,4.201404167625924,26.656035413284446,2.512073612480521,2.0680557829129107
3500,5.0,4.408003481363123,26.652568470614607,2.553962355001632,2.1079815989493325
3600,5.0,3.758087698270403,26.587808276514057,2.48980118472201,2.0758264400209394
3700,5.0,4.300230531295486,26.740945623605562,2.4819199805429677,2.242798521654926
3800,5.0,3.888551866244865,27.154051293671387,2.567998202682315,2.251466476809289
3900,5.0,4.012807982007725,27.247249767885823,2.4725868755658262,2.319469777278586
4000,5.0,3.686679163311529,27.274027834924684,2.4576315614384305,2.344869192135543
4100,5.0,3.7165344237550313,27.5114368432723,2.5484545508061567,2.433543434333229
4200,5.0,3.495806011986545,27.269708316401353,2.485978274496745,2.389979784368774
4300,5.0,3.4317947773343063,27.59601673842321,2.5836907473101896,2.5319409122976815
4400,5.0,3.9042957561598137,27.839153754110228,2.6025021947297957,2.4704689036010876
4500,5.0,3.7948533572013003,27.682928520774063,2.5738036365479218,2.5027742176441983
4600,5.0,3.2972803534288015,27.982346288752776,2.5487770207257614,2.6141301965572343
4700,5.0,3.27894388964686,28.30720450028988,2.558129175591245,2.606899346554455
4800,5.0,3.0562991513261433,28.387188466382902,2.603422354400387,2.611456825829473
4900,5.0,3.6990108809294004,28.320674566295875,2.561298485950026,2.690030412040922
5000,5.0,3.344484855090211,28.466599081365704,2.57260662829799,2.740004594484577
