milliseconds,P
0,10.00579872190138
100,10.004892838688434
200,10.075468768994144
300,10.107463757824453
400,10.150801741515856
500,10.279083482186666
600,10.301079040200273
700,10.44842288871969
800,10.42435776922495
900,10.445317299840893
1000,10.50793401713839
1100,10.627445646032003
1200,10.655292210096384
1300,10.636759153315843
1400,10.670726871701671
1500,10.743680926282023
1600,10.897609252740525
1700,10.941880867594937
1800,10.999650188940393
1900,10.960790142783639
2000,11.098769495655475
2100,11.161547902164855
2200,11.174965194850094
2300,11.244640081515556
2400,11.26293695630609
2500,11.368876768646512
2600,11.400687314755823
2700,11.48702907523775
2800,11.482114187858029
2900,11.533340681682445
3000,11.664771060472171
3100,11.659905901882565
3200,11.759047158958618
3300,11.729555455540858
3400,11.838531944969006
3500,11.84913940727927
3600,11.891375154891328
3700,12.047806077157391
3800,12.061610695730394
3900,12.03280098176543
4000,12.0677110765506
4100,12.212067399599459
4200,12.322072480906787
4300,12.318022803427272
4400,12.280001156352926
4500,12.330257176698499
4600,12.48332602589018
4700,12.577727491377527
4800,12.597817198595898
4900,12.703661141460781
5000,12.739294975005558
