milliseconds,P
0,9.940969960102898
100,10.098091236777503
200,10.112562216503008
300,10.155709871921292
400,10.233123427412531
500,10.269054297495698
600,10.329446482379387
700,10.309163015625973
800,10.45820612206169
900,10.44703056571813
1000,10.518716588101029
1100,10.515540025361984
1200,10.704495065868455
1300,10.6701135372977
1400,10.815663941428873
1500,10.779966018925071
1600,10.850027659153323
1700,10.917483122299602
1800,10.93008968958845
1900,11.050409001873126
2000,11.054679850359209
2100,11.082509601854229
2200,11.173721480402211
2300,11.15493592370795
2400,11.287932119998768
2500,11.278424613780334
2600,11.40857238280365
2700,11.365473113058117
2800,11.517305104543293
2900,11.557532493188235
3000,11.658766086532944
3100,11.576704899208877
3200,11.69163220916341
3300,11.769014209941165
3400,11.878771750561985
3500,11.838832172389559
3600,11.930207577924035
3700,11.993351404588424
3800,11.95248106283338
3900,12.097358113063859
4000,12.11413733045842
4100,12.239646485994683
4200,12.302976468384143
4300,12.246992488086637
4400,12.305111713584388
4500,12.410424979059217
4600,12.412857174162262
4700,12.452360196729373
4800,12.530465248994958
4900,12.690680400269613
5000,12.659892858322609
