milliseconds,P
0,10.07386564905603
100,10.07157445729203
200,10.098689170469882
300,10.137265647386736
400,10.161452397723355
500,10.277559831746313
600,10.27005530867383
700,10.421626511285508
800,10.467479642991883
900,10.443478491341349
1000,10.534764065493942
1100,10.660805613076324
1200,10.619767000621417
1300,10.6169025599125
1400,10.67972399021181
1500,10.815468258078035
1600,10.891908448625113
1700,10.953217128674758
1800,10.976945303917068
1900,10.98341422953444
2000,11.093345985999226
2100,11.121310565435415
2200,11.200067308472928
2300,11.284002215908554
2400,11.30400841300936
2500,11.357050645986067
2600,11.419836809065671
2700,11.39709870354677
2800,11.535968069391881
2900,11.474852613909414
3000,11.626845715498742
3100,11.658537823466087
3200,11.764260365763485
3300,11.707864135350142
3400,11.800933475678853
3500,11.859686370441592
3600,11.961870576358272
3700,12.013693735709692
3800,12.045759184053418
3900,12.014103459731476
4000,12.096537531533134
4100,12.152119199689718
4200,12.167535798602147
4300,12.31389158545743
4400,12.353247529413652
4500,12.474282419244258
4600,12.535057787839934
4700,12.52700983478246
4800,12.621258220644956
4900,12.676071267087746
5000,12.736123242095314
