milliseconds,P
0,10.049525229896464
100,10.003391480130347
200,10.154647832424226
300,10.082235330859397
400,10.153039131708379
500,10.19244794340671
600,10.30867684511107
700,10.36549037912966
800,10.35339372964445
900,10.411125631896814
1000,10.592197238080407
1100,10.6089844106933
1200,10.578580918577785
1300,10.636465873480933
1400,10.804669832560833
1500,10.769893113126184
1600,10.921629275079026
1700,10.942275193467557
1800,10.88594707630779
1900,11.01029261335477
2000,11.023239081037728
2100,11.054153345538186
2200,11.197442137052319
2300,11.199918422196953
2400,11.314236468485072
2500,11.295370353319433
2600,11.413190167489187
2700,11.406659921821008
2800,11.531422125061018
2900,11.553576900443634
3000,11.646640503765264
3100,11.653729573468226
3200,11.628244699712427
3300,11.760138576329835
3400,11.764209644610549
3500,11.915836872771232
3600,11.86748877625254
3700,12.010965933939794
3800,12.083489313414866
3900,12.13887994585395
4000,12.128654381535704
4100,12.262128939255987
4200,12.268092074512571
4300,12.218727839219827
4400,12.350635433880168
4500,12.40764784531526
4600,12.40608991649466
4700,12.57392352199776
4800,12.51819582056359
4900,12.642837568441546
5000,12.655005762283963
