milliseconds,P
0,10.035708469194935
100,10.06347290625774
200,10.070887734528906
300,10.154705509699738
400,10.159995842620418
500,10.254164066091356
600,10.315009215525848
700,10.341841766803036
800,10.46237244935286
900,10.454240238442628
1000,10.509586723139062
1100,10.622233754842176
1200,10.59413029764488
1300,10.674312710935041
1400,10.749259121432054
1500,10.73750611487691
1600,10.847734216344042
1700,10.926762313513214
1800,11.008060064835938
1900,11.03776029592046
2000,11.122282817102134
2100,11.096441619298096
2200,11.218247111411156
2300,11.177050711474305
2400,11.237935687013886
2500,11.403890545712962
2600,11.440731848256465
2700,11.360331875631775
2800,11.42430894162696
2900,11.603570277770885
3000,11.623927404923704
3100,11.697332672148205
3200,11.630377287809582
3300,11.770899083979732
3400,11.852518142415635
3500,11.896350916742156
3600,11.969888732683046
3700,12.048503304941654
3800,12.073077963356722
3900,12.050055121400101
4000,12.167961463767483
4100,12.179406689397647
4200,12.282199208385396
4300,12.345161567148587
4400,12.336758645862881
4500,12.411241931770231
4600,12.38960310770754
4700,12.447669169600186
4800,12.639340996355775
4900,12.55517866793349
5000,12.72700249542854
