milliseconds,CML,T_cell_naive,T_cell_effector
0,10019.78553250811,1503.5216678310985,19.890872294652954
100,9841.550273999992,1478.8607796351137,0.8899035535246045
200,9828.666430464385,1459.4169458430351,0.5770546195315656
300,9791.225479544588,1469.2737099344645,0.9477182402381339
400,9746.167862422002,1461.1453476539168,0.8633245859825487
500,9748.45457847886,1446.5187978856184,0.4057653351906273
600,9709.755321856685,1421.0044882714226,0.6004587768643037
700,9677.994392693081,1377.0454983371123,0.4635957985944381
800,9666.35173188122,1397.600487540562,0.466190285222539
900,9627.028569287319,1353.5823538755144,0.7857721885028699
1000,9621.406487422299,1341.6941346640558,0.8947507812794682
1100,9573.378987652697,1335.4247152936498,0.6674413852202842
1200,9573.439648073308,1307.927429952014,0.7212603280525921
1300,9524.991007971888,1288.5220876433327,0.5036890726465774
1400,9520.434031226352,1286.45903091781,0.876767339118474
1500,9495.973696429566,1274.9851849321701,0.40572459104292485
1600,9469.62547083936,1262.6982468063497,0.3878656276941129
1700,9474.008258688365,1231.685769117153,0.6691822747643279
1800,9455.539557481383,1236.6275487444418,0.573982467439982
1900,9415.360997659256,1221.8491088396775,0.6805882030209621
2000,9411.618338332277,1203.4824474556112,0.4904097997577329
2100,9410.345616819188,1176.3037834465144,0.8071517596673405
2200,9384.592092544626,1183.9578253164798,0.5622651263325809
2300,9354.6543254624,1149.7875689564037,0.4444160259220945
2400,9367.315966478862,1170.8070321395655,0.5690076713866311
2500,9325.931999879089,1129.8338040264184,0.49909254444040285
2600,9314.868848269038,1140.4397214230223,0.6505432110929493
2700,9304.842543545123,1112.375812203034,0.3606062549379574
2800,9308.557883951033,1096.9986970466382,0.32139605852560227
2900,9318.065802663097,1087.1643251239611,0.48783092524076255
3000,9277.83419569036,1095.153288551609,0.43122821177559967
3100,9280.683337244227,1081.4651524434346,0.4708764808221944
3200,9258.221722271694,1037.4220967433582,0.5591840560675606
3300,9265.586292651187,1037.216223871989,0.6859251498272392
3400,9262.200072384469,1014.5884596441819,0.6742489278191125
3500,9238.0198136674,1024.6717588982426,0.7227880178430265
3600,9240.49094594088,996.7572701209779,0.5593187499243154
3700,9222.753986578731,982.5915714376704,0.4176581325466002
3800,9241.528860293109,969.5899627168321,0.38637050927501243
3900,9222.714845769684,965.1511031822556,0.6418732384610308
4000,9216.011461670108,975.1969192354968,0.6550463248794571
4100,9218.747021416744,954.8469713319535,0.5855482310079707
4200,9203.108505655115,939.4473357542132,0.6335563590048912
4300,9201.622494028014,935.008974064767,0.6356488628528849
4400,9189.319452817726,901.7887762812433,0.46260011190746536
4500,9180.045607505841,891.4218264895256,0.48427002638734784
4600,9172.882738260876,915.5925628219428,0.6089999578313626
4700,9162.677367171385,887.5850339243693,0.22793096767480592
4800,9160.512724035081,883.9445901617376,0.6266354507004926
4900,9161.372688926347,872.0061471506024,0.6834708072261342
5000,9151.31562306219,844.600590597029,0.23240487285601366
