miliseconds,BM,ACT,GLC,ACoA,AKG,cAMP,FBP,G6P,GLX,ICT,MAL,OAA,PEP,PG3,PYR,AceA,AceB,AceK,Acoa2act,Acs,Akg2mal,CAMPdegr,Cya,Emp,Eno,Fdp,GltA,Icd,Icd_P,Mdh,Me,PckA,Pdh,PfkA,Ppc,PpsA,PykF,Cra,CraFBP,Crp,CrpcAMP,IclR,PdhR,PdhRPYR,EIIA,EIIA_P,EIICB
0,0.029999798775033136,-9.392796511340657e-08,4.79999980211442,0.35197767897541876,0.19119017493686852,0.20280407244048007,6.575042419784403,1.9081408413895309,5.705925967468555e-09,0.001408112959865801,3.2787777053190865,0.05053493802582738,0.21045589440015497,5.720976917550064,0.8632783821817535,0.0047232299999804064,0.0014169689999779932,0.00014169699999574536,0.001,0.0010962220008558408,0.0010268479998107349,0.001,0.001,0.011515592999935058,0.011552813000606166,0.00015749200001057123,0.0010296119996460202,0.004290789525119282,0.0002204769177410649,0.0034572699988271085,0.000999713998561991,0.002290891999945036,0.004647400999858531,0.00014381600000558568,0.0009997139995057006,0.0009874929999326998,0.005977167999772602,0.00029909802133809283,0.006990901977022307,0.005943274334469,0.00134672713483437,0.00729,0.0011638128079575056,0.006126186989604377,0.09647707203215747,0.0035229212496524923,0.003
100,0.03000017940337123,1.323779914007433e-07,4.799999157416698,0.3519785085300866,0.19118935099103213,0.20280179237957585,6.575043621399543,1.9081383684707818,5.705929614746748e-09,0.0014080985014176515,3.278781682188302,0.050533967389421786,0.21045469820620263,5.720975249401592,0.8632760708130808,0.00472322999909511,0.0014169689997883042,0.00014169699996904053,0.001,0.0010962220027032584,0.0010268480005311302,0.001,0.001,0.011515593001038169,0.011552813000708782,0.0001574919999605921,0.0010296120010262978,0.004290788950514491,0.00022047770489413694,0.0034572700036871575,0.0009997139959650478,0.00229089199957125,0.004647401000972579,0.0001438160000211757,0.0009997139926082284,0.0009874929998361529,0.005977168001216695,0.0002990981224343015,0.0069909018579007,0.005943284265796868,0.0013467146393253075,0.00729,0.00116381574778652,0.006126183255127401,0.09647745357741336,0.003522536125558125,0.003
200,0.030000883575460893,5.048695440359024e-07,4.799998102911701,0.3519826066337139,0.19118744926896683,0.20279981615608064,6.5750454867394215,1.908135157112841,5.705926761165959e-09,0.0014080986991156915,3.278780709848433,0.0505326314389014,0.2104543883447927,5.7209729729426915,0.8632726362983315,0.004723229998255527,0.0014169689995447235,0.0001416969999504492,0.001,0.0010962220028157574,0.0010268480011108218,0.001,0.001,0.011515593001876588,0.011552813003199526,0.00015749199994134232,0.0010296120015082831,0.004290787710040853,0.00022047753942937013,0.003457270005659624,0.0009997139866715484,0.0022908919986365495,0.00464740100178838,0.00014381600003432704,0.0009997139894709873,0.0009874929994961486,0.005977168002054481,0.0002990979772206861,0.0069909019657787485,0.005943297485132828,0.0013467036878165395,0.00729,0.0011638190281076535,0.0061261804172178585,0.09647745831583898,0.003522529500270401,0.003
300,0.030001701162411083,7.327489277804316e-07,4.799997207013847,0.3519785861462571,0.191185345014062,0.20279817459159813,6.5750466818162225,1.9081326868056867,5.7059283318575116e-09,0.0014080979149969544,3.278779202510384,0.05053153703586939,0.21045428068594632,5.720969895334345,0.8632695285913673,0.0047232299974244475,0.0014169689992980289,0.00014169699992220953,0.001,0.0010962220048730941,0.001026848001550086,0.001,0.001,0.011515593002656786,0.01155281300384908,0.00015749199987924876,0.0010296120020727034,0.00429078721508794,0.00022047958134791188,0.003457270008207054,0.0009997139881637975,0.0022908919983706238,0.004647401002618794,0.00014381600004975814,0.0009997139824599265,0.000987492999198636,0.005977168002469591,0.000299097952926268,0.006990902043833571,0.00594330750250151,0.0013466935511926396,0.00729,0.0011638216521416423,0.006126177704949091,0.09647745937706069,0.0035225321410485323,0.003
400,0.030002379405483656,8.309775499069531e-07,4.799995042958624,0.3519943653093773,0.19118575300003185,0.20279660230596167,6.575046206925643,1.90813077733397,5.705928435973371e-09,0.00140811152221628,3.278779371608856,0.050531608575043054,0.2104542614075583,5.7209677623017505,0.8632669249743489,0.004723229996884704,0.0014169689989729252,0.00014169699989723944,0.001,0.0010962220058058636,0.0010268480021202243,0.001,0.001,0.011515593003479442,0.011552813004701321,0.00015749199986356746,0.0010296120032347088,0.004290785441081726,0.00022048093074739065,0.0034572700090673776,0.000999713978592207,0.002290891997371421,0.004647401003542503,0.0001438160000534978,0.000999713980589527,0.0009874929989143325,0.005977168002862601,0.00029909783799656516,0.006990902138929247,0.005943314545078166,0.0013466863653368404,0.00729,0.0011638250164062148,0.006126174419696024,0.09647745823692534,0.0035225313467157748,0.003
500,0.030002413821536504,1.0605793496277687e-06,4.79999486208129,0.35201879247667184,0.1911846782606996,0.20279487460253254,6.575046700247376,1.9081293109575452,5.705931001876846e-09,0.001408117045247623,3.2787780175311023,0.050530173826608196,0.21045419082384276,5.720965516684024,0.8632650482552953,0.004723229996319327,0.0014169689988653463,0.00014169699986959827,0.001,0.0010962220061283042,0.001026848002343297,0.001,0.001,0.011515593004019371,0.01155281300554358,0.0001574919998289923,0.001029612002701495,0.004290783055115087,0.00022048211486068285,0.0034572700102601856,0.0009997139772264037,0.002290891996919333,0.004647401004201466,0.00014381600007439457,0.0009997139716842682,0.0009874929987590821,0.005977168004004196,0.0002990978850593866,0.006990902085020143,0.005943324179219199,0.00134667588257411,0.00729,0.001163827993222146,0.006126172110297729,0.09647746023189986,0.0035225309326533125,0.003
600,0.030003337718272568,1.2548680804811559e-06,4.799993405826544,0.35202200239601233,0.1911841423270929,0.2027936722791958,6.5750452725908906,1.9081283714552981,5.705923529818208e-09,0.001408124489718909,3.2787776438472664,0.050530287639362854,0.21045416838241063,5.7209645102233235,0.8632633881745896,0.004723229995620158,0.0014169689986239047,0.00014169699984894273,0.001,0.0010962220057297227,0.0010268480024918935,0.001,0.001,0.011515593004571006,0.011552813007906386,0.00015749199978075065,0.0010296120034306892,0.004290782042359134,0.0002204835417320657,0.0034572700092495214,0.000999713969643397,0.002290891996111768,0.0046474010047047425,0.00014381600008975105,0.0009997139651735912,0.0009874929984620062,0.005977168005117533,0.0002990979973366915,0.006990902040771619,0.005943331434074588,0.0013466708917383556,0.00729,0.0011638297376465778,0.006126169071650666,0.09647746208332493,0.00352253062061759,0.003
700,0.030003786328587564,1.4307364793714144e-06,4.799992292225999,0.35203961572512366,0.1911863591342389,0.2027926359186962,6.575044545833896,1.9081274888344804,5.705925090894723e-09,0.0014081286671888099,3.278772832415737,0.05052940276609072,0.2104541129516541,5.720962794694493,0.8632604723433202,0.0047232299946826225,0.00141696899841226,0.00014169699983775615,0.001,0.0010962220061368456,0.0010268480024542756,0.001,0.001,0.011515593005042108,0.011552813007912556,0.0001574919997289897,0.0010296120033050785,0.00429078015459222,0.0002204857644320799,0.0034572700105302777,0.0009997139642928137,0.002290891995801301,0.004647401005365896,0.00014381600010383424,0.000999713966386787,0.0009874929981439967,0.005977168005347241,0.00029909799482270025,0.00699090195452106,0.005943336093661858,0.0013466633952612151,0.00729,0.001163832872937432,0.006126166871300767,0.09647746017599605,0.003522528582389859,0.003
800,0.03000394210306786,1.7225240421527613e-06,4.7999909196192325,0.3520562709156094,0.19118556327610073,0.20279140487496228,6.575043901240525,1.9081269856521945,5.705925804433161e-09,0.0014081404439149994,3.2787724223778434,0.050528864509045215,0.21045407588314835,5.720961261998613,0.8632598450186907,0.004723229994131389,0.0014169689983721432,0.00014169699981370494,0.001,0.0010962220077804195,0.0010268480024277773,0.001,0.001,0.011515593005301682,0.011552813008962406,0.0001574919997083999,0.001029612003196156,0.004290778829538537,0.00022048747457769426,0.003457270010410479,0.0009997139596149684,0.002290891995277124,0.004647401006060618,0.0001438160001183176,0.0009997139557103314,0.0009874929979753206,0.0059771680060710115,0.0002990982122483351,0.006990901882615746,0.005943343979525002,0.0013466583116958505,0.00729,0.0011638352513410432,0.0061261652583280085,0.09647745826516016,0.0035225317567648975,0.003
900,0.030004962086295175,1.7785827626106431e-06,4.799989947007299,0.3520633744888945,0.1911885907831751,0.20279016169791242,6.575041960636588,1.908126579379695,5.705922004765214e-09,0.0014081414184670378,3.278772730004383,0.050528253640775934,0.21045406252300952,5.720959648388416,0.863257624121091,0.004723229994047326,0.001416968998209903,0.0001416969997982553,0.001,0.0010962220057693832,0.0010268480027735899,0.001,0.001,0.011515593005589202,0.011552813010886273,0.00015749199967802488,0.001029612003205256,0.004290776911858397,0.00022048893208841564,0.0034572700119623865,0.0009997139563882053,0.002290891994624921,0.004647401006454373,0.00014381600013071971,0.000999713951434114,0.0009874929976832695,0.0059771680074534326,0.000299098190621924,0.006990901834740754,0.005943346679809036,0.001346652677796108,0.00729,0.001163836476744152,0.006126163955545642,0.09647746058996089,0.0035225278393736918,0.003
