milliseconds,P,D,I
0,0.055789572549772404,-0.03290659060695313,-0.00039437530334584316
100,-0.0020129693326042305,0.03381071878672756,-6.296685158359212e-05
200,-0.015954888245739353,-0.03094719995577892,-0.00027078547034202813
300,0.07676388838106295,0.027449500633581272,-0.00045531824963396445
400,0.04802123654070971,0.024210018518091153,0.0007352740235649358
500,0.06342933491959274,0.0014713690037299757,0.00019210750821567173
600,0.07526793511412767,0.03281103781447394,-0.00017874870647210822
700,0.09874380414372401,-0.041511023809945286,-0.0006454049423121174
800,0.15857871214333105,-0.010453847256691545,-5.5901095752347795e-05
900,0.24932721678530598,-0.011313585940221263,-0.0006927881456443384
1000,0.2987749987161068,-0.017748440829610822,2.5896213033680575e-05
1100,0.4414734333323245,0.13267099425274842,-0.000253031211539318
1200,0.5399142333455372,0.11307160203512517,0.00038660568210335236
1300,0.7864738058184004,0.16776334785110603,-0.00024583358776031214
1400,0.9129299555065733,0.18086909807791085,-0.0003860335967991711
1500,1.2459710834018023,0.2868424086733693,-0.0001919372663501948
1600,1.4514127631786953,0.27200468447646764,0.000502424871426101
1700,1.7301937628506319,0.297858082488633,-3.732889597000756e-05
1800,1.9925509247701894,0.4446501480566481,0.0003269538242006492
1900,2.20626213117316,0.5852207541805882,-0.00038601130887620387
2000,2.317556418158755,0.6352037623292477,-2.025761842347832e-05
2100,2.520922723571061,0.801074371257446,0.0004612428301229057
2200,2.594501829691172,0.9278212486439122,-0.0007560922342810288
2300,2.6902654733617046,1.0959669527214533,-0.0006247286192367316
2400,2.7014447255639147,1.1513547386346004,0.000565676573702889
2500,2.7183277379979742,1.307202516200596,-0.0007426720333144416
2600,2.7529663350617004,1.497500456543559,-0.00024379408155075522
2700,2.7849485151609223,1.6923484065080694,0.000736492126393956
2800,2.7683150998298904,1.8077349580565631,8.73864201109268e-05
2900,2.6797286620735585,1.8299235613018097,-0.000296503389161019
3000,2.6679327651964733,2.0593814338769096,-0.0006597184387083918
3100,2.6170206886320444,2.1832779480748474,-0.00031169450405077275
3200,2.582830067214862,2.26759964532918,-0.0003742085491338473
3300,2.557889373492748,2.362781586679054,-0.000735141783513647
3400,2.485023465373369,2.5971297485913323,8.432908385297774e-05
3500,2.4659333683261044,2.726895501388591,0.00043120716111545894
3600,2.3583493830317175,2.7574286474001526,4.3112649908979914e-05
3700,2.3352088321118827,2.9400225634460755,-0.0003341052399497132
3800,2.316539534749899,3.000964676153497,0.0002781127381094393
3900,2.26346328363431,3.0800603026147924,0.00037691345849469917
4000,2.1611635628053167,3.2876855598409493,-0.0005065554514327296
4100,2.06531089613987,3.387972168044337,0.0004208520091011977
4200,1.998349545909048,3.4412685654915176,-0.0003585377850294135
4300,1.9624330498375122,3.550797767156742,6.632491807389597e-05
4400,1.8737442444630361,3.612013124686337,0.00034996843255351415
4500,1.839211057222858,3.7660265322713182,-0.0003715831588924607
4600,1.7095384609561475,3.7984667935412726,0.0013371287398113972
4700,1.6526816756024463,3.9201044763987736,0.002967944395475557
4800,1.5608677098938402,3.9384306478305393,0.012091554813502492
4900,1.3777186917985171,4.049939699790032,0.03780754898437883
5000,1.306355570353257,4.18705582561727,0.10682148468364461
