miliseconds,P,D,I
0,-0.027171594356322132,-0.020480772362220002,-0.0004311644396951427
100,-0.01018670591937656,0.03992289743481764,-0.0007608898475683358
200,0.048307275120157034,0.046720630972739825,0.0005145958814931552
300,0.05155070476012949,-0.0047280355603873565,-0.0006375331036070834
400,0.07695041553726323,-0.030943846161195762,-0.0007525732310313489
500,0.027408177920966087,0.05264299558067766,0.0002250726873641666
600,0.09326100581622032,0.00040854516250254935,4.967677168208979e-05
700,0.0679153641257495,-0.0235554137018893,0.000293877774665933
800,0.16823947665592323,0.0790212384405701,3.08191995165966e-05
900,0.2703404605551676,0.06290588864236338,0.0006375703067018915
1000,0.28972252851541186,0.03316312483452567,9.918045135453501e-05
1100,0.4280377422666663,0.017321113673622712,0.0006859843227997196
1200,0.5258027909610745,0.12275872466882505,0.00024372013777369434
1300,0.7282192765720362,0.06613735972060664,-0.00021249812062628515
1400,0.9334453020133023,0.11917703485648638,0.0002618812054311617
1500,1.233304957765316,0.28261817837319664,-0.00019913036250462048
1600,1.4763151067113722,0.28343383479656536,-0.0001227423755838405
1700,1.7621370903666314,0.3933630957392495,0.00045068863588139423
1800,1.9290184286347876,0.4119072436498672,-0.00027611108748417615
1900,2.1620039091179617,0.49690401189988503,0.0002058586287598952
2000,2.40237254343017,0.7070683436128037,-0.0007082504742201961
2100,2.495575729126511,0.8223580118475899,-0.0006562915770386244
2200,2.64726113536851,1.0070561143709473,-5.2194842590290985e-05
2300,2.7306645769962676,1.0948825260720911,-0.00015584604285623368
2400,2.6852857609166763,1.264353890482204,0.0003050814556874894
2500,2.743374625037979,1.3148849205883655,-0.00029663802792123135
2600,2.7747274734676517,1.4194123832655428,0.00020498553123218436
2700,2.7974334253684834,1.6126601082922571,-9.752632913445801e-05
2800,2.7585285240283337,1.690209760719139,-0.00018943558554425987
2900,2.6594777430262484,1.960012339477135,-6.833158564932886e-05
3000,2.6901197645191437,1.9630085323238595,0.0002546851765024467
3100,2.620337245661738,2.1404538354295375,-0.000624363367582298
3200,2.5756941501380126,2.229255206484376,-0.0007127607935571143
3300,2.593242879715582,2.3868690372508294,0.0004172603113364483
3400,2.534542643257878,2.618678637132425,-0.0002264780167859001
3500,2.449561416905839,2.624131837903419,0.00029779280995752576
3600,2.4397959642540945,2.801767397202836,0.0005576135445574862
3700,2.385864488240283,2.9891351581025947,-0.00027651017108673467
3800,2.305713834561678,3.03744259157893,0.0006153003436450303
3900,2.201719791789336,3.145894278672005,-0.000707762711748977
4000,2.1265012793476297,3.217486043277797,-0.0006526835665448063
4100,2.0601352119418297,3.3403276202760286,0.0005571063607324373
4200,2.0484088132460774,3.5062847241549604,0.0002577987829871483
4300,1.9082099397251406,3.4995866223820946,-0.0006076543347060317
4400,1.9091388132225164,3.5854972883567235,-7.594009655370016e-05
4500,1.8429196568935688,3.7939511957209655,0.00028990909302542133
4600,1.7003731524148187,3.8701006993608904,0.0015774901338813166
4700,1.5975152260234973,3.9120277570818125,0.0038630077284929716
4800,1.571820308238525,3.9819810357160033,0.01265330939725855
4900,1.4013021198801252,4.01688931151082,0.038223133602126924
5000,1.2935017484216718,4.162816709709457,0.10604265024781924
