milliseconds,pRB,pRBp,pRBpp,E2F,E2Fp,pRBc1,pRBc2,Cd,Mdi,Md,Mdp27,Ce,Mei,Me,Skp2,Mep27,Pei,Pe,Ca,Mai,Ma,Map27,p27,p27p,Cdh1i,Cdh1a,Pai,Pa,Cb,Mbi,Mb,Mbp27,Cdc20i,Cdc20a,Pbi,Pb,Wee1,Wee1p,Pol,Cdc45,Primer,Chk1,ATR,AP1,Mw
0,2.518057159347375,0.18232379609736954,0.09968365214168957,0.06031053855120364,0.0010073509723075205,-0.17203020769286034,0.056628429357542844,0.010195151295886403,0.009904554948000178,0.009859372577746637,0.019359483607395873,0.009867977793285493,0.010017836122563845,0.010169678419443898,0.011722736776728906,0.010173064240464469,0.009060180253431882,0.0048720306506249925,0.010118812814270642,0.010323953794095248,0.010080536247782794,0.010160937704595778,0.36719821841737055,0.010053216752541798,0.010009503195547085,-0.00182599423674654,0.012855870364006195,0.006005806312852235,0.010489753923860782,0.010498374759663032,0.010046089221727726,0.01009775174481464,0.012632492083150811,0.009995718801152536,0.0042193513742243074,0.10058030865708872,0.09765823824744728,0.012096504706788616,0.009823520310160169,0.009901850874720713,0.010251375737072504,0.008580103685396592,0.010201709413456104,0.12526790837974683,0.0
100,3.5994154402618843,0.009505168149028834,0.0005047344925360615,0.4349346068822868,0.0003593834020253624,-0.19229468673628552,0.02063123992395022,0.010107118256614676,0.003222511610706939,0.016034503839525677,0.027983754777587855,0.0022693215312990125,0.016821334135175562,0.004646204903271192,0.18730183469253858,0.009091111949983908,0.08280764574765939,0.17107940179594675,0.008276526895322463,0.022085589875295193,0.002100603347827367,0.007926130272188527,1.298521333752444,0.011096178028977197,0.00036260610589018276,0.20748878851043176,0.11925804878888847,0.06138621269090862,0.04684098345980896,0.022993604803582122,0.003200215327808411,0.007047784128727972,0.16698368758662643,0.0022071953160023093,0.20648162585569263,0.054142648414678786,0.09966718828452041,0.07605968273998565,0.007889639626170957,0.0007455763139207357,0.01031399377239922,0.03198256919905349,0.00793505603104772,1.4214302178851699,0.0
200,4.067688322392574,-0.016897040160775808,-0.0010529917929418425,0.5798059355423968,0.0008711068649919608,0.29435995864271536,0.013741194966114732,0.022988783119430724,0.0036708033527211967,0.018684129875927616,0.010020902297641899,0.0013757178395636415,0.012296039372709025,0.006747577760627973,0.2211731339374779,0.011156102182259112,0.12045507199376082,0.2704291258428199,0.007521459247159079,0.02304261605059807,0.0032963910877476382,0.00695708213381926,1.3974584570946857,0.01777768160043739,0.0006232077749833617,0.32343382218106087,0.2068540052340567,0.09739068222152467,0.056948733230036734,0.028565286022556615,0.004487418521931219,0.005755156508412454,0.28179724640017234,0.0038786793330605556,0.2938130988711519,0.06655766894155124,0.13711338372293488,0.09722676887916062,0.006470478809875047,0.0010565975406991424,0.010183408884207,0.043779616358788256,0.006357798084228283,2.3690677473479087,0.0
300,4.930857329134502,-0.048894511272279166,0.0002520042550842704,0.778277623594308,0.0013516725777608614,0.21821385016671435,0.0024350744492903555,0.0358121896195821,0.004488964553308431,0.021652604429111266,0.032871274625541604,0.0014972096819843715,0.008913871090388879,0.006863421124110288,0.1995866751050635,0.01309452945952923,0.14668633053374075,0.41883435178035605,0.007482247935505808,0.02345044914870008,0.0038458732749287665,0.0069648547245829955,1.7802273137929692,0.0196597986746461,0.0005658205699523648,0.46139387042650154,0.2702920447226792,0.12283685274372141,0.05852101541224538,0.03438005262630037,0.0054126492870408514,0.005226323130322113,0.3597327447580975,0.004979997276905858,0.3719641809174216,0.07289349522519128,0.16050623977381295,0.11104974760114984,0.005261106736760023,0.0010514502017901217,0.00913224252648342,0.048403309254207244,0.005071153635811723,3.302991393280114,0.0
400,5.391039081566827,-0.013325619873631097,0.0005093047752970394,0.8727271011239863,0.0019213105430089463,0.10291902793691932,0.008748613714474492,0.0440395875454722,0.005574997495181235,0.026328508223095487,0.043079403529236525,0.00137445004363859,0.0062662454661412004,0.006568730561627683,0.16934640965795583,0.014738947566169168,0.16494938424952224,0.5198976221429796,0.007326946636894444,0.02321519593731492,0.004400051516367196,0.008851666203791525,1.9347045609561968,0.02038326251952978,0.0008268851869747561,0.5351048119264525,0.33769724981763233,0.141857213534673,0.05764614834747007,0.03839132007640591,0.006217277470627137,0.007448474233088693,0.45161816269022953,0.006075845144867908,0.42055376274339773,0.07763208518831317,0.17773211332204497,0.12210297142425058,0.0043889608677577015,0.0010203347192356395,0.008346987772912548,0.04576719175774803,0.003942410311344953,3.8832055116847046,0.0
500,6.4033817881891775,-0.005623000867959131,0.0014055300602191416,0.930043801617024,0.002230356921348,0.3386693057007209,0.0075498242445257,0.051974385370629275,0.0063950337346663725,0.031492335515375725,0.045799099631712824,0.0015292993254753095,0.004923967382761326,0.006110117153338446,0.15120414406895707,0.016802882713559713,0.17231240221179933,0.5761974448448534,0.006966965259181155,0.023158549363290884,0.00466508453530598,0.00836270087525747,2.6329971367193155,0.019842106629073965,0.0007197271223254373,0.6185018474056782,0.3982191580261947,0.15818925194539082,0.05561860998087785,0.041163964466156444,0.006732015146959294,0.006738494226283683,0.49617568748599067,0.006728391850658607,0.4539649831365932,0.08205365673173068,0.19375038366250932,0.1340696089763383,0.003528859958989462,0.0008089705011670926,0.007667940577378945,0.045949234336381775,0.0030718653914068436,4.431575119596739,0.0
600,8.288199092001618,0.06071437056514331,0.000961076642007146,1.01521375663235,0.002452931144431411,0.8884684366136582,0.0037542928908857725,0.06030478689635472,0.007215102547648949,0.036484690293995585,0.050038831933202896,0.0013906854730817632,0.004188610509263404,0.0053195973139910134,0.13824213559675208,0.018303509852811255,0.18025371708790006,0.6949841008331292,0.00681952658263599,0.02226817032555414,0.0048245367161819565,0.010658726450350577,2.6176564566220417,0.01792926885224022,0.0008801228154358648,0.7297914054542327,0.43574755376502866,0.16963641932877244,0.05213205006296049,0.04279702657161403,0.006953413514588017,0.008748709367088941,0.5409704877323918,0.007097795841040163,0.48480952387101983,0.08386171707363398,0.2120538030170199,0.13875807579877497,0.00285613962940957,0.0008625851667221276,0.0065613089600826974,0.03957159770645702,0.0027139544105764047,4.7408494102668435,0.0
700,11.310348616190055,-0.008199692328946202,-0.0004631439551310418,1.083737841985879,0.0026650479092774943,1.0761864879339866,0.006264713347890823,0.06468723718512684,0.0076453029529902445,0.04015432088474256,0.1006521017754086,0.0014296097289601024,0.00310045433670721,0.004771164580094339,0.13584764895047868,0.021101554115950685,0.19086987120444526,0.7785430735752835,0.006695359557165813,0.021730972522190344,0.004834523035280898,0.011894823312010675,3.0607104702396315,0.016899654551498187,0.0006974042409297554,0.7596325627301496,0.4779068857769544,0.17611792742281213,0.049662408979637786,0.04310276306349412,0.007210868152572085,0.009004475804734999,0.5714518049808412,0.007408991217040121,0.5091153860412712,0.08569091254237052,0.2248862330858051,0.14761493298952896,0.0025075831446094406,0.0006741892126221447,0.00585135307959307,0.03666701092603016,0.0022283077694668523,4.998405457806942,0.0
800,11.46565473516203,0.0009169898089088115,0.0004216428108553494,1.1914677981703312,0.002887272021198736,0.8779843257570504,0.0012773573440708558,0.07234639168623874,0.008078244270700696,0.04207161598185294,0.08692866792477882,0.0013609830567789262,0.00276762579159757,0.004533101853920263,0.12805088304162204,0.02125223541649974,0.1898195099610141,0.7965574302262675,0.006700393193588234,0.021588653699786502,0.004839952880775971,0.013357788106324533,3.5501410167053944,0.01563991323971642,0.0007206012734684818,0.8336731737031229,0.5018147708827205,0.1785726453299824,0.047833059092439234,0.044178039886099155,0.007254193660221785,0.010905517444458649,0.6129581167608829,0.007490793095919065,0.5119340906308822,0.08690597942542565,0.2289941754806175,0.14989676009178185,0.0020349006933196934,0.0005681222531101111,0.004857331454120456,0.03072085356894928,0.0018106699640989795,5.327749039613061,0.0
900,12.71496886811374,-0.012524916490341285,-0.0005910365039675462,1.1941494239450934,0.0030075799285041345,1.2108106096843174,0.000367016620703409,0.07670812576958104,0.008229674006452137,0.04291899697812614,0.1405271339505413,0.001123137146206333,0.0024463164353566162,0.004005458973044041,0.12384027347472853,0.022456368012967156,0.19259131403333007,0.8715735069491342,0.006433288179410214,0.020679929921926438,0.004781715605269792,0.013575145275325383,3.4654861073529872,0.014877284210500883,0.0009178267683722556,0.863330064956235,0.5147721335079516,0.18372321035540204,0.04417173931628347,0.04376999794274776,0.007227075816348107,0.012480302928661159,0.6427207616265641,0.007537540964763388,0.5204024657642367,0.08895890205331126,0.24106729298283572,0.1515336880089545,0.0019170384806240018,0.0006486984855160152,0.004113270908840227,0.026766397279664917,0.0013839889374844161,5.559635797711894,0.0
