milliseconds,IkBalpha,NFkB,IkBalpha_NFkB,IkBbeta,IkBbeta_NFkB,IkBeps,IkBeps_NFkB,IKK_IkBalpha,IKK_IkBalpha_NFkB,IKK,IKK_IkBbeta,IKK_IkBbeta_NFkB,IKK_IkBeps,IKK_IkBeps_NFkB,NFkB_nuc,IkBalpha_nuc,IkBalpha_nuc_NFkB_nuc,IkBbeta_nuc,IkBbeta_nuc_NFkB_nuc,IkBeps_nuc,IkBalpha_transcript,IkBbeta_transcript,IkBeps_transcript,IkBeps_nuc_NFkB_nuc,fr_after_trigger
0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
100,0.08129858816707852,0.044640417965864494,0.01847994147957287,1.2370958559616155e-08,6.874555722263053e-10,8.826470433135214e-09,4.904883068185246e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03787306595472457,0.00015355436328337216,6.573421925640446e-06,3.65279563360027e-12,8.960828009636415e-14,2.606207969124811e-12,6.774710702008458e-05,1.0671033821760006e-06,7.61360278294113e-07,6.359162657821223e-14,0.5
200,0.07394439551697121,0.02070869853271285,0.025646048211762463,4.903916226178304e-08,3.1395668561907094e-09,3.498861578568748e-08,2.2400442203792998e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054609926878061536,0.00026176405428215635,3.53209957370102e-05,2.7471962603013586e-11,2.049089615768849e-12,1.9600767963335044e-11,0.00030057193911940384,2.1324155357235574e-06,1.5214425451510777e-06,1.4458073985302848e-12,0.5
300,0.07070086636232657,0.009801049363823111,0.028723870790134068,1.1091936302746141e-07,6.358651649499211e-09,7.913909629115389e-08,4.536932964133602e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06239116519842505,0.0003377991700915791,8.39037335289294e-05,8.783595084832913e-11,1.1699269253398955e-11,6.266928263525747e-11,0.0006540103901832018,3.1959394673801343e-06,2.280248945827399e-06,8.205031178539491e-12,0.5
400,0.06918111317111779,0.004718927814492405,0.030097458094222273,1.9886809821321555e-07,9.403903353220179e-09,1.418890375776989e-07,6.710161854066965e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06603853139216898,0.00039250891077924127,0.00014506652116382467,1.98393579311135e-10,3.8473245656950335e-11,1.4154936754973722e-10,0.0010730578993495797,4.257678178836381e-06,3.037781621978766e-06,2.681454784314617e-11,0.5
500,0.06843760667858986,0.002327380655992519,0.030713487914780162,3.1320274975611406e-07,1.1872930170019134e-08,2.2346488805809803e-07,8.473110526797672e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06774618448735245,0.00043314219034617786,0.0002129264374815008,3.707209979279547e-10,9.438599050353636e-11,2.644989384427111e-10,0.0015245621643436827,5.317634666744339e-06,3.7940427116659047e-06,6.536707714457276e-11,0.5
600,0.06805822246738286,0.001196616653752846,0.030983735386912476,4.538745584605553e-07,1.3729415402014934e-08,3.2383186243887793e-07,9.800609781995115e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06853605663378531,0.00046422589817102765,0.0002835674704330997,6.145293526980351e-10,1.9340575983782337e-10,4.384438829813808e-10,0.0019912323680309593,6.375811922725901e-06,4.549034349360615e-06,1.330856992750188e-10,0.5
700,0.06785550218517905,0.0006607019026836341,0.031095415496690787,6.206721084145269e-07,1.5100007002653766e-08,4.42839125250268e-07,1.078405429643254e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06888932792529234,0.0004885759431606511,0.0003545282015662895,9.378066745919655e-10,3.510788225344781e-10,6.690788009330291e-10,0.002464494579135595,7.432212933381264e-06,5.3027586659518005e-06,2.400271370670786e-10,0.5
800,0.06774228073573958,0.00040637035193295785,0.031135447479819684,8.133459598494821e-07,1.614981948878922e-08,5.803087151884968e-07,1.1542596147665604e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06903386979891121,0.0005079956105004807,0.0004242836972081819,1.3470122899132194e-09,5.842508789054602e-10,9.610052417167969e-10,0.00294017906149602,8.486840680297336e-06,6.055217788751469e-06,3.968617124638465e-10,0.5
900,0.06767758313971982,0.0002855663841290014,0.031144532811735192,1.031664553559639e-06,1.7026537336295836e-08,7.360754329241632e-07,1.2183278108025692e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06907797689007074,0.0005236923579301194,0.0004918931801379302,1.8473130726502622e-09,9.108258329603973e-10,1.317899834361339e-09,0.0034162702193749448,9.539698140056177e-06,6.806413841500752e-06,6.146860942371012e-10,0.5
