miliseconds,x1,x2,x3,G,Ii,Ip
0,72.99265126312976,88.1879519414993,99.08318209746467,10861.438839951925,205.32813000303764,59.36015820951446
100,72.86763456926921,88.12394217695353,99.0132631956234,10861.11555103695,204.9547675638347,59.278385332903916
200,72.70532562839146,88.0226643164522,98.97635416816237,10859.221054676882,204.83683123407022,59.28627728541302
300,72.66755352415532,87.75091858844058,98.80313984035331,10858.126220169705,204.5906012031875,59.22318521620373
400,72.59253236549024,87.74949836497719,98.79976289102437,10853.446172489395,204.49491872890232,59.18461856363268
500,72.4629628121787,87.67968064242885,98.7110117473632,10853.066873022633,204.22181559869742,59.08443636119328
600,72.40451107852614,87.54395548676834,98.61961330722268,10851.492674946969,204.13920404768294,59.08074013904711
700,72.20665839984758,87.36575313498486,98.43673499762116,10851.013114329331,203.9237432355901,58.99131919380891
800,72.07700483170503,87.14677517989,98.38442141401303,10848.967165069289,203.81934472549634,58.88266764977017
900,72.0828309206511,87.17652851156603,98.3212003757552,10847.55856889097,203.6929440816069,58.838581363012565
1000,71.91056671063517,86.97216499065247,98.20785032043085,10846.576473056375,203.48748754265395,58.76522850661261
1100,71.73672820046448,86.88147077070454,98.11543515167077,10844.519262241232,203.18095120483804,58.804285313628945
1200,71.70276441695177,86.69108915897684,98.04801912944144,10842.646783518632,202.99209867812735,58.68541328263958
1300,71.64001969813948,86.6132918731368,97.89964648977882,10844.169550786612,202.97316807185095,58.61259850224107
1400,71.49027865815815,86.54763968933524,97.8891764266097,10843.042042253477,202.6390362962658,58.637853505146865
1500,71.38594498516072,86.330594999745,97.70703496329168,10839.499529843633,202.49669651177442,58.59586332417422
1600,71.24420716928323,86.26747562936981,97.59343671264439,10838.289207699281,202.23149413432972,58.50185120655967
1700,71.21240340743721,86.13865968291638,97.58385507361193,10837.10331132471,201.9934714693372,58.48497187208381
1800,71.08680693984287,85.9725105226216,97.50417549417041,10835.703873785791,201.8112462895875,58.40519759170316
1900,70.86029090963885,85.75792976263132,97.36024168037375,10836.873621987988,201.78828260287705,58.395988689687954
2000,70.84255483640354,85.66246739968325,97.25664272413769,10836.128735671724,201.4538240794927,58.241573108717624
2100,70.8006515301534,85.57634300387922,97.13838812455585,10835.139662274572,201.38086169079426,58.28274819341387
2200,70.54896066231731,85.4063234689685,97.08156558061854,10831.517358313593,201.18063814910482,58.212393422936216
2300,70.58012169079747,85.36002756788129,97.02932811580102,10833.243772714706,201.17699090642046,58.12047474660786
2400,70.32536064916646,85.26130890670346,96.84114508694786,10832.142427757963,200.76887185136664,58.12683072300082
2500,70.3927593160026,85.11377959762638,96.8067949304263,10831.709535840826,200.65218136118963,58.0845224995133
2600,70.21422492259724,85.03975863961224,96.64553696123664,10829.459389408938,200.6062060401083,57.97553337832471
2700,70.02491151660236,84.75533366041371,96.53028591974441,10829.449344194285,200.3858806596046,58.01508717436797
2800,70.08387797619892,84.66414957503076,96.50828226883685,10827.588878707498,200.1991792434228,57.922017002350564
2900,69.8614024902715,84.62957480865978,96.41530604256836,10826.643389173307,199.8531459104995,57.86796956722943
3000,69.89858678457652,84.53053499196714,96.34458911434035,10828.354226254016,199.9036638724855,57.813683146551995
3100,69.67787606408461,84.35509341644325,96.17649346295993,10828.113651867483,199.5614496853244,57.770112783670285
3200,69.67463340837165,84.16410308209215,96.06709751971124,10826.09896687819,199.3123114986468,57.73393234260434
3300,69.50186372497984,84.02592537629477,96.01125830058031,10825.240864731017,199.3561810728252,57.70351283962365
3400,69.45248721420857,84.04897861347952,95.88460976246276,10826.339185659537,199.08696046990153,57.626392865511065
3500,69.40620569905016,83.7752901822007,95.81131200483657,10824.752056741645,198.94588480098207,57.62433054587753
3600,69.24411326648519,83.65442041522682,95.7362298721125,10824.731745589139,198.79161349717359,57.60058718135386
3700,69.11645021390238,83.70028047393903,95.62544010537366,10825.350780022758,198.6699315508388,57.52613931581238
3800,68.94049392222124,83.5407727544957,95.54460768016155,10825.24700037547,198.412406054507,57.55128306161098
3900,68.87675468793365,83.35926399271463,95.33843412981885,10823.130855671885,198.33408780345857,57.47845582652325
4000,68.75604068494344,83.22386930296841,95.26235855715319,10824.44557811719,198.0439958381457,57.393659805439725
4100,68.65826032171512,83.10196318671905,95.14250650417029,10823.913084089638,197.75061999177169,57.39747836885146
4200,68.66950107663939,83.02391111448199,95.07087447427735,10823.606921191398,197.7257467810862,57.39041229387672
4300,68.53637017179985,82.90584836073532,94.97274201398432,10823.226106161272,197.54323714587417,57.336639222363225
4400,68.38729456779971,82.77860245778602,94.9104658698168,10821.899723341352,197.36861136946186,57.30973991788525
4500,68.40779357154187,82.66375973820467,94.77857860577954,10821.54740391571,197.18084587416251,57.26779061798685
4600,68.28916241077945,82.6342445161742,94.64306613776061,10823.192601248298,197.02103920089303,57.23986564310781
4700,68.11514802478904,82.38887598800106,94.60041538834551,10824.332780442326,196.73543528563613,57.17001981264423
4800,68.05282552992105,82.37880388304613,94.4524010742918,10823.863021223822,196.65122812198547,57.170815801749384
4900,67.91127673862242,82.15211864997335,94.32724165750393,10825.075080456698,196.41362419154618,57.119809877449136
5000,67.98502127519022,82.08522405047843,94.28776431774295,10823.7419390615,196.26374388425495,57.032405419268436
