milliseconds,C,T,H,I,E
0,737100.0,7616700.0,25000000.0,0.0,0.0
100,778075.356946029,7616265.586552837,23918835.638377644,1242.0956309985938,257.096339488353
200,826255.4991810633,7614175.191862218,22948024.64478737,2368.462013284282,490.0127491478328
300,881508.0569610541,7610933.542880802,22071718.164515655,3385.9752396652475,701.0172004974211
400,943662.2037019525,7607055.524259189,21276939.917112872,4303.85608933093,892.1644687950107
500,1012478.8724302981,7603064.9940151945,20552946.639018375,5131.303463604473,1065.316598951419
600,1087628.3804894874,7599495.00193689,19890763.81038418,5876.963228390814,1222.1608502688036
700,1168674.3516627266,7596886.570451837,19282809.85904958,6548.752708965871,1364.2268383554383
800,1255066.7649374227,7595785.439877403,18722629.841875535,7153.842577535788,1492.9011666284862
900,1346143.3439279904,7596736.636383351,18204690.810271982,7698.683188713623,1609.4405616948834
1000,1441138.449845473,7600276.725671934,17724206.632915344,8189.045254629306,1714.9839622383565
1100,1539200.3891643796,7606923.517027086,17276997.151703503,8630.074302837782,1810.5645009173259
1200,1639414.4999092894,7617165.068498761,16859398.541200988,9026.344370150462,1897.1188135883374
1300,1740830.461272648,7631447.8613092005,16468180.969972422,9381.912072390245,1975.4958693823125
1400,1842493.851362485,7650164.460913964,16100478.142367661,9700.37281954872,2046.4655793865368
1500,1943474.9721341126,7673643.581603181,15753738.154829105,9984.909927214667,2110.7258311951477
1600,2042895.1559712333,7702142.020969547,15425685.421585172,10238.341469341627,2168.908918449911
1700,2139949.5189960096,7735839.219121817,15114288.878046464,10463.16395048725,2221.587255750614
1800,2233927.8053319952,7774833.62303209,14817730.773052912,10661.598150778385,2269.2793227072307
1900,2324233.6419766746,7819141.670477296,14534375.013655301,10835.639993454615,2312.4561616178744
2000,2410386.9142365227,7868703.071090533,14262757.571141224,10987.087174526963,2351.5446488226944
2100,2492023.6238173135,7923387.54810207,14001573.443803933,11117.56784481463,2386.931198591078
2200,2568892.119358622,7983003.161786984,13749662.037317038,11228.568742363443,2418.9655721945837
2300,2640845.7756985873,8047305.892831348,13505993.265432628,11321.460199711659,2447.9644631536253
2400,2707832.9990344313,8116009.889130442,13269655.019096743,11397.51714842947,2474.2147541963272
2500,2769885.5952424756,8188797.842451265,13039842.078579202,11457.936422696215,2497.976443379386
2600,2827104.967913789,8265331.389695662,12815847.368894516,11503.84848088994,2519.485052208678
2700,2879648.344176442,8345260.603100159,12597053.74224388,11536.326154877537,2538.953783987908
2800,2927715.947357909,8428232.28917676,12382924.787822422,11556.392245123405,2556.575668418175
2900,2971539.2826942815,8513897.01220673,12172996.248078082,11565.024908382922,2572.5255087927962
3000,3011370.7815035395,8601914.812586805,11966868.249758374,11563.161079569814,2586.961619074945
3100,3047474.928978834,8691959.645697188,11764198.233972594,11551.69835807549,2600.027374284284
3200,3080120.7408928573,8783722.744854447,11564694.436978703,11531.495883267993,2611.8526125302983
3300,3109575.6485506287,8876914.90891222,11368109.916772118,11503.374364830988,2622.55489239831
3400,3136100.8830951657,8971267.763620876,11174236.920324072,11468.115820850857,2632.240643548556
3500,3159947.8774348814,9066534.422424793,10982901.662949366,11426.463330469753,2641.0062403406982
3600,3181355.7677993434,9162489.473613605,10793959.773880163,11379.120559856776,2648.9389519743972
3700,3200549.7423807415,9258928.503393551,10607292.236417046,11326.751340580313,2656.1177993200763
3800,3217740.077207085,9355667.27664722,10422801.762772478,11269.97941449211,2662.614331033296
3900,3233121.737669244,9452540.670144659,10240409.586238522,11209.388424109638,2668.4933247832546
4000,3246874.300989221,9549401.491759177,10060052.541228032,11145.522115962523,2673.8134387668756
4100,3259162.604163212,9646119.076616742,9881680.842899863,11078.885074258136,2678.627744233565
4200,3270136.9148200313,9742578.062516136,9705255.468952395,11009.943161564921,2682.984327724759
4300,3279934.119176451,9838676.992986366,9530746.983029276,10939.125044110322,2686.9266465906976
4400,3288677.223569439,9934327.213021293,9358132.064347116,10866.821983921114,2690.4942727887315
4500,3296478.1293320884,10029451.403405236,9187395.363949886,10793.391565909096,2693.7227446828992
4600,3303436.265476538,10123982.540074777,9018524.110529529,10719.156179592968,2696.6446213865393
4700,3309643.0262655816,10217862.536492413,8851511.561598537,10644.408451722922,2699.2890085251047
4800,3315179.448578754,10311041.36529423,8686352.546204153,10569.409732618393,2701.682516450119
4900,3320117.845897521,10403476.669793058,8523045.56052692,10494.394032261867,2703.849030780403
5000,3324523.514208306,10495132.106013697,8361590.188943614,10419.568692976814,2705.8102804200207
