milliseconds,PII,PIIUMP,GLN,PIIUMP2,PIIUMP3,GS,AMP,GLU,AZGLU,ATP,ADP,AZGLN
0,0.003,0.0,1.0,0.0,0.0,0.014,0.0,1.0,1.0,2.685,2.685,1.0
100,0.002479320127893975,0.00047123306418840177,0.35338739569261834,4.6242055077618283e-05,3.2047577028065167e-06,0.013215453138718532,0.0007845468612814616,2.6647796109427286,0.48169604848478603,5.164523398304644,0.20547660169535548,0.5585247978052863
200,0.0020651870510084917,0.0007628131598067492,0.34820001715127585,0.00014991724855948445,2.2082545485440315e-05,0.012501081368365766,0.0014989186316342218,3.1550091458267007,0.5547809788432431,5.179016016011365,0.19098398398863362,0.4070642484415112
300,0.0017223103095879023,0.0009355821903213157,0.318568282862907,0.0002768907846587054,6.52167202922352e-05,0.011809763191328216,0.002190236808671774,3.3626544666042872,0.6060996274705648,5.199057669778388,0.17094233022161112,0.3609394395264205
400,0.0014129557358979338,0.0010289705748499104,0.27467830701573015,0.0004155560806214434,0.00014251761349085742,0.011140479389745854,0.002859520610254136,3.418235242570707,0.6263960967320814,5.217790450025679,0.15220954997432,0.327059541791919
500,0.0011216816557966854,0.0010539037864954717,0.2284353800312384,0.0005560600150764444,0.0002683545474915693,0.010497112945363362,0.0035028870546366313,3.364335369383411,0.6241575800968883,5.234479341233979,0.13552065876601996,0.2901811176689452
600,0.0008466890160261491,0.001009910995837866,0.1861606602095608,0.00068236697321412,0.0004610330197820366,0.009887859865529341,0.00411214013447065,3.2264879158445803,0.6043521957800897,5.249241832908989,0.12075816709100957,0.2522185971864444
700,0.0005945884866322425,0.0008958600769649629,0.15040950077795498,0.0007698220038031184,0.0007397294374598486,0.009331653040526787,0.004668346959473205,3.0272574463812694,0.5711063877792905,5.262171246883564,0.10782875311643512,0.21629457828111967
800,0.0003769816481068611,0.0007187968410831815,0.12202868017608176,0.0007875092127476877,0.0011167123029224438,0.008876749508460187,0.005123250491539805,2.7892753548886504,0.52861783272477,5.273043421381153,0.09695657861884484,0.18451907747934707
900,0.0002070665017357954,0.0005024920586619844,0.10187363609369263,0.0007096396451242003,0.001580801799338196,0.008653988259586683,0.005346011740413307,2.5385105602138274,0.48166927392633696,5.280793336114863,0.08920666388513487,0.15867499849324646
1000,9.459847094363986e-05,0.0002927818613481128,0.0935805962239283,0.0005431381032620203,0.0020694815693064013,0.00902688572260956,0.004973114277390432,2.313845818927632,0.43693422958014794,5.281572188960291,0.08842781103970607,0.142226473298515
1100,3.785525366979185e-05,0.00014541202070642804,0.11514406028320473,0.00036325391645940957,0.002453478814024546,0.010754786549938783,0.0032452134500612078,2.1981448352555955,0.4072906313150391,5.259952384879099,0.11004761512089829,0.14728400229557448
1200,1.8620008386882512e-05,8.083531505655148e-05,0.23644019538603717,0.0002792702839410041,0.0026212743974757405,0.013325265461851768,0.0006747345381482214,2.35447904073175,0.41927484888202715,5.1771305060247235,0.19286949397527298,0.21496845370877146
1300,1.3440390920713843e-05,6.147483709474865e-05,0.38864622706829577,0.0002843775642322491,0.0026407072126124675,0.01379529452295794,0.00020470547704205057,2.7859571430785244,0.4854489085712052,5.129817769030246,0.2401822309697537,0.33375375980540944
1400,1.1457590393062583e-05,5.553533641087564e-05,0.5025887991092236,0.00031163771890516795,0.002621369359151073,0.013715305041773256,0.00028469495822673515,3.1717971004714784,0.5594654356164818,5.119873734349775,0.2501262656502235,0.42223375622673465
1500,1.0791620146120439e-05,5.575670722592273e-05,0.5992391810327251,0.0003457578258180849,0.0025876938516700503,0.01360952786565035,0.0003904721343496412,3.456463748673869,0.6170982379654331,5.117215346219598,0.25278465378039944,0.4915259465630143
1600,1.0884479518649859e-05,5.943688573398675e-05,0.6713322203682489,0.00038089503604870305,0.002548783603558838,0.013479658244873394,0.000520341755126592,3.6685191185716066,0.6606029437551216,5.119139889322456,0.25086011067754155,0.5443871245227527
1700,1.1482269325436162e-05,6.507760524717343e-05,0.716393515095302,0.000413719563933201,0.002509720566354367,0.013328244051694974,0.0006717559483050138,3.8291165713304336,0.6937357689648754,5.123960101602768,0.24603989839723092,0.5809380684771474
1800,1.2426662596102664e-05,7.16557453488855e-05,0.7359818048390092,0.00044226532453082545,0.0024736522723843636,0.01316215235126744,0.0008378476487325479,3.9510397755613753,0.7191141509332916,5.130402894696286,0.23959710530371334,0.6020533483216737
1900,1.3584841920356574e-05,7.838218120496238e-05,0.7346720211810488,0.00046541653476521986,0.0024426164469696387,0.01299184334384162,0.001008156656158371,4.041125579117724,0.7382658416876248,5.137434740477665,0.2325652595223356,0.6096874313220741
2000,1.4829134437112289e-05,8.463352076866028e-05,0.7186457505967688,0.0004826874788495919,0.0024178498708048134,0.012829020761430452,0.0011709792385695402,4.103086206406202,0.7520194681356669,5.144266261763184,0.22573373823681542,0.6066789586060417
2100,1.603830985984717e-05,8.994817199964836e-05,0.694250734136654,0.0004941178063397084,0.0023998957166609736,0.01268438037171727,0.0013156196282827178,4.139777864666135,0.7609107043857022,5.150358788885017,0.219641211114983,0.5963230317268271
2200,1.7108483032928766e-05,9.404014668621988e-05,0.6669509563770936,0.0005001969088833217,0.002388654466257708,0.012566145296794166,0.0014338547032058193,4.154549802470454,0.7654804933213086,5.155389476961821,0.2146105230381791,0.5818815507030733
2300,1.796600130896422e-05,9.680658379023769e-05,0.6408317685343144,0.0005017773836572539,0.002383450036103723,0.012479294827707096,0.0015207051722928885,4.151678435694475,0.7664191044009455,5.159201420559366,0.21079857944063302,0.5661884934904947
2400,1.857615283485787e-05,9.83154425509623e-05,0.6185392283302827,0.000499959371736366,0.0023831490377379926,0.0124252496984139,0.0015747503015860831,4.136166587762601,0.7645808369498331,5.161762854232905,0.20823714576709346,0.5514173109404622
2500,1.8943770540256917e-05,9.876930982684108e-05,0.6014452220645108,0.0004959466369811762,0.0023863402875119043,0.01240188615989515,0.0015981138401048344,4.113227341391479,0.7609145591278134,5.163146528431931,0.20685347156806683,0.5390058272579347
2600,1.910527203640566e-05,9.845095428201929e-05,0.5899032038364134,0.0004908925306465413,0.002391551247895212,0.012403947639020876,0.0015960523609791083,4.087678328250112,0.7563537163804434,5.16351830919257,0.2064816908074277,0.529696910466967
2700,1.9115101955070118e-05,9.766320266169056e-05,0.5835110298466922,0.0004857638939601863,0.002397457806283231,0.012424010920301105,0.0015759890796988806,4.063423314122261,0.7517085361614552,5.163117770341526,0.20688222965847264,0.5236416261784159
2800,1.903130708178302e-05,9.667735338457262e-05,0.5813579109281674,0.00048125111283462454,0.0024030402315591984,0.012453918863503709,0.0015460811364962762,4.043135101252551,0.7475860717918822,5.162225339947913,0.20777466005208634,0.5205378824446232
2900,1.8904458317815063e-05,9.570050496503193e-05,0.5822630602590145,0.0004777408886861205,0.002407654152891211,0.0124862410725456,0.0015137589274543887,4.028181366025324,0.7443521183931456,5.161120577461395,0.20887942253860536,0.5197898986585286
3000,1.877184752548601e-05,9.486446352175069e-05,0.5850097896337291,0.00047534816203472006,0.0024110155317782216,0.01251539336982002,0.0014846066301799703,4.01876598842474,0.7421396971958512,5.160036149191541,0.20996385080845972,0.5206705111789786
3100,1.8656475114779915e-05,9.423185730297813e-05,0.5885310782609076,0.0004739865645062835,0.0024131251079361374,0.012538158469611881,0.00146184153038811,4.014235834194631,0.7408958673954847,5.159126783357096,0.21087321664290523,0.5224637125132716
3200,1.856915780856031e-05,9.381222150153519e-05,0.5920214486242692,0.0004734521796071817,0.0024141664459429017,0.012553482902815017,0.001446517097184975,4.013456388814025,0.740446305451902,5.158466498691833,0.21153350130816798,0.5245712953142662
3300,1.8511916203614112e-05,9.358088741167155e-05,0.5949741734971821,0.00047349810684973895,0.0024144090943951538,0.012561861654207876,0.0014381383457921142,4.015150419167772,0.7405622423692325,5.158063713668599,0.21193628633140243,0.5265661322535768
3400,1.8481355284848428e-05,9.349589895469272e-05,0.5971591704579868,0.000473888199588652,0.0024141345510319853,0.012564693612569304,0.0014353063874306868,4.01814084393759,0.7410152260180376,5.157880655058922,0.2121193449410798,0.5281974533757404
3500,1.8471403444093562e-05,9.351076208527233e-05,0.5985487749444045,0.00047442799138844825,0.002413589847942364,0.012563717519858925,0.0014362824801410635,4.021501924335386,0.7416129174106447,5.157858675207745,0.21214132479225747,0.5293633839345995
3600,1.8475313748650444e-05,9.35829167109076e-05,0.5992411234347294,0.0004749774508803563,0.002412964323520263,0.01256053508978795,0.0014394649102120382,4.024609820164718,0.7422136820738807,5.157940279413882,0.21205972058612083,0.530071828040205
3700,1.8486954506797897e-05,9.367836542721599e-05,0.5994091087101866,0.00047545036422994935,0.002412384320696215,0.012556477111385808,0.001443522888614178,4.027107182201818,0.7427290306886564,5.1580721501477935,0.2119278498522093,0.5303963166487052
3800,1.850141963982671e-05,9.377304604441691e-05,0.5992320340482268,0.0004758054074071739,0.0024119201317687605,0.012552485825421116,0.001447514174578871,4.0288676160229935,0.7431175851431844,5.158214901908208,0.21178509809179533,0.5304378582368188
3900,1.851532151072744e-05,9.385261099794947e-05,0.5988711406448145,0.0004760352956690947,0.0024115967766824065,0.012549122979021858,0.0014508770209781274,4.02992139037716,0.7433717371837983,5.158343218732148,0.21165678126785487,0.5303014756114954
4000,1.8526680264924793e-05,9.391064325301226e-05,0.598453668089089,0.00047615421339107955,0.0024114084679511616,0.012546646666377094,0.0014533533336228907,4.030388610894894,0.7435065023007009,5.1584435199285625,0.21155648007144134,0.5300775011879533
4100,1.8534681434232954e-05,9.394653397647602e-05,0.5980654083854172,0.00047618748414426546,0.0024113313053052035,0.012545085294539847,0.001454914705460139,4.030429729923713,0.7435488177639783,5.158511589712122,0.21148841028788187,0.5298340445394778
4200,1.8539357750787995e-05,9.396335691603707e-05,0.5977547570236187,0.00047616366903031074,0.002411333621163042,0.012544319578224604,0.0014556804217753807,4.030206078325696,0.743528602829743,5.158549643645216,0.21145035635478826,0.5296161229878212
4300,1.8541251882143883e-05,9.39659378804572e-05,0.5975389789922206,0.00047610889161940373,0.0024113839234781733,0.012544156445599967,0.0014558435544000155,4.029856444362891,0.7434735764779511,5.15856355025236,0.21143644974764272,0.5294473088167025
4400,1.854113084081604e-05,9.395941754148851e-05,0.5974146417236248,0.00047604377824609853,0.0024114556782317753,0.012544387344115915,0.001455612655884069,4.029483781877407,0.7434058816519834,5.158560535590255,0.2114394644097485,0.529334411159854
4500,1.853977996428105e-05,9.394834560922563e-05,0.597365700440334,0.00047598255940392304,0.002411529319882749,0.012544824550051787,0.0014551754499481974,4.029154855266758,0.7433409223531539,5.158547587559667,0.21145241244033672,0.5292733276463364
4600,1.853787949168348e-05,9.39362313702349e-05,0.5973705758762016,0.0004759333471302076,0.002411592546868053,0.012545320559033188,0.0014546794409667973,4.028903813976486,0.7432877435152178,5.158530549390197,0.21146945060980585,0.529253457715255
4700,1.8535940557533528e-05,9.392540041833574e-05,0.5974073243675119,0.0004758991610470075,0.002411639502837303,0.012545775108512975,0.0014542248914870097,4.028738986912024,0.7432499714874083,5.158513676857052,0.21148632314295143,0.5292616476935477
4800,1.8534276505492123e-05,9.391704120032843e-05,0.5974578795196718,0.00047587946787004237,0.0024116692192843172,0.012546134587710285,0.0014538654122897006,4.028652083577816,0.7432273947798133,5.158499498860311,0.21150050113969174,0.5292857129332605
4900,1.8533033274704034e-05,9.391148431189917e-05,0.5975093991586985,0.0004758717441604171,0.0024116837431131595,0.012546381350566996,0.0014536186494329903,4.028626394340923,0.7432176066617465,5.1584891105103114,0.21151088948969196,0.5293159795065829
5000,1.8532241067930864e-05,9.390852168073944e-05,0.5975536829622239,0.0004758726335816423,0.0024116866085298672,0.012546520864464243,0.001453479135535742,4.028642428506695,0.74321720804932,5.158482648145074,0.21151735185492923,0.5293454752331671
