milliseconds,RI,RII,lRIRII,lRIRII_endo,RI_endo,RII_endo
0,20.0,20.0,0.0,40.0,0.0,0.0
100,20.20704680068047,19.81417568729049,0.0011646402371049405,39.86690822609335,0.6690195543247629,0.6624396072995858
200,20.408512041558676,19.63666112124871,0.00226133405254959,39.73429696842641,1.3426093671758563,1.316630068949352
300,20.604610001476082,19.467136566400747,0.0032940704436965535,39.602162432346105,2.020572007889461,1.962870114871539
400,20.795546692650937,19.305294567037922,0.004266617229519637,39.470500965339525,2.702717699803114,2.601447037994843
500,20.981520128353175,19.150839553819225,0.005182531638088133,39.33930904944222,3.3888640736575972,3.2326370624124436
600,21.162720624566845,19.00348740012277,0.006045170385005387,39.20858329472627,4.0788358890220255,3.8567057569418455
700,21.339331176907702,18.862964865712,0.006857702235183864,39.07832043109619,4.772464685953415,4.473908553942466
800,21.511527753356752,18.72900916540173,0.007623118398653205,38.94851730151036,5.469588514570183,5.084491151695107
900,21.67947958084518,18.601367546619244,0.008344242934167662,38.81917085524399,6.170051670243122,5.688689908495306
1000,21.84334936894064,18.479796959434857,0.00902374081094096,38.690278142693984,6.873704486866363,6.286732150420105
1100,22.00329356135603,18.364063684983048,0.00966412585903421,38.56183631021328,7.580403104385505,6.8788365176598445
1200,22.159462467123042,18.253943141525824,0.010267765035531597,38.4338425973708,8.290009347508624,7.465213145266092
1300,22.312000683008506,18.14921926016972,0.010836892383831646,38.30629432797516,9.002390335155182,8.046064245061508
1400,22.461047242934878,18.049684263491734,0.011373614128789636,38.17918890688431,9.717418342140068,8.621584311960731
1500,22.606735834633216,17.95513834478863,0.011879915983501271,38.05252381539369,10.434970598702469,9.191960422910263
1600,22.74919500302824,17.865389366644727,0.01235766948888772,37.926296607233425,11.154929102279302,9.757372517700645
1700,22.88854831551877,17.780252615782913,0.012808637109211636,37.80050490537079,11.87718046450073,10.317993627313761
1800,23.024914634567867,17.69955039975882,0.01323448170684325,37.675146396023145,12.60161565900186,10.873990249860327
1900,23.15840814982118,17.623111997173677,0.013636765663985402,37.55021882934179,13.328129991353038,11.425522396335145
2000,23.28913883411102,17.550772985282265,0.014016968056187878,37.425720008363946,14.056622677577305,11.972744218017617
2100,23.41721220165604,17.482375591903427,0.014376469143253053,37.3016477989666,14.78699706706409,12.515803676603152
2200,23.54272995696141,17.41776774029126,0.014716579901425083,37.178000111161964,15.519160042833773,13.0548434361648
2300,23.66578965271678,17.356803547770454,0.015038527074446707,37.054774909288774,16.253022336499587,13.590000396688806
2400,23.786485269922228,17.29934247185887,0.015343470934835153,36.93197019996628,16.988497992802706,14.121406490564036
2500,23.904907047178853,17.245249557794214,0.015632497025645297,36.80958403780652,17.725504526326638,14.649188450956327
2600,24.021141808554386,17.194394954222453,0.015906629340587307,36.68761451712398,18.463962618385683,15.173468263382016
2700,24.135273014622676,17.146653835896686,0.01616683013846748,36.56605977213082,19.203796069508005,15.694363237247071
2800,24.247380918345094,17.101906171861756,0.016414004146162033,36.444917974333144,19.944931654986185,16.21198622166632
2900,24.357542701990578,17.06003652173865,0.016649002214011378,36.324187330279074,20.687298997949522,16.726445795137163
3000,24.465832553919913,17.02093392073088,0.016872622858547043,36.203866080679454,21.430830498077363,17.237846372353697
3100,24.57232185881821,16.984491597114417,0.01708561835931569,36.08395249664726,22.175461155412997,17.746288467294317
3200,24.677079192335082,16.95060697844121,0.01728869364828532,35.9644448805646,22.921128574880587,18.251868687151575
3300,24.780170570064428,16.919181322464638,0.017482513381977188,35.84534156156216,23.667772735931038,18.75468007603533
3400,24.881659387420413,16.890119804265403,0.017667698875059198,35.72664089763675,24.415336047682253,19.25481203346501
3500,24.98160667955646,16.863331130801747,0.017844836521253227,35.60834127038518,25.163763108345968,19.75235067339076
3600,25.08007106217175,16.83872762722358,0.018014474016469065,35.4904410874346,25.913000759732306,20.24737874338875
3700,25.177108957658373,16.816224900814063,0.018177127702833643,35.37293877794224,26.662997877707994,20.73997593766216
3800,25.272774576388713,16.795741867886147,0.018333280399230063,35.25583279396142,27.413705389376606,21.230218871684304
3900,25.36712006876436,16.777200527302288,0.018483385801150467,35.139121607785654,28.16507613209806,21.718181292990618
4000,25.460195573656716,16.760525887842594,0.018627869228285292,35.02280371153502,28.917064808459195,22.20393414866077
4100,25.55204929651916,16.74564585150049,0.018767129223972816,34.906877616208604,29.669627913781962,22.687545693821416
4200,25.642727609560136,16.73249106400372,0.01890153997899619,34.791341850235625,30.422723643194754,23.169081630682477
4300,25.732275073385637,16.720994881978086,0.01903145133163216,34.676194959532396,31.17631187140351,23.648605138981424
4400,25.820734572992123,16.711093170301588,0.019157192158676797,34.561435505438716,31.930354026624777,24.126177064496613
4500,25.908147303513385,16.70272432264436,0.01927906929784271,34.44706206543689,32.684813103615774,24.601855899795687
4600,25.994552920346038,16.695829037733205,0.019397371426870137,34.3330732308028,33.43965352447446,25.0756979924018
4700,26.079989511156143,16.690350360522007,0.01951236743198479,34.21946760762907,34.1948411644751,25.547757506324956
4800,26.164493742089874,16.6862334640849,0.019624310285018643,34.10624381451108,34.950343216430134,26.018086624986072
4900,26.248100795346208,16.683425742324214,0.019733434477495128,33.993400484106694,35.706128248492966,26.48673546483621
5000,26.33084457319636,16.6818765055349,0.01983996141421498,33.880936259924084,36.462166014906686,26.95375235855374
