milliseconds,T,E,I
0,49.254206208810686,9.98605090282689,0.005896214108761117
100,51.5658010285096,10.462150411346597,0.13825092153336818
200,51.772464500749415,10.297017362600583,0.2035137775212034
300,52.466153788447116,10.442878277855515,0.24405837720772222
400,53.4375354608225,10.722813669738223,0.26467561514471305
500,54.47540213474769,10.981589772752226,0.27097298560897326
600,54.731064444481326,11.375756316520071,0.3056234400026469
700,56.09473412317746,11.5206544473035,0.2951670483714415
800,56.84959960453911,11.749305159423288,0.3031713478632122
900,58.7338187166058,11.974967948375093,0.3283701565003504
1000,60.49221475837335,12.533740914533814,0.32343979128057954
1100,60.490967472814845,12.708315767867163,0.3581358832186074
1200,61.511457706461805,13.166911115729597,0.3599258743218388
1300,62.765198058861685,13.369636861521903,0.3846295508937157
1400,63.561622648768484,13.49341177949357,0.3926630861626404
1500,66.06482782551144,13.70330192700698,0.39379609250093545
1600,67.0905851076089,14.296026857966714,0.42280395138666815
1700,67.4800111429528,14.214422247231713,0.4448416125651456
1800,69.57831053560221,14.56456311580643,0.43991865408484215
1900,70.15034605596612,14.812743862355116,0.46138086061689604
2000,70.80916676111615,15.114332317248907,0.4893853368717379
2100,73.60226766729247,15.454092888977819,0.5128186920693887
2200,74.31746326325587,15.653582551459827,0.5440158009869939
2300,75.77794686795826,16.02423216903049,0.5589661802710332
2400,77.70081428120048,16.48810656927334,0.5859025784229045
2500,78.69704284598136,17.10130975964921,0.603029500316336
2600,80.01694622415225,16.98720342134313,0.6027311789084575
2700,81.57544332139624,17.45906857978862,0.6254802210581818
2800,82.1626172489022,18.042720050940275,0.6598300970958411
2900,83.84237855530397,18.264963275649396,0.6814037601153353
3000,86.39590422465032,18.834233256627822,0.7224058097585202
3100,87.33032478165951,19.25580170331781,0.7425388451685365
3200,88.27185158263856,19.256570739253487,0.7783615750618696
3300,90.79644472787092,19.753784592850266,0.8027228024935726
3400,91.13173512934439,20.192379889205885,0.8268429484257085
3500,93.89161522126975,20.567198125619086,0.8633417362386301
3600,96.31168230539912,21.140522638763027,0.9021990813855087
3700,97.14789595299173,21.64749713420411,0.8997981888712407
3800,98.98625003747982,21.73289956018335,0.9632103841729586
3900,101.66080452959268,22.182936404414793,0.9815803501826235
4000,102.53957975464978,22.795812290583232,1.0394943131576257
4100,104.12162028088612,23.013890836215136,1.072566358314317
4200,106.94156560253045,23.877788016966743,1.111724039866997
4300,108.6532014717364,24.005722965980596,1.1228344171183122
4400,109.97179747731754,24.71589687238886,1.1932097506503658
4500,113.09877353414139,25.00679832438002,1.235887228227589
4600,114.99659046290492,25.448936424795548,1.2841112435950561
4700,115.57665823336622,26.28324943784434,1.3096177507037277
4800,117.47687444105362,26.66692757228384,1.3726953735382736
4900,121.06306961634098,27.14558416329478,1.4030169881761634
5000,122.4897153432018,27.62340244754424,1.4769931954543014
