milliseconds,T,N,L,R,C,I,S
0,4662000000.0,250000000.0,526800.0,352000000.0,2140000000.0,1173.0,0.0
100,4605130713.17317,249998918.48546496,559258.9084894295,351997736.7515359,2140000000.0,886.474960607835,0.0
200,4550082691.953276,249996628.42109382,592944.107360509,351992269.28834736,2140000000.0,759.4370382518379,0.0
300,4496771576.8934555,249993859.39411867,611781.4069785342,351984849.4284539,2140000000.0,703.7922661173473,0.0
400,4445118108.635041,249990927.6207662,620077.2404649898,351976405.5141425,2140000000.0,678.4828357368763,0.0
500,4395047787.128,249987964.14931318,622819.0479654687,351967435.9808168,2140000000.0,665.6511889194213,0.0
600,4346490517.126918,249985020.6636124,623061.9051210732,351958166.28054863,2140000000.0,657.7819639914367,0.0
700,4299380282.784073,249982116.0135451,622294.3875655521,351948689.35151905,2140000000.0,651.8664094587905,0.0
800,4253654852.492175,249979256.2724433,621156.1589336809,351939041.8674129,2140000000.0,646.7425691004057,0.0
900,4209255510.387983,249976442.71272612,619899.916203716,351929238.60646784,2140000000.0,641.9784748210665,0.0
1000,4166126811.0452366,249973674.8874376,618616.2072640124,351919286.1544319,2140000000.0,637.4196687543422,0.0
1100,4124216354.710672,249970951.77470833,617341.6280376518,351909187.89392024,2140000000.0,633.0054179220195,0.0
1200,4083474580.9264536,249968272.20965236,616088.5238805655,351898946.36953187,2140000000.0,628.7119806836761,0.0
1300,4043854578.2526693,249965634.9852,614858.1467954748,351888563.5808515,2140000000.0,624.5310263890796,0.0
1400,4005311908.2389817,249963038.93443564,613653.0188508427,351878041.43239844,2140000000.0,620.4547912717483,0.0
1500,3967804450.8776345,249960482.9190089,612473.2053402573,351867381.6722535,2140000000.0,616.4786549454118,0.0
1600,3931292444.279758,249957965.85093075,611316.7114519345,351856586.0706958,2140000000.0,612.5999862942372,0.0
1700,3895738052.99758,249955486.6866388,610182.8557836461,351845656.3821285,2140000000.0,608.8152860117144,0.0
1800,3861105112.9155865,249953044.4179301,609071.1040922716,351834594.3296959,2140000000.0,605.1210790857211,0.0
1900,3827359297.4951477,249950638.07561874,607981.0461423317,351823401.59469634,2140000000.0,601.5140820445613,0.0
2000,3794468036.2067623,249948266.7287228,606912.0834514222,351812079.8286091,2140000000.0,597.991312403017,0.0
2100,3762400107.4970336,249945929.47625157,605863.5754498357,351800630.66104645,2140000000.0,594.5499353921018,0.0
2200,3731126029.140506,249943625.4562561,604834.8387599853,351789055.69387937,2140000000.0,591.187303365005,0.0
2300,3700617706.187077,249941353.83865595,603825.2771564542,351777356.50568974,2140000000.0,587.9008419820599,0.0
2400,3670848344.5489974,249939113.82339838,602834.3722856835,351765534.65057033,2140000000.0,584.6880639419035,0.0
2500,3641792418.557174,249936904.63994426,601861.6219542711,351753591.65796554,2140000000.0,581.5466015584789,0.0
2600,3613426121.690011,249934725.55815944,600906.5356121539,351741529.02426404,2140000000.0,578.4742487979468,0.0
2700,3585725492.121182,249932575.84423634,599968.6234899139,351729348.24887866,2140000000.0,575.4687840358632,0.0
2800,3558668449.741945,249930454.80998293,599047.4146360394,351717050.7886941,2140000000.0,572.5281482742528,0.0
2900,3532233485.3722644,249928361.7810376,598142.4438073882,351704638.0877321,2140000000.0,569.6503319390066,0.0
3000,3506399627.3938665,249926296.09611335,597253.2692605527,351692111.5792082,2140000000.0,566.8333704292645,0.0
3100,3481147927.92191,249924257.14286983,596379.4926705938,351679472.653023,2140000000.0,564.0754735638911,0.0
3200,3456459308.4998255,249922244.30639157,595520.7061350545,351666722.6987251,2140000000.0,561.3748414395152,0.0
3300,3432316169.281586,249920257.00920025,594676.544251233,351653863.06766725,2140000000.0,558.7298070175792,0.0
3400,3408701527.726918,249918294.68840125,593846.6438161609,351640895.0991815,2140000000.0,556.1387543778875,0.0
3500,3385598241.5454783,249916356.78201082,593030.6084884647,351627820.1170897,2140000000.0,553.6000668467749,0.0
3600,3362991201.480512,249914442.77392682,592228.1166607889,351614639.4144404,2140000000.0,551.112294027284,0.0
3700,3340865911.3531394,249912552.16444945,591438.8511492421,351601354.26479983,2140000000.0,548.6740424798655,0.0
3800,3319206886.661028,249910684.43462098,590662.4741915418,351587965.9481402,2140000000.0,546.2838438328655,0.0
3900,3298000347.8059998,249908839.10554188,589898.6842756385,351574475.71088237,2140000000.0,543.940374252008,0.0
4000,3277233819.2463965,249907015.72954255,589147.2076816057,351560884.7718424,2140000000.0,541.6424217755655,0.0
4100,3256894498.0315914,249905213.85478166,588407.7555269906,351547194.3428324,2140000000.0,539.3887510029608,0.0
4200,3236968728.7769084,249903433.01436442,587680.0017286565,351533405.6318181,2140000000.0,537.1780572729788,0.0
4300,3217445667.2815585,249901672.80427295,586963.7046700023,351519519.8073119,2140000000.0,535.0092775061175,0.0
4400,3198314253.386141,249899932.8189745,586258.6066708261,351505538.02779377,2140000000.0,532.8813333644629,0.0
4500,3179562359.0056777,249898212.63217163,585564.4274640615,351491461.4531677,2140000000.0,530.7930510052146,0.0
4600,3161179827.9186826,249896511.86354262,584880.92498441,351477291.20935863,2140000000.0,528.743433679674,0.0
4700,3143156676.187283,249894830.1392306,584207.8593809763,351463028.40927166,2140000000.0,526.7315003524243,0.0
4800,3125482870.3961544,249893167.08634624,583545.006879056,351448674.15697134,2140000000.0,524.7562674186184,0.0
4900,3108148575.25307,249891522.33864197,582892.1578019515,351434229.54419345,2140000000.0,522.8167703004866,0.0
5000,3091144958.9990416,249889895.5553711,582249.098441298,351419695.6379762,2140000000.0,520.9121326724182,0.0
