milliseconds,M,C
0,0.4,0.8
100,0.4160932109799161,0.8793763163102567
200,0.4499046525913349,0.956195060373733
300,0.49567200669506956,1.028999608572387
400,0.5502730897061249,1.0967675774365047
500,0.6121865364876683,1.158702133088495
600,0.6808630237585771,1.2141056469269742
700,0.7563921709177197,1.262302025703048
800,0.839329543808331,1.3025810582636952
900,0.9306556252565238,1.3341565333422674
1000,1.0317774766364898,1.3561233585556962
1100,1.144574790918991,1.3674121086859277
1200,1.2714827896952123,1.3667383822371395
1300,1.4155549088811956,1.3525437923633643
1400,1.5803995418201877,1.3229353304449132
1500,1.7697776595711845,1.2756458469998089
1600,1.9863642372072572,1.2080692972608245
1700,2.228479679269293,1.117511678275502
1800,2.483425899045946,1.0019233648211203
1900,2.716785769170845,0.8615120926394577
2000,2.8643542105849926,0.7014030118255898
2100,2.8463382811114326,0.5341958449664367
2200,2.6163412277241473,0.3792965010884802
2300,2.2051471273323093,0.25703932726619944
2400,1.7027018415974697,0.18131171832453175
2500,1.2046440812527752,0.15632377588347088
2600,0.7829387162064236,0.17780666390123243
2700,0.4803472007791919,0.23572560273569015
2800,0.30407118542524214,0.3174845875832562
2900,0.2271741534406555,0.4115869695421127
3000,0.21159040547755711,0.5100196000005734
3100,0.2289196030325777,0.6081867434414646
3200,0.2634953092182279,0.7036701335194538
3300,0.30778567241339805,0.79516874331032
3400,0.35838782039330536,0.8819047186174492
3500,0.4138586949665561,0.9633299405292406
3600,0.47370467781521364,1.038987702074737
3700,0.537932609339673,1.1084433029260414
3800,0.6068576616775402,1.1712449193594743
3900,0.6810318893217351,1.2268970740880776
4000,0.7612348389046523,1.274837836239105
4100,0.8484978198916092,1.3144149330102084
4200,0.9441544677362927,1.3448584987740424
4300,1.0499322071729866,1.365246564307214
4400,1.1680545797724087,1.3744604251030974
4500,1.3013423744191703,1.3711300952041434
4600,1.453316441589832,1.3535691996345827
4700,1.6281612575174091,1.3197047228685082
4800,1.8302235008001744,1.267029421752566
4900,2.062451671453487,1.1926500631353043
5000,2.3222624061964727,1.0936064959397902
