milliseconds,cp,ca,dho,oro,omp,ump,udp,utp,ctp
0,-1.6898269873845114e-05,0.00037523251394460576,0.0003679367232710256,0.0003689836833490724,0.0007788853039274863,0.0003788591584090435,0.0028346831276638406,0.00681487239761237,0.005757352395642371
100,0.014597157281112856,0.0003029242422098559,9.974331684701397e-07,1.3872775862469589e-06,0.002165787116146602,1.6765186261935644e-06,0.0002038796308588199,0.0017015149358572722,0.010618903007044732
200,0.025606581081973747,0.0004726568443035977,6.138895780009266e-06,3.475751090943506e-06,0.0031283402791782563,1.6667269581568465e-05,0.00012209909842316767,8.63435367304781e-05,0.009220577093075298
300,0.03983311195730972,0.0006417411156615895,-1.4067307442151694e-06,1.5995080464578246e-06,0.001599128445972577,2.1062782360224703e-05,0.0001334361116552037,6.592318234185392e-05,0.016792536713950815
400,0.047148133349165434,0.0009274398036594398,3.3411523914026685e-06,3.572026325127091e-06,0.003406209808986308,3.1336291583582745e-05,0.00022749350125938648,0.00011040570520522879,0.004898835129720874
500,0.06331558088945605,0.0011106843704175233,-3.990433588978734e-08,4.823488190040011e-06,0.005320205371491309,3.120828744981957e-05,0.00022234522627949434,0.00016234317862222518,0.01712129897036098
600,0.0654368740540288,0.001178870572402138,7.453377724329077e-06,-2.8777130708271135e-06,0.005192574031717577,4.601097995489459e-05,0.0003518151880645851,0.00019713963555531891,0.005542298266101498
700,0.07795729216540676,0.001522255261479496,4.920935923098233e-06,1.827232940253502e-06,0.008520310067109588,6.273519328063769e-05,0.0003413628969449735,0.00028306528423812066,0.011586088028060387
800,0.08758801598828887,0.0016191446014573924,4.965123944674835e-06,4.748890971621614e-06,0.009469998423413893,6.834036389149156e-05,0.00042104466828308146,0.0003583620620262884,0.010311504643794012
900,0.10086058822973082,0.0016498006756325715,8.900914854034005e-06,4.500715883033095e-06,0.01041940138744837,9.293860491008949e-05,0.00047677365202646494,0.00037986155268626026,0.013660290232800389
1000,0.10631462043450035,0.00198092066812038,4.0305213062022365e-06,3.7191409506841546e-06,0.013546790723266724,8.502763376343745e-05,0.0005974293994858963,0.0006842588012211125,0.018532433614090755
