miliseconds,TGFbR,TGFb_TGFbR,TGFb_TGFbR_P,I_Smad_TGFb_TGFbR_P,Smad,Smad_P,CoSmad,Smad_P_Smad_P,Smad_P_CoSmad,I_Smad_mRNA2,I_Smad,Smad_N,Smad_P_Smad_P_N,Smad_P_N,Smad_P_CoSmad_N,CoSmad_N,I_Smad_mRNA1
0,1010.0356320948677,0.020381331840768162,0.009616032572078693,-4.985398262032864e-25,7000.074434398683,0.0032857009023088512,12000.735251632786,2.351547605882022e-12,-1.6557239164520488e-06,8.310306192554233e-20,-4.434172639404603e-21,82000.17807710031,2.0464151818175433e-15,8.062752711958723e-06,2.6463800202964575e-07,134999.59862005335,-3.10545579843909e-17
100,1009.9039134232493,0.08613724639501996,-0.006450968489886004,-1.530407884942344e-25,6999.701194646282,0.0002156831112299953,11998.797322151613,1.071609050789021e-11,-6.35367462391122e-07,8.501042167908812e-20,-1.5234038587718918e-21,82001.11993678898,-1.6143480497388362e-14,-3.573624556029987e-05,-3.2628976560481926e-07,135000.67516683295,4.2142821616781756e-17
200,1009.8131135272218,0.17963042276428376,0.01832824749675883,6.296567293514169e-25,6999.021886631485,0.00297928086174015,11998.49201152703,2.2617021043355904e-12,1.7039294359112843e-06,1.3949972583491384e-19,-6.759155286501614e-22,82001.57223357553,1.609123778976694e-14,2.8139773790823055e-05,3.526081690985955e-07,135004.20060769207,-3.61033526407545e-17
300,1009.6921794471381,0.2826229282669665,0.004512365214268493,2.2942892715154316e-25,6998.677505616148,0.002573601793913602,11996.876366420036,-3.5642195415689264e-11,2.669333953851794e-06,2.7320483869650515e-19,4.10572303501848e-21,82002.72426055883,6.200502085091575e-15,1.0157226587371243e-05,-2.2972793374633764e-07,135007.17615685347,2.6215058875911e-17
400,1009.6114425632338,0.3348683099476226,0.0470772728864469,-1.5257426744762154e-24,6997.994921935325,-0.003192445134163102,11996.28247086913,6.520772609959219e-12,2.6108590427621943e-06,2.611128661042923e-19,-4.699607516654999e-22,82004.12100193746,-1.2936852291219132e-14,9.98356167153175e-06,1.1056788111988716e-07,135009.93773816215,3.108007287264049e-17
500,1009.4994138357471,0.39071180322221694,0.0403835088984112,-7.650279913008e-25,6997.453816663352,-0.0035260012446848045,11994.579848596755,1.384693975947254e-11,-2.3401079071384834e-06,-2.68152206874353e-19,-4.426153372620422e-21,82004.96207809725,-1.7379358080830376e-15,1.1614132201026362e-05,2.6402710398283593e-07,135012.5384886342,4.4929845072435884e-17
600,1009.5316801030023,0.5038076843661228,0.07786695358731469,5.557570901838663e-26,6997.042756545789,-0.0012561649472007767,11994.146160117965,-9.093152967753193e-12,1.5482092512045962e-06,2.1659073228911174e-19,-3.99768338986882e-21,82006.51321380597,1.557716829069177e-14,6.319977616568721e-06,3.732442298335143e-08,135014.97373959495,5.547176697143681e-18
700,1009.4438750934374,0.5740495815090962,0.09459131541906034,3.893526489383564e-25,6996.620163348992,0.0009111242584021448,11992.356235093659,-2.0057663577436405e-11,5.740506149152286e-07,-2.741513282818098e-19,-2.084927303107695e-21,82007.7754742707,-1.6785218908408124e-14,-3.078211783972433e-05,-3.1528419582573215e-08,135016.49999410758,-1.6055709356324243e-17
800,1009.3208703049024,0.6422478404133126,0.11801277332824367,-2.85711386413909e-25,6996.203191097708,0.0016065386744569857,11991.574575669807,-2.1290361480346777e-11,2.690464033109896e-06,-1.7766766355704968e-19,1.704021445034377e-21,82008.67820688407,2.1730222799344787e-15,1.6673311988203966e-05,-7.188774950789581e-08,135020.50976644896,3.522385329429345e-17
900,1009.2175253834303,0.6669644410910492,0.09899941272818567,1.1141894804459083e-24,6995.567697655554,-0.00026510502182204793,11990.143409841252,-5.9554985694713984e-12,-1.4132515283127769e-06,2.0651463278497022e-19,2.365791388301067e-21,82010.24602521108,-1.535397318988958e-14,-1.8879291688093584e-05,4.8901328273797015e-08,135019.66455512948,-1.3487524385772717e-17
1000,1009.1557838092101,0.7589319735997778,0.12691388749541752,9.511731695830628e-25,6995.431932014305,0.006677585752242693,11990.147492145792,-2.3892161390698753e-11,-2.0214582787079778e-07,2.41037412422315e-19,-3.3633054169709567e-21,82011.45978215354,1.3346891400786658e-14,1.93520327062944e-05,1.9194873700292787e-07,135025.15305893202,2.0670479771365305e-17
1100,1009.0672273351762,0.8188365681037499,0.15124279875308658,1.4415902688302129e-24,6994.441470329759,0.006385814771163796,11989.201798055328,-1.4496554406561125e-11,-5.495553808664494e-07,-4.1558168226501006e-20,-5.374161766694207e-22,82011.61859026617,-1.3421150733829906e-14,3.115021608603962e-05,-4.844104611020581e-08,135025.8720943244,-6.22013793667362e-17
1200,1008.8948240154782,0.8860461061125754,0.16305564162581726,1.3403523642729872e-24,6994.035863001795,0.0024901248724314884,11988.010441860042,5.335446833474485e-12,1.433781374390145e-06,2.6592954116703727e-19,-3.67313960567285e-21,82013.95846632648,1.4735850526226307e-14,-7.765713095695954e-06,2.0428986751705989e-07,135028.1244985785,4.152329624960585e-19
1300,1008.833992062742,0.9653714843584958,0.23002208993501796,6.328182707920176e-25,6993.679905869149,0.0046445055528267325,11987.348722854193,1.504926528033497e-11,3.961096851551859e-06,1.726825921608496e-19,-1.3254681243659234e-21,82014.01420679182,1.1022143012970513e-14,-2.002380090544982e-05,3.764073796747497e-07,135028.83477266747,-2.4773533802157682e-17
