milliseconds,TGFbR,TGFb_TGFbR,TGFb_TGFbR_P,I_Smad_TGFb_TGFbR_P,Smad,Smad_P,CoSmad,Smad_P_Smad_P,Smad_P_CoSmad,I_Smad_mRNA2,I_Smad,Smad_N,Smad_P_Smad_P_N,Smad_P_N,Smad_P_CoSmad_N,CoSmad_N,I_Smad_mRNA1
0,1010.0347901790773,-0.009465549553933188,0.018676285560895407,5.518273356412359e-25,7000.247160357507,-0.0008979614529780324,11999.331859409242,-8.37645806380331e-12,2.196108251516612e-06,7.299873391350564e-20,-1.3364849035103997e-21,81999.70263823082,-2.2153151070686672e-16,7.952589974432336e-06,-3.4378773217699565e-07,135001.06130280928,1.56460793147457e-17
100,1009.9748193970024,0.0755664949392109,0.006784505283650419,-9.205754699997438e-25,6999.30679626258,-0.0007821285218617314,11998.970461238256,-1.0419343054591294e-11,-2.7961969413581076e-06,-2.556948945686962e-19,4.540478076341111e-21,82001.13604737689,1.3496765996677492e-14,-3.8289909034444126e-05,-7.679979156264264e-08,135002.9314927665,-2.6491871692851147e-17
200,1009.8796962323247,0.1400434221896122,0.04021688896325898,6.237101687458898e-25,6999.050998127575,0.001286244730218256,11997.485886964727,-2.308214572019512e-11,-2.223142285072311e-06,1.3748210363135882e-19,1.2611389579102485e-21,82002.55261825598,1.0528154740045626e-14,1.9042738276599294e-05,1.1232061944122952e-07,135004.45536522302,-6.839536354876396e-17
300,1009.7325606461378,0.22642626630737256,0.019965482294185013,-1.1665271187557259e-24,6998.577118345744,-0.001475292353053095,11996.878995677613,1.2765899193112508e-11,2.6668849355430594e-06,5.917444979326408e-22,1.7164899533769124e-21,82003.83331478915,1.110619157839911e-14,4.039705637944704e-07,-3.384149939848692e-07,135006.442914072,-3.314886067602657e-17
400,1009.692736275382,0.35351452923422794,0.002181174373901685,-5.731964834241747e-25,6997.880669274798,-0.001934627615046069,11996.251877955196,9.109589878359246e-12,1.5591137633496735e-06,-1.462304975067281e-19,1.0771064360452588e-21,82004.00342677943,6.9100165826089224e-15,-6.312219959529032e-06,1.589217157302668e-07,135007.97714086558,-4.2397002013727895e-17
500,1009.545195710768,0.38413351448336147,0.04758314144750498,9.544457317268011e-25,6997.7314139621085,0.004328607481596982,11994.620998047581,-1.777080435256708e-11,2.861090966272173e-06,-1.0487646904336864e-19,2.9728134181107738e-21,82006.43322055078,2.2598071585412748e-15,3.302212833678647e-05,-1.225280993483479e-07,135010.5939846014,-5.328716542373129e-17
600,1009.4393044009839,0.49731987477551665,0.07869537999047994,-8.753553746480155e-25,6997.363933381288,0.004111375871193741,11993.821003815074,1.2651664414117113e-11,1.164897016688588e-06,1.2455127575435972e-19,-4.79066250492394e-22,82007.14010943081,-1.2993491782119852e-14,2.5070290876988378e-05,-1.566764160062186e-07,135012.39426670605,-7.683716495985252e-18
700,1009.3752435254619,0.552956579499451,0.03963435398015523,-1.1861646537568458e-24,6996.766704395787,0.0019129918204859456,11993.25933895907,-1.918493184695768e-11,-2.30597973820333e-07,1.4035841453487102e-19,-3.981314922170273e-21,82007.12912573954,-9.622609421444237e-15,4.683307534589765e-05,1.415707245903013e-07,135017.24809229092,-1.5373016358702866e-17
800,1009.3561323186356,0.6323002946685281,0.053244171016059064,-7.442678810357892e-25,6996.4070022793085,0.0008022857370991712,11991.560267558118,-2.0473487988064044e-11,7.040531207414302e-07,-8.738059842386343e-20,2.437320937277897e-21,82009.41690995161,7.049705609737731e-15,4.089636444204277e-05,1.081394012368411e-07,135017.98364587213,4.537531896013202e-17
900,1009.1424563359952,0.7099247040395019,0.12258459390576881,1.0959695730711517e-24,6995.773633096941,0.00036470872762577305,11991.191619933934,-1.2215021766016184e-11,-6.191473399108541e-07,-1.3211579964338651e-19,1.4325062997551314e-21,82009.94731953672,4.462557396678014e-15,5.223280260428656e-05,-1.18931784323333e-07,135022.28514843812,4.100801108931387e-17
1000,1009.0589375903955,0.7703695695429936,0.0978636972819209,-3.671307249059454e-25,6995.235389953891,0.006448531759528732,11990.428003409572,-2.0812720727854487e-11,-1.9121098828195467e-06,-1.8063647663197655e-19,-2.2654459829543565e-21,82011.6954382624,1.5038836097596862e-15,1.2656767131845632e-05,-1.9092235860794296e-07,135022.68043331086,6.235925815358933e-17
1100,1008.9822555849715,0.8063826190954265,0.18829409324073143,-7.613713041863167e-25,6994.7519661601455,0.004078065917025064,11989.496107415789,4.606082737803379e-12,-1.3103384416986743e-06,1.821170997504116e-19,-8.791099197500815e-23,82012.20029908259,-1.617970109849743e-14,4.4928616838015244e-05,-3.083559930792284e-07,135025.59915763297,6.201459300395082e-17
1200,1008.8957225650047,0.8914686343373142,0.20125557847379918,1.074912854926352e-24,6993.963828364019,0.008488234985990382,11987.849357693727,5.074110356466403e-12,1.974633962019027e-07,3.123865404488782e-20,1.2063586277761581e-21,82013.95832297995,-9.31306254460033e-15,5.835110849146616e-05,3.803992708063352e-08,135027.3514640713,-5.0300906180524954e-17
1300,1008.821114539659,0.9159646667714079,0.19824691544168405,1.3795806989628404e-24,6993.665387650266,0.005077325227253908,11986.94839591521,2.5730816847033604e-11,-5.689938924030082e-07,1.1606378206249172e-19,-3.328101455252172e-21,82014.83555840534,-8.284588092725234e-16,-1.677392498444631e-05,6.332582168583218e-08,135031.1584023407,-6.416558498430107e-17
1400,1008.7617287259326,0.994754762479324,0.2650340361141794,2.3583964897141484e-25,6993.337614126638,0.008446287052611925,11985.289860409022,1.6786871222788074e-11,1.6245835706956688e-06,-1.5431500206066814e-19,-1.3189488576382646e-21,82016.24174776627,-5.227202318545488e-15,3.400594579420114e-06,2.0649857148594673e-07,135033.30231173197,-2.400460755778146e-17
1500,1008.6581250154375,1.0765941805704655,0.24676473829649365,6.362287088947154e-26,6992.738624489559,0.006858508360524365,11984.908420593783,1.324058865386313e-11,2.780274016468705e-07,1.0490621296204722e-19,-3.2689181449809743e-21,82016.89822532561,-7.96078581916e-15,6.66159075532563e-05,2.1954593902220567e-07,135034.8896750635,-4.0987018068649116e-17
