miliseconds,TGFbR,TGFb_TGFbR,TGFb_TGFbR_P,I_Smad_TGFb_TGFbR_P,Smad,Smad_P,CoSmad,Smad_P_Smad_P,Smad_P_CoSmad,I_Smad_mRNA2,I_Smad,Smad_N,Smad_P_Smad_P_N,Smad_P_N,Smad_P_CoSmad_N,CoSmad_N,I_Smad_mRNA1
0,1009.9709964254134,-0.02181802031399195,-0.009125678713024945,-3.762651160420861e-25,6999.7195228589,-0.001797587138752816,11999.688062477133,1.1691227655322949e-11,2.8346980998644832e-06,-2.3620776608655636e-19,-2.1316682170590567e-21,81999.89758311606,2.5318566236946745e-15,3.6955473661724475e-05,2.646040425496422e-07,134999.10495260186,-3.417620658811416e-17
100,1009.8801304820064,0.10195184835027914,0.0005029741767957365,9.585037610811383e-25,6999.685227977919,0.0026546332870521837,11999.202066873084,-1.0700596036133037e-11,-2.606397592583418e-06,-2.637756692940689e-19,-2.891127431849017e-21,82000.71290992525,7.918454702261816e-15,5.1215888194573625e-05,-2.286914094589604e-07,135000.7158629756,2.110936426937083e-17
200,1009.7839288395672,0.15475420608682766,-0.027645274096969766,1.3338677330708383e-25,6999.107767152029,0.0003488771608769698,11997.36870027138,2.7079230262418878e-11,-2.3314291779946476e-06,-1.596811334182912e-19,3.482290123159013e-21,82002.72878466688,-1.9282930923675955e-15,-3.953009513713918e-05,-2.839493158385597e-07,135003.35166989587,3.0977023344024864e-17
300,1009.7713541788522,0.2348544917551784,0.005172064504024462,-1.549596557255951e-24,6998.2663627511065,-0.0013438716042048925,11997.329824110288,7.704024197855348e-12,-6.171957546079781e-07,2.5918336300977845e-19,1.102033883383372e-21,82003.53202110177,-2.978651878306183e-15,4.96981153213551e-05,-2.560234186786177e-07,135007.162396284,1.4114222092268916e-17
400,1009.7012874685889,0.32839784516101406,0.03984995980530433,1.4501189627968282e-24,6998.068967164711,-1.7766261808456403e-05,11996.360220893153,1.2239034400858778e-11,-7.892850934933105e-07,5.357434899343682e-20,1.9056560504457145e-22,82003.78458809017,5.9584203484743874e-15,1.8756277194959404e-05,-3.392424261952328e-07,135009.05241414864,-3.183865295846399e-17
500,1009.5263406787442,0.40872038350216944,0.029691367778216033,-7.100920435104925e-25,6997.256933396105,-0.0018147799010406116,11995.404511795692,-2.2689625312247545e-11,7.774515540226353e-07,-2.0412768368035476e-19,3.2175996016014928e-21,82005.02838940185,8.07497135377978e-17,3.9527973690912996e-05,2.3348339497232206e-07,135010.91417054198,6.173996961276502e-17
600,1009.5265427525475,0.47304509356314883,0.043911421029524736,-1.5104196536854788e-25,6997.084252755096,0.0020960042640165506,11993.808602742374,-1.391166184242355e-11,6.037721753288553e-07,7.230674011860425e-20,-1.3095025034345274e-21,82006.93144235207,-1.4302716321594455e-14,-3.7088673837236128e-06,9.923117731137722e-08,135015.2759109983,4.382886254830817e-18
700,1009.3337362660145,0.564594803295018,0.03200391963594519,-7.519599174673966e-25,6996.311436563753,0.0013107158756692934,11993.547890947404,3.5593755928438835e-11,-2.162752415383002e-07,1.269646104530478e-19,1.822828426913666e-21,82007.46698286018,1.3980320723012202e-14,-2.8517286998475554e-05,8.273740888120347e-08,135016.56614664977,-1.2642472174835731e-17
800,1009.2903960492416,0.6549495766906918,0.0704948407491736,4.055557897151544e-25,6996.157101564408,0.0029063638072129652,11991.12090643854,-3.0958003654540115e-11,-2.6123550849841632e-06,1.7303818229108616e-19,3.730779862843071e-21,82009.5544417791,-1.4081275806918267e-14,-1.4619666151207006e-05,1.6441660508761668e-08,135020.08776856525,-5.743933534549741e-18
900,1009.1390800036667,0.6855393284557764,0.12688547610201184,-5.70021201483399e-26,6995.310231842242,0.004554239527261859,11990.458691486689,3.193252777385963e-11,-1.7383758847162335e-07,7.694634063618747e-20,-6.500484995009987e-22,82010.80864821092,-7.497891841295272e-15,-6.063851264617904e-06,2.1298033403866235e-07,135020.01377368174,-5.744055526720318e-17
