milliseconds,TGFbR,TGFb_TGFbR,TGFb_TGFbR_P,I_Smad_TGFb_TGFbR_P,Smad,Smad_P,CoSmad,Smad_P_Smad_P,Smad_P_CoSmad,I_Smad_mRNA2,I_Smad,Smad_N,Smad_P_Smad_P_N,Smad_P_N,Smad_P_CoSmad_N,CoSmad_N,I_Smad_mRNA1
0,1010.0292056060555,0.019786466190491223,-0.00041956195139561484,-4.837891208141121e-25,7000.167476993904,0.0029194349818649906,11999.584750472019,2.6727085073504256e-11,9.828248087960663e-08,2.1306599285621374e-19,-1.38409685534355e-21,82000.26744210004,1.1431582336120091e-14,9.381647024903025e-07,-1.2699367571823104e-07,134999.07079001944,-4.87648113831285e-17
100,1009.9679890176841,0.055735153226686845,0.01403806443413483,4.800633814857539e-25,6999.6477904803005,-0.0003327303829216768,11999.716969664323,2.691381646550374e-11,1.3159742253019083e-06,1.5174178566996317e-19,4.639699751959852e-22,82001.88696321798,9.225914038908246e-15,2.4341230866697368e-05,-2.973248047838872e-07,135002.07070866722,1.1126713569119455e-17
200,1009.8500563997636,0.15546130617127246,-0.007607849488099423,1.452697362282957e-24,6999.204533647815,-0.0022109367714597946,11998.245509838449,-3.0673279541400544e-11,-1.4828682922968886e-06,1.6017697302188383e-19,2.9116760359786432e-21,82002.57306405305,1.2441291641003011e-14,3.099604510125158e-05,3.194105784894917e-07,135004.73896349844,6.58339423162703e-17
300,1009.7894766974958,0.23784768242330326,0.040452645615168925,-6.598921796380674e-25,6998.703273439414,-0.0014844793781593672,11997.260030648735,1.0292316088901282e-11,1.2633476432422027e-06,1.4459808735474468e-19,1.3574716284756006e-21,82002.82970166039,1.5317672567735684e-14,-2.3793486929879122e-05,-8.874107054006866e-08,135007.0817033492,3.44478495581291e-17
400,1009.6938113791026,0.3511404901962238,-0.012560398583626543,-6.979896141378026e-25,6998.043216798465,-0.0002905891684775334,11995.363634147232,-2.8020799874609662e-11,2.931982275094519e-06,2.0369950763691981e-19,2.37336358223669e-21,82004.80692321151,4.974135216380725e-15,3.312608548843307e-05,-7.595277417174472e-08,135007.7917147389,-6.166885530069752e-18
500,1009.6182604772943,0.4270075533196074,0.0003406112623312793,8.096307282817788e-25,6997.487627667691,-0.0002815796108785774,11994.32058670759,-1.2615581754457123e-11,1.5379675160808798e-06,2.0524583499985244e-19,-4.287469797295287e-21,82006.02355827688,2.2141434343761928e-15,1.864862913929286e-05,-3.4270450050570364e-07,135013.15652305633,-2.191573869866529e-17
600,1009.4474755495694,0.45421005716860463,0.07753972601273225,1.6615573048799044e-24,6996.8043193549365,-0.0003518729398727539,11993.358044508297,-1.0475054737191083e-11,2.3148319839652897e-06,-7.992542702136758e-20,-4.114603602215635e-21,82006.69094710676,-1.54583202625976e-14,4.271622974365564e-06,-1.0397077670399605e-07,135014.89855796803,1.471711862563591e-18
700,1009.3985505251953,0.5424365054316356,0.05902690612726622,-1.8891841300933448e-25,6996.291246667566,-0.0010160676410385452,11993.36293218768,2.6586408549782747e-11,-2.121009663921702e-06,-5.360625453118971e-20,3.0419962487298745e-21,82007.55404892548,1.3632035773318437e-14,2.1301577472701593e-05,-2.232525087811039e-08,135016.69036324648,-5.332450783486597e-18
800,1009.3558142325348,0.6430178465060452,0.09371732253034265,1.0247097682448135e-24,6995.892336482956,0.004062779997972744,11992.220407494231,-2.7527402892919542e-11,-1.0993397877926666e-06,1.1772559058747554e-19,-3.766416185983421e-22,82009.20585110768,-3.679207731460115e-15,4.027268868224615e-06,2.2023247695461933e-07,135019.3764515846,-6.073061308929776e-17
900,1009.1622738742947,0.6681273299017112,0.1399444753615962,-1.4172455569822433e-24,6995.651394954844,-0.00189327678691424,11990.90846942922,-4.256633601214789e-12,-2.170817480408221e-06,2.4753102620295074e-19,1.4649577101564991e-21,82010.92644411659,-1.1767904647242534e-14,-3.963586717018741e-05,-1.4561759564592108e-07,135020.081899691,7.055489895303467e-19
1000,1009.0918000805605,0.7337812799630958,0.13138881639905103,-2.3816607965917407e-26,6995.295684269014,0.0005030345337864442,11990.374264965772,2.500801378998024e-11,-2.689798074988753e-07,-2.19118024730173e-19,3.7505666337688966e-21,82011.51484043305,1.3722071292228832e-14,-5.3870153991296095e-06,2.1404961382170515e-08,135022.56873368722,7.017234561136692e-17
1100,1009.0575386858819,0.791430693908324,0.14013811732389758,-1.3433560158973392e-24,6994.760598350941,0.0037054045486596544,11988.144796628047,7.794969297696031e-12,2.160092118425806e-06,-2.0139136352464412e-19,4.903057569183696e-22,82012.06017940537,-7.675871671770611e-15,3.8921474564843533e-05,-3.234364360719038e-07,135025.63772906348,4.9139952266570775e-17
