miliseconds,TGFbR,TGFb_TGFbR,TGFb_TGFbR_P,I_Smad_TGFb_TGFbR_P,Smad,Smad_P,CoSmad,Smad_P_Smad_P,Smad_P_CoSmad,I_Smad_mRNA2,I_Smad,Smad_N,Smad_P_Smad_P_N,Smad_P_N,Smad_P_CoSmad_N,CoSmad_N,I_Smad_mRNA1
0,1009.9861976269609,0.017471936614877705,0.034555910469666225,1.3442100907229991e-24,6999.7042091410485,0.0031828071933035387,11999.638166649187,2.3654980845942364e-11,2.241749185966547e-06,9.070509944050556e-20,1.5733710982381084e-21,82000.31801920923,1.1796246236709257e-14,1.6276931149039928e-05,-3.5560831399186157e-07,134999.72416654302,5.169696690080765e-18
100,1009.9193396413428,0.08456662093690885,-0.02226667663335251,-9.55613088640607e-25,6999.425492042315,-0.0010532789196420625,11999.19162123392,3.3575726407819963e-12,-2.8066288664330907e-06,5.013657356983794e-21,3.454346111448986e-22,82000.46304787959,-9.040346116454514e-16,-1.7073136053401178e-05,2.3387132139415846e-07,135002.2020937052,5.484699705908609e-17
200,1009.7763893813078,0.15886107101250163,0.0187244198745001,-7.003741129961347e-25,6999.080677210707,-0.003693693955342942,11997.95241529258,5.370731459900527e-12,1.0508488696632769e-06,2.0574584589643968e-19,2.47105350290487e-21,82002.21851169734,-9.041007951658758e-15,-1.7259189244777603e-05,-2.9120696416887113e-07,135005.8157543289,-4.511146962486886e-18
300,1009.7937511245511,0.22274934260822266,0.004765263201719945,-4.708780964940405e-25,6998.873313013999,-0.002217356023926609,11996.329327769789,2.1720430376949924e-11,-2.3089610634638168e-06,4.4404411651050813e-20,-3.1613477840407732e-21,82003.45816918141,-2.236110951423329e-15,1.2066881765978683e-05,-2.1843336960906452e-07,135008.09765201947,-2.1197407728089125e-17
400,1009.601946853884,0.32850332597998805,0.05572031188246529,-6.661629651786443e-26,6998.020049136746,-0.002155055685691828,11996.239439765253,-3.320635961504888e-11,1.0162988340908165e-06,2.7458841063024656e-19,-3.7442039085008354e-21,82004.13695536286,-9.276965311642053e-15,-1.7744760437192442e-06,2.9547824813985313e-07,135009.96837235382,-1.5388130737316607e-18
500,1009.5712081697991,0.3876133485932406,0.05041993936218069,1.2876807624991762e-24,6997.601186906446,0.00018854744868249625,11994.860294694356,1.036265476839535e-11,-2.0300994642263852e-06,2.7052333312485653e-19,-1.3276355400151567e-21,82005.4484045713,1.560848349403157e-14,1.1703680081802122e-05,2.831956761066643e-07,135010.14934467236,6.390746873331171e-17
600,1009.4344432500804,0.4669055007765033,0.06011700297721467,-1.3324870796843638e-24,6996.9193212765285,-0.002549794211390133,11993.17123261365,-1.6696276100995564e-11,2.3905680426695257e-06,1.8078001971161998e-19,-1.5329255439251864e-21,82007.09728118895,-2.1260241167446292e-15,-3.1161844647658736e-05,-2.813002491046826e-07,135012.92205967422,-1.8406549374850436e-17
700,1009.3916999614843,0.5347481269530603,0.0807078348806727,-2.3867981091902875e-25,6996.873402063242,0.0006816872075229574,11992.464853393329,-2.0743428632727278e-11,-1.2405804794102317e-06,1.3649244499968254e-19,2.9206602201132748e-21,82008.60081411636,1.1533528429701542e-14,6.0180407323981425e-06,1.50237865241941e-07,135016.60310359776,2.1550613021479747e-18
800,1009.2630676268433,0.6544002342547107,0.08528148059625679,-1.3983909086816977e-24,6995.915216525197,-0.0010169688059592289,11991.273546549892,-1.3183243977657952e-12,-8.605589029875432e-07,-2.2199011428709977e-19,-3.465806401861992e-21,82009.13658128804,1.1913114671478118e-14,-2.431748393814174e-05,6.518592397317148e-09,135018.18367209827,-6.083036649514446e-17
900,1009.2066357017682,0.719948866829709,0.12348471500208122,3.00399067402013e-25,6995.395629368234,0.0003329192642196313,11990.967550568934,9.38355505600265e-12,-1.1465834117839504e-06,-2.545722813973801e-19,-4.477947987007578e-22,82009.57400372032,4.001340408018533e-15,4.799875014429961e-05,-1.7935393763335522e-07,135022.73698138684,1.8538839190943927e-17
