miliseconds,CycE,CycA,CycEp27,CycAp27,Skp2,Cdh1p,Emi1,p27,Cdh1,Emi1Cdh1,Emi1Cdh1p
0,8.550381264638798e-05,4.905301416983807e-05,-1.2919158614478513e-05,-3.4953386148120144e-06,-1.580431429651722e-05,2.3659251794224554e-05,1.2863754354787098e-06,0.00017644545393019658,0.9999577767758773,0.00017389325231936651,6.921037947224542e-07
100,0.0003835204555786626,0.00027650741211825706,-5.835625326039882e-07,-2.9842979866258265e-06,0.00021510833631467618,-5.8896458049600534e-05,0.0002681664613676936,0.000703017339647245,0.999671086983056,0.00010822790189890546,3.668077374632671e-07
200,0.0007814482680472358,0.0004320226651444414,-1.233016708491271e-05,-1.9790973622871605e-06,0.0006989283968974081,1.9304580195294498e-05,0.0004879201615177209,0.0011103048555986508,0.9996143502794078,9.182944372144688e-06,-1.5340722160911993e-08
300,0.0009049279846763891,0.0007145943023569161,1.4075910669490766e-06,3.1919217540793854e-06,0.0010989329164994047,-1.2063032709600622e-05,0.000660939617220919,0.002094681161557815,0.999735189560339,0.0002881822081279128,7.002138948311424e-07
400,0.0013893702875322751,0.0008650347133247674,-1.177387494456735e-05,-6.252394420601515e-07,0.0016102605659975397,0.00014350639767998405,0.0008405703629850935,0.0036557628640896886,0.999461158597728,0.00048176201998228243,-8.282056289774979e-07
500,0.0016744529141979536,0.0010874772757596077,2.3054798456402153e-06,2.0285240709414644e-06,0.0019046124145283294,0.00011471847196906962,0.0009649309714426425,0.004368283568733221,0.9992974943134038,0.0005095390740204184,-8.026792288541551e-07
600,0.0016790663648655027,0.0013909570436291872,-1.1552326935657553e-05,1.1275448659275631e-06,0.0024108093203849437,8.640741754435295e-05,0.001059391345613182,0.005177156793886465,0.9989698603328325,0.0005531313113928261,2.716220151175402e-07
700,0.0020957615462810974,0.001499794776448309,-7.994154776037547e-06,1.8762688800550818e-06,0.0025106475563737413,0.0002485282739971611,0.0011333381289461615,0.005759937503290366,0.998948044493289,0.0011001081078351148,3.37352213648558e-07
800,0.0022536835037522073,0.0016348560176043542,9.598260056808728e-06,2.6564741048819807e-06,0.002779372969498402,0.0002463745396367671,0.0011848007346670266,0.0058849320686905375,0.9984238668284188,0.001004057313717027,-7.283739660856106e-07
900,0.002866339113661442,0.0019384828200709572,1.1690735385135455e-05,4.134765883077792e-06,0.003115581919692957,0.0003449113655347046,0.001274126823430483,0.007174409893329516,0.9982220638490695,0.0016300090214524205,1.4981852236064982e-06
1000,0.002944756586367894,0.0020877258203614584,3.632541036137497e-06,6.181527179623369e-06,0.003566132939169431,0.0002594086451542537,0.0013136957746422938,0.0075228825496906565,0.9977363816776689,0.0016336117906319027,1.110625273524308e-06
1100,0.0031866959307241213,0.002240760890158361,2.2401116517471125e-05,1.0171488365838747e-05,0.0038024569207120162,0.00029606162763036345,0.0013602475157571947,0.008721996123872297,0.9975443365305834,0.001762690779614805,8.442245144601852e-07
