milliseconds,CycE,CycA,CycEp27,CycAp27,Skp2,Cdh1p,Emi1,p27,Cdh1,Emi1Cdh1,Emi1Cdh1p
0,-0.00017318465594170053,-2.0792290992926827e-05,-1.2353278425598128e-06,2.2917946082327674e-06,-3.0264496793522404e-05,3.9917696200808596e-05,1.0870793681155694e-05,-0.00013447034919201719,0.9997790171690334,-0.0001980494280329548,8.579756004637477e-07
100,0.00037653272705945697,0.00019217643968359364,-9.041726277461046e-06,-8.9604337308927e-07,0.0003144155129885609,2.1243365131923906e-05,0.0002561647604529619,0.0002555627977835085,1.000003795560609,4.976850598214373e-05,9.417161055752531e-07
200,0.0007106894290155187,0.00047095347093767766,-7.065173667406215e-06,2.3655802776808737e-06,0.0009652552639237832,-5.119824864510043e-05,0.0004900952748926601,0.001667193901761927,0.999742226625623,0.00018449843854927842,-1.1134461937931978e-06
300,0.0008157998413399173,0.0007388137036271952,4.557207643392452e-06,-9.627838207769804e-07,0.001269556889322049,9.076747122886567e-05,0.0006662639022959452,0.0021397922116794224,0.9999971942138177,0.0003104828503378789,-7.455200911869663e-08
400,0.001205190484539203,0.0009046288464410227,1.0490502086816264e-05,-7.640652590058548e-07,0.0015853163340095232,7.304426839643684e-05,0.0008357951753933587,0.003650259866516327,0.9997672667043799,0.00019582485004181416,3.027284116802497e-07
500,0.0016755386878225414,0.0011714854562179927,1.2820418181836055e-05,-8.600129235223744e-07,0.0017613592088945877,8.436505246580398e-06,0.0009556584078809345,0.004044611566155842,0.9995211664909073,0.0004840299142208152,9.61651866673698e-07
600,0.0016587997545995624,0.001294715397189903,-1.8772287653410502e-06,2.943629686251316e-06,0.002368990966999332,0.00012912342457751668,0.0010605082823865822,0.0045303859403701754,0.9988444669936327,0.0005639797072332414,7.58139132627336e-07
700,0.002057092304548066,0.0015053649178743635,-8.958144643318007e-06,-5.091494908301495e-07,0.002523190077008707,0.0001366998413962999,0.0011389652849800363,0.005148658330188471,0.9989647271841355,0.0009533516626501215,8.968942826750194e-07
800,0.00233498209641477,0.0016495554601904517,1.2353803478512138e-05,5.600920812819908e-06,0.0028510847727573553,0.0002844056547305526,0.0011949643090847896,0.005877075146868131,0.9985833471552994,0.0011608830617260753,-4.520441083802384e-07
900,0.0025703219308526957,0.0019447526754514178,8.93256354604193e-06,6.965691895610706e-06,0.0033222764814759688,0.00026272504164486903,0.0012530006328365215,0.0069589066711188636,0.9983985938616157,0.0013254919836687,1.3674043335200202e-06
